device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,1779377694432562622,1779377694436546073,3.9835
device-1,1779377695434708159,1779377695439796882,5.0887
device-1,1779377696437209371,1779377696439259698,2.0503
device-1,1779377697441316828,1779377697442884233,1.5674
device-1,1779377698444372399,1779377698448704936,4.3325
device-1,1779377699453782153,1779377699455329661,1.5475
device-1,1779377700455784144,1779377700460345918,4.5618
device-1,1779377701458916339,1779377701460566295,1.6500
device-1,1779377702461238902,1779377702462613054,1.3742
device-2,1779377694432903474,1779377694437227672,4.3242
device-2,1779377695435451963,1779377695440112268,4.6603
device-2,1779377696437391617,1779377696439038927,1.6473
device-2,1779377697441433669,1779377697442967843,1.5342
device-2,1779377698445079160,1779377698449565474,4.4863
device-2,1779377699453914340,1779377699455419726,1.5054
device-2,1779377700456133609,1779377700461050880,4.9173
device-2,1779377701459024713,1779377701460485967,1.4613
device-2,1779377702461398712,1779377702462530291,1.1316
