device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,18346794828402,18346796655119,1.8267
device-1,18346896313227,18346899125235,2.8120
device-1,18347003445144,18347006557452,3.1123
device-1,18347114730777,18347116777519,2.0467
device-1,18347224902527,18347230933877,6.0313
device-1,18347333284177,18347339816244,6.5321
device-1,18347441737760,18347448304385,6.5666
device-1,18347553274510,18347559579294,6.3048
device-1,18347665091735,18347667906019,2.8143
device-1,18347771861277,18347778390635,6.5294
device-1,18347876936269,18347878508835,1.5726
device-1,18347979767352,18347981276327,1.5090
device-1,18348089945169,18348096414077,6.4689
device-1,18348197654177,18348203276244,5.6221
device-1,18348306061827,18348308322852,2.2610
device-1,18348415957869,18348417945677,1.9878
device-1,18348526094844,18348528025885,1.9310
device-1,18348636177219,18348640548469,4.3712
device-1,18348739127685,18348740756585,1.6289
device-1,18348840392160,18348842545285,2.1531
device-1,18348942020419,18348943392244,1.3718
device-1,18349043301469,18349044908269,1.6068
device-1,18349144776219,18349146031152,1.2549
device-1,18349247708594,18349249416902,1.7083
device-1,18349353873094,18349357142594,3.2695
device-1,18349460678042,18349462571600,1.8936
device-1,18349570179425,18349576634684,6.4553
device-1,18349682564209,18349690381650,7.8174
device-1,18349790752267,18349796631300,5.8790
device-1,18349903870467,18349909649617,5.7791
device-1,18350016206934,18350021040550,4.8336
device-1,18350128289467,18350134161242,5.8718
device-1,18350236233017,18350238444967,2.2119
device-1,18350342330350,18350343888725,1.5584
device-1,18350444269309,18350445778609,1.5093
device-1,18350548500492,18350550874834,2.3743
device-1,18350658283000,18350663828800,5.5458
device-1,18350762989225,18350764849417,1.8602
device-1,18350872729050,18350874722275,1.9932
device-1,18350976163875,18350981760375,5.5965
device-1,18351084500025,18351088512692,4.0127
device-1,18351188457124,18351190784016,2.3269
device-1,18351296816891,18351302656816,5.8399
device-1,18351403304983,18351405090641,1.7857
device-1,18351508896941,18351510581524,1.6846
device-1,18351612110116,18351613940191,1.8301
device-1,18351716667058,18351718860049,2.1930
device-1,18351822008983,18351823957683,1.9487
device-1,18351928450166,18351930397024,1.9469
device-1,18352037633699,18352039832541,2.1988
device-1,18352139497366,18352141426458,1.9291
device-1,18352245266449,18352246946808,1.6804
device-1,18352351095333,18352353048583,1.9532
device-1,18352454294424,18352461720024,7.4256
