device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,1779718009675540900,1779718009715879000,40.3381
device-1,1779718009777362700,1779718009822552700,45.1900
device-1,1779718009878760900,1779718009919597200,40.8363
device-1,1779718009979668300,1779718010022920300,43.2520
device-1,1779718010080208300,1779718010117575700,37.3674
device-1,1779718010181009400,1779718010224005200,42.9958
device-1,1779718010281723300,1779718010323883600,42.1603
device-1,1779718010382532100,1779718010424292300,41.7602
device-1,1779718010483547000,1779718010526881400,43.3344
device-1,1779718010584495500,1779718010624693500,40.1980
device-1,1779718010685131300,1779718010724138700,39.0074
device-1,1779718010785868200,1779718010829082300,43.2141
device-1,1779718010886923400,1779718010929948600,43.0252
device-1,1779718010988573100,1779718011033226100,44.6530
device-1,1779718011089615200,1779718011133305400,43.6902
device-1,1779718011191055600,1779718011233181300,42.1257
device-1,1779718011292119900,1779718011333348000,41.2281
device-1,1779718011393163200,1779718011433203800,40.0406
device-1,1779718011494033200,1779718011533284300,39.2511
device-1,1779718011595149200,1779718011634694000,39.5448
device-1,1779718011696506000,1779718011741497200,44.9912
device-1,1779718011797541200,1779718011841770700,44.2295
device-1,1779718011898738400,1779718011942449400,43.7110
device-1,1779718012000069900,1779718012041646200,41.5763
device-1,1779718012101147500,1779718012144657100,43.5096
device-1,1779718012202469900,1779718012244322600,41.8527
device-1,1779718012303750200,1779718012344769300,41.0191
device-1,1779718012405136900,1779718012446566500,41.4296
device-1,1779718012506261100,1779718012552509000,46.2479
device-1,1779718012607092300,1779718012644766200,37.6739
device-1,1779718012708370300,1779718012749189800,40.8195
device-1,1779718012809145900,1779718012852389900,43.2440
device-1,1779718012909949200,1779718012952266100,42.3169
device-1,1779718013010731300,1779718013053284200,42.5529
device-1,1779718013111988700,1779718013153454700,41.4660
device-1,1779718013213056800,1779718013254592800,41.5360
device-1,1779718013314265600,1779718013357846400,43.5808
device-1,1779718013415240900,1779718013456459300,41.2184
device-1,1779718013515800300,1779718013560647600,44.8473
device-1,1779718013617189200,1779718013659586000,42.3968
device-1,1779718013718619400,1779718013763853300,45.2339
device-1,1779718013819470400,1779718013862331000,42.8606
device-1,1779718013920871800,1779718013960783900,39.9121
device-1,1779718014022333000,1779718014064155100,41.8221
device-1,1779718014123134100,1779718014162915300,39.7812
device-1,1779718014224733100,1779718014267327600,42.5945
device-1,1779718014325788400,1779718014366762700,40.9743
device-1,1779718014426662900,1779718014469645200,42.9823
device-1,1779718014527873600,1779718014563836800,35.9632
device-1,1779718014629074600,1779718014673380100,44.3055
device-1,1779718014730454600,1779718014773274800,42.8202
device-1,1779718014831826200,1779718014875989300,44.1631
device-1,1779718014932988400,1779718014973764100,40.7757
device-1,1779718015033780500,1779718015075136000,41.3555
device-1,1779718015134819200,1779718015179531500,44.7123
device-1,1779718015236083200,1779718015277859200,41.7760
device-1,1779718015336979900,1779718015379398800,42.4189
device-1,1779718015438394100,1779718015477099000,38.7049
device-1,1779718015539617600,1779718015583370100,43.7525
device-1,1779718015640420700,1779718015683014800,42.5941
device-1,1779718015741321800,1779718015782978700,41.6569
device-1,1779718015842516300,1779718015883215400,40.6991
device-1,1779718015943714600,1779718015984495200,40.7806
device-1,1779718016044644600,1779718016090086600,45.4420
device-1,1779718016145584200,1779718016184774900,39.1907
device-1,1779718016246534600,1779718016284717100,38.1825
device-1,1779718016347219100,1779718016391553300,44.3342
device-1,1779718016448052000,1779718016490297800,42.2458
device-1,1779718016549064000,1779718016593229500,44.1655
device-1,1779718016650143400,1779718016693175000,43.0316
device-1,1779718016751476700,1779718016792964700,41.4880
device-1,1779718016852895600,1779718016895516900,42.6213
device-1,1779718016954341600,1779718016995450000,41.1084
device-1,1779718017055958000,1779718017098816900,42.8589
device-1,1779718017157073900,1779718017202953600,45.8797
device-1,1779718017258674100,1779718017302523800,43.8497
device-1,1779718017359720400,1779718017396997600,37.2772
device-1,1779718017460991700,1779718017503391600,42.3999
device-1,1779718017562366800,1779718017603436300,41.0695
device-1,1779718017663252500,1779718017707600200,44.3477
device-1,1779718017763893400,1779718017806926000,43.0326
