device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,1779722065817758831,1779722065819475632,1.7168
device-1,1779722065918798460,1779722065919998783,1.2003
device-1,1779722066020070690,1779722066025376830,5.3061
device-1,1779722066121446744,1779722066122725305,1.2786
device-1,1779722066222370496,1779722066224025447,1.6550
device-1,1779722066324341584,1779722066325887424,1.5458
device-1,1779722066425909956,1779722066427583303,1.6733
device-1,1779722066527399350,1779722066528593752,1.1944
device-1,1779722066628449552,1779722066629835215,1.3857
device-1,1779722066729658557,1779722066731420292,1.7617
device-1,1779722066830193655,1779722066831446630,1.2530
device-1,1779722066930882799,1779722066932307369,1.4246
device-1,1779722067032292157,1779722067033685538,1.3934
device-1,1779722067133718325,1779722067134924675,1.2064
device-1,1779722067234934097,1779722067236779145,1.8450
device-1,1779722067335781831,1779722067337094965,1.3131
device-1,1779722067437431613,1779722067439283639,1.8520
device-1,1779722067539349520,1779722067540626707,1.2772
device-1,1779722067639847191,1779722067641395357,1.5482
device-1,1779722067740644810,1779722067742641789,1.9970
device-1,1779722067842398205,1779722067844562128,2.1639
device-1,1779722067943122133,1779722067945363025,2.2409
device-1,1779722068044680355,1779722068046521703,1.8413
device-1,1779722068147595483,1779722068149102415,1.5069
device-1,1779722068248486988,1779722068251015458,2.5285
device-1,1779722068350769760,1779722068352402825,1.6331
device-1,1779722068451928121,1779722068453977963,2.0498
device-1,1779722068553467313,1779722068555087373,1.6201
device-1,1779722068656804715,1779722068658346749,1.5420
device-1,1779722068758593846,1779722068760397555,1.8037
device-1,1779722068861848464,1779722068863725970,1.8775
device-1,1779722068962711106,1779722068964043482,1.3324
device-1,1779722069064454774,1779722069065801846,1.3471
device-1,1779722069165172569,1779722069166644505,1.4719
device-1,1779722069266087757,1779722069267443922,1.3562
device-1,1779722069366609534,1779722069368261947,1.6524
device-1,1779722069467604335,1779722069469091179,1.4868
device-1,1779722069570799217,1779722069572250008,1.4508
device-1,1779722069671513735,1779722069672860173,1.3464
device-1,1779722069772515091,1779722069774383505,1.8684
device-1,1779722069874171746,1779722069875923014,1.7513
device-1,1779722069975716858,1779722069977636232,1.9194
device-1,1779722070076615024,1779722070077896545,1.2815
device-1,1779722070177571129,1779722070179195207,1.6241
device-1,1779722070278851182,1779722070280300810,1.4496
device-1,1779722070381799402,1779722070383911412,2.1120
device-1,1779722070482895279,1779722070484357700,1.4624
device-1,1779722070584375051,1779722070586243465,1.8684
device-1,1779722070685235367,1779722070686988644,1.7533
device-1,1779722070786461077,1779722070787829506,1.3684
device-1,1779722070888442420,1779722070890470588,2.0282
device-1,1779722070989123740,1779722070990928823,1.8051
device-1,1779722071090405379,1779722071092021105,1.6157
device-1,1779722071191433061,1779722071193128294,1.6952
device-1,1779722071294879046,1779722071296477009,1.5980
device-1,1779722071396761322,1779722071398389418,1.6281
device-1,1779722071497372967,1779722071498901574,1.5286
device-1,1779722071597819678,1779722071599957168,2.1375
device-1,1779722071699931489,1779722071702057349,2.1259
device-1,1779722071801139013,1779722071803085137,1.9461
device-1,1779722071902215013,1779722071903627213,1.4122
device-1,1779722072003063487,1779722072004627089,1.5636
device-1,1779722072104322924,1779722072105932940,1.6100
device-1,1779722072205295840,1779722072207066879,1.7710
device-1,1779722072306259874,1779722072307826859,1.5670
device-1,1779722072407630113,1779722072409004463,1.3743
device-1,1779722072511684664,1779722072513329253,1.6446
device-1,1779722072613164331,1779722072614719686,1.5554
device-1,1779722072714441424,1779722072716257609,1.8162
device-1,1779722072815421529,1779722072817059140,1.6376
device-1,1779722072916416119,1779722072918098453,1.6823
device-1,1779722073017380031,1779722073018805991,1.4260
device-1,1779722073121243125,1779722073122623816,1.3807
device-1,1779722073222559863,1779722073223832142,1.2723
device-1,1779722073323381396,1779722073325505951,2.1246
device-1,1779722073424633192,1779722073426391791,1.7586
device-1,1779722073526810879,1779722073528089398,1.2785
device-1,1779722073629338021,1779722073630942411,1.6044
device-1,1779722073729882549,1779722073731469487,1.5869
device-1,1779722073833317495,1779722073835161872,1.8444
device-1,1779722073936735836,1779722073938447157,1.7113
device-1,1779722074040082467,1779722074041814835,1.7324
device-1,1779722074141013787,1779722074142402093,1.3883
device-1,1779722074242002645,1779722074243344625,1.3420
device-1,1779722074342730891,1779722074344091063,1.3602
device-1,1779722074444020129,1779722074445257293,1.2372
device-1,1779722074545937733,1779722074547501508,1.5638
device-1,1779722074647839260,1779722074649078751,1.2395
device-1,1779722074748564862,1779722074750190193,1.6253
device-1,1779722074849642776,1779722074851499527,1.8568
device-1,1779722074951134030,1779722074952887129,1.7531
device-1,1779722075053478512,1779722075054707427,1.2289
device-1,1779722075154782346,1779722075156489753,1.7074
device-1,1779722075255816155,1779722075257206788,1.3906
device-1,1779722075359603625,1779722075361318225,1.7146
device-1,1779722075460720356,1779722075462587155,1.8668
device-1,1779722075561894202,1779722075563272143,1.3779
device-1,1779722075663200151,1779722075664668629,1.4685
device-1,1779722075764338776,1779722075765855061,1.5163
device-1,1779722075866058488,1779722075867511207,1.4527
device-1,1779722075966896521,1779722075968768503,1.8720
device-1,1779722076067954869,1779722076069905753,1.9509
device-1,1779722076169009302,1779722076170441079,1.4318
device-1,1779722076272539757,1779722076273985706,1.4459
device-1,1779722076373708102,1779722076375495999,1.7879
device-1,1779722076475722378,1779722076477517360,1.7950
device-1,1779722076579600596,1779722076581579721,1.9791
device-1,1779722076683472469,1779722076684729835,1.2574
device-1,1779722076787193622,1779722076788596525,1.4029
device-1,1779722076893990288,1779722076895956297,1.9660
device-1,1779722076996006044,1779722076998041542,2.0355
device-1,1779722077098694799,1779722077100427485,1.7327
device-1,1779722077199185174,1779722077200617163,1.4320
device-1,1779722077300303809,1779722077301628972,1.3252
device-1,1779722077400799261,1779722077402790020,1.9908
device-1,1779722077501709004,1779722077503327778,1.6188
device-1,1779722077602952022,1779722077604870330,1.9183
device-1,1779722077703939716,1779722077705414964,1.4752
device-1,1779722077804363458,1779722077805722784,1.3593
device-1,1779722077910709024,1779722077912433671,1.7246
device-1,1779722078014728231,1779722078016658385,1.9302
device-1,1779722078116206264,1779722078117984324,1.7781
device-1,1779722078217639135,1779722078219432954,1.7938
device-1,1779722078321142936,1779722078322888737,1.7458
device-1,1779722078422009103,1779722078424185378,2.1763
device-1,1779722078526267556,1779722078527969781,1.7022
device-1,1779722078628618702,1779722078629879346,1.2606
device-1,1779722078730365279,1779722078732594226,2.2289
device-1,1779722078831431982,1779722078833455740,2.0238
device-1,1779722078937792144,1779722078939299227,1.5071
device-1,1779722079042243306,1779722079043944261,1.7010
device-1,1779722079146181601,1779722079147996997,1.8154
device-1,1779722079249714911,1779722079250861855,1.1469
device-1,1779722079353330614,1779722079355270816,1.9402
device-1,1779722079454271031,1779722079455569963,1.2989
device-1,1779722079554676157,1779722079556073876,1.3977
device-1,1779722079655269020,1779722079656647596,1.3786
device-1,1779722079755900066,1779722079757086885,1.1868
device-1,1779722079856818271,1779722079858074791,1.2565
device-1,1779722079957662968,1779722079959103418,1.4405
device-1,1779722080061651925,1779722080063166941,1.5150
device-1,1779722080162587899,1779722080164579504,1.9916
device-1,1779722080264884468,1779722080266702403,1.8179
device-1,1779722080367140952,1779722080368630054,1.4891
device-1,1779722080468823857,1779722080469978945,1.1551
device-2,1779722065817999149,1779722065819394222,1.3951
device-2,1779722065919026197,1779722065920142044,1.1158
device-2,1779722066020823469,1779722066025155119,4.3316
device-2,1779722066121799451,1779722066122902187,1.1027
device-2,1779722066222478867,1779722066224217025,1.7382
device-2,1779722066324702432,1779722066326104905,1.4025
device-2,1779722066426132301,1779722066427693471,1.5612
device-2,1779722066527507297,1779722066528707303,1.2000
device-2,1779722066628555808,1779722066629696183,1.1404
device-2,1779722066729790399,1779722066731257260,1.4669
device-2,1779722066830300334,1779722066831270171,0.9698
device-2,1779722066930992755,1779722066932199633,1.2069
device-2,1779722067032399258,1779722067033627599,1.2283
device-2,1779722067133823947,1779722067135046155,1.2222
device-2,1779722067235279085,1779722067236676378,1.3973
device-2,1779722067335982819,1779722067337162736,1.1799
device-2,1779722067438048215,1779722067439154758,1.1065
device-2,1779722067539480939,1779722067540742161,1.2612
device-2,1779722067640093641,1779722067641528468,1.4348
device-2,1779722067740870221,1779722067743255854,2.3856
device-2,1779722067842732198,1779722067844675362,1.9432
device-2,1779722067943407808,1779722067945255711,1.8479
device-2,1779722068044919722,1779722068046623201,1.7035
device-2,1779722068147814761,1779722068148988969,1.1742
device-2,1779722068249056753,1779722068250881607,1.8249
device-2,1779722068350919893,1779722068352240639,1.3207
device-2,1779722068452270995,1779722068453916642,1.6456
device-2,1779722068553694098,1779722068554970227,1.2761
device-2,1779722068657069033,1779722068658520142,1.4511
device-2,1779722068758697564,1779722068760250488,1.5529
device-2,1779722068861948165,1779722068863588208,1.6400
device-2,1779722068962985891,1779722068964149949,1.1641
device-2,1779722069064568219,1779722069065870040,1.3018
device-2,1779722069165279142,1779722069166574937,1.2958
device-2,1779722069266198560,1779722069267252133,1.0536
device-2,1779722069366734821,1779722069368176837,1.4420
device-2,1779722069467721164,1779722069468976677,1.2555
device-2,1779722069570901879,1779722069572118801,1.2169
device-2,1779722069671616502,1779722069672826023,1.2095
device-2,1779722069772629277,1779722069774162324,1.5330
device-2,1779722069874282019,1779722069876034450,1.7524
device-2,1779722069975823748,1779722069977745343,1.9216
device-2,1779722070076721597,1779722070077998572,1.2770
device-2,1779722070177934620,1779722070179494098,1.5595
device-2,1779722070279176506,1779722070280714944,1.5384
device-2,1779722070381914117,1779722070383790883,1.8768
device-2,1779722070483217959,1779722070484626565,1.4086
device-2,1779722070584500761,1779722070586160152,1.6594
device-2,1779722070685338240,1779722070686856274,1.5180
device-2,1779722070786772655,1779722070788035252,1.2626
