device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,1779722750968516284,1779722750969899593,1.3833
device-1,1779722751069655467,1779722751071374111,1.7186
device-1,1779722751170566618,1779722751172423962,1.8573
device-1,1779722751271499863,1779722751273216604,1.7167
device-1,1779722751374137903,1779722751375460636,1.3227
device-1,1779722751475893946,1779722751477530764,1.6368
device-1,1779722751577996846,1779722751579447602,1.4508
device-1,1779722751680946963,1779722751683421907,2.4749
device-1,1779722751786218101,1779722751787628790,1.4107
device-1,1779722751886973107,1779722751888464459,1.4914
device-1,1779722751987734034,1779722751989300656,1.5666
device-1,1779722752088639581,1779722752090237602,1.5980
device-1,1779722752189181462,1779722752190839212,1.6578
device-1,1779722752289940062,1779722752291400756,1.4607
device-1,1779722752395384682,1779722752396681620,1.2969
device-1,1779722752496519530,1779722752498459968,1.9404
device-1,1779722752598674760,1779722752600368983,1.6942
device-1,1779722752699310835,1779722752702155472,2.8446
device-1,1779722752801692934,1779722752803045056,1.3521
device-1,1779722752902940371,1779722752904477498,1.5371
device-1,1779722753005298261,1779722753006923239,1.6250
device-1,1779722753109398369,1779722753111387438,1.9891
device-1,1779722753211367537,1779722753213277846,1.9103
device-1,1779722753312766150,1779722753314853746,2.0876
device-1,1779722753415606427,1779722753418012972,2.4065
device-1,1779722753516596442,1779722753518322804,1.7264
device-1,1779722753617562777,1779722753619756514,2.1937
device-1,1779722753719145655,1779722753723916142,4.7705
device-1,1779722753820704429,1779722753824620509,3.9161
device-1,1779722753923040752,1779722753928116339,5.0756
device-1,1779722754026914309,1779722754028459260,1.5450
device-1,1779722754127189465,1779722754128615061,1.4256
device-1,1779722754228208130,1779722754229613323,1.4052
device-1,1779722754329652835,1779722754331341561,1.6887
device-1,1779722754430162895,1779722754513606822,83.4439
device-1,1779722754531279243,1779722754615897476,84.6182
device-1,1779722754632041015,1779722754713762915,81.7219
device-1,1779722754733340993,1779722754820532277,87.1913
device-1,1779722754834080353,1779722754996513604,162.4333
device-1,1779722754936727697,1779722755121841824,185.1141
device-1,1779722755037878508,1779722755197101869,159.2234
device-1,1779722755138330529,1779722755309655650,171.3251
device-1,1779722755238913957,1779722755404330863,165.4169
device-1,1779722755339544005,1779722755512881452,173.3374
device-1,1779722755441188621,1779722755602651283,161.4627
device-1,1779722755542983673,1779722755729536505,186.5528
device-1,1779722755644570674,1779722755820299760,175.7291
device-1,1779722755746828449,1779722755905586760,158.7583
device-1,1779722755849150184,1779722756030784314,181.6341
device-1,1779722755951056556,1779722756143306697,192.2501
device-1,1779722756053223203,1779722756238901755,185.6786
device-1,1779722756154299907,1779722756343054722,188.7548
device-1,1779722756255544278,1779722756418428518,162.8842
device-1,1779722756356860220,1779722756518490760,161.6305
device-1,1779722756457650219,1779722756619205383,161.5552
device-1,1779722756558734111,1779722756726829996,168.0959
device-1,1779722756659476960,1779722756793798010,134.3211
device-1,1779722756760381133,1779722756925202852,164.8217
device-1,1779722756861357934,1779722757023187011,161.8291
device-1,1779722756962378079,1779722757137643490,175.2654
device-1,1779722757063360906,1779722757218963665,155.6028
device-1,1779722757165325105,1779722757337174795,171.8497
device-1,1779722757267234648,1779722757430264778,163.0301
device-1,1779722757368851355,1779722757539469440,170.6181
device-1,1779722757469883975,1779722757593841043,123.9571
device-1,1779722757572629635,1779722757736195117,163.5655
device-1,1779722757673584870,1779722757812209771,138.6249
device-1,1779722757774867299,1779722757938746127,163.8788
device-1,1779722757876311370,1779722758043365201,167.0538
device-1,1779722757977656067,1779722758135304054,157.6480
device-1,1779722758078440568,1779722758204232499,125.7919
device-1,1779722758179328110,1779722758339178363,159.8503
device-1,1779722758279874415,1779722758448991961,169.1175
device-1,1779722758381200475,1779722758546539791,165.3393
device-1,1779722758482555086,1779722758679159183,196.6041
device-1,1779722758583799090,1779722758752996790,169.1977
device-1,1779722758684958709,1779722758857858293,172.8996
device-1,1779722758785726019,1779722758942921148,157.1951
device-1,1779722758886430622,1779722759040339124,153.9085
device-1,1779722758987523200,1779722759172614108,185.0909
device-1,1779722759088913447,1779722759242300843,153.3874
device-1,1779722759191218273,1779722759356049912,164.8316
device-1,1779722759293590141,1779722759463359176,169.7690
device-1,1779722759394295696,1779722759570033659,175.7380
