device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,1779722577956642428,1779722577961653613,5.0112
device-1,1779722578069383839,1779722578071212441,1.8286
device-1,1779722578178969058,1779722578182380823,3.4118
device-1,1779722578286631723,1779722578289684988,3.0533
device-1,1779722578394184599,1779722578397565644,3.3810
device-1,1779722578503654541,1779722578506104923,2.4504
device-1,1779722578611110931,1779722578613869352,2.7584
device-1,1779722578720266922,1779722578722409581,2.1427
device-1,1779722578827218182,1779722578829076342,1.8582
device-1,1779722578933693870,1779722578936546033,2.8522
device-1,1779722579041088293,1779722579044399454,3.3112
device-1,1779722579148355932,1779722579152022637,3.6667
device-1,1779722579254555250,1779722579258060545,3.5053
device-1,1779722579365512818,1779722579368251604,2.7388
device-1,1779722579470673691,1779722579473764959,3.0913
device-1,1779722579587422571,1779722579592942474,5.5199
device-1,1779722579693553271,1779722579696627755,3.0745
device-1,1779722579802298719,1779722579804886230,2.5875
device-1,1779722579909588949,1779722579911200720,1.6118
device-1,1779722580017746398,1779722580020367373,2.6210
device-1,1779722580127536203,1779722580130731136,3.1949
device-1,1779722580240294187,1779722580244902323,4.6081
device-1,1779722580351398174,1779722580356371566,4.9734
device-1,1779722580462957570,1779722580466474689,3.5171
device-1,1779722580570595743,1779722580572958084,2.3623
device-1,1779722580678708749,1779722580681103181,2.3944
device-1,1779722580789775366,1779722580791633527,1.8582
device-1,1779722580901173636,1779722580904377827,3.2042
device-1,1779722581009834789,1779722581011839270,2.0045
device-1,1779722581120167840,1779722581122023415,1.8556
device-1,1779722581229505361,1779722581231891040,2.3857
device-1,1779722581339469579,1779722581342110482,2.6409
device-1,1779722581445515193,1779722581468434155,22.9190
device-1,1779722581551189861,1779722581571505543,20.3157
device-1,1779722581656587113,1779722581678797684,22.2106
device-1,1779722581762168568,1779722581784016014,21.8474
device-1,1779722581867197199,1779722581889872668,22.6755
device-1,1779722581971984873,1779722582014299972,42.3151
device-1,1779722582077355915,1779722582120019767,42.6639
device-1,1779722582183157085,1779722582226167047,43.0100
device-1,1779722582288954662,1779722582332840627,43.8860
device-1,1779722582398975209,1779722582439403240,40.4280
device-1,1779722582504144186,1779722582547303055,43.1589
device-1,1779722582608935559,1779722582650659364,41.7238
device-1,1779722582716604880,1779722582758404143,41.7993
device-1,1779722582820457580,1779722582865716574,45.2590
device-1,1779722582925279073,1779722582966435468,41.1564
device-1,1779722583030591989,1779722583072250905,41.6589
device-1,1779722583134744616,1779722583177437425,42.6928
device-1,1779722583240364012,1779722583283094550,42.7305
device-1,1779722583347357176,1779722583392335266,44.9781
device-1,1779722583452662906,1779722583495886031,43.2231
device-1,1779722583559827065,1779722583599801400,39.9743
device-1,1779722583667301930,1779722583709731695,42.4298
device-1,1779722583773752203,1779722583816827583,43.0754
device-1,1779722583880140017,1779722583920006873,39.8669
device-1,1779722583987369064,1779722584031422114,44.0530
device-1,1779722584091884289,1779722584132188037,40.3037
device-1,1779722584198109669,1779722584241787651,43.6780
device-1,1779722584302905586,1779722584345488908,42.5833
device-1,1779722584408069913,1779722584450868193,42.7983
device-1,1779722584513418972,1779722584553462424,40.0435
device-1,1779722584618470430,1779722584662327439,43.8570
device-1,1779722584725663546,1779722584766926258,41.2627
device-1,1779722584832229435,1779722584873705309,41.4759
device-1,1779722584938383796,1779722584981799263,43.4155
device-1,1779722585044475171,1779722585085667498,41.1923
device-1,1779722585150197502,1779722585191293235,41.0957
device-1,1779722585256454586,1779722585299920041,43.4655
device-1,1779722585362508549,1779722585404817413,42.3089
device-1,1779722585470387122,1779722585512592628,42.2055
device-1,1779722585576280342,1779722585623004519,46.7242
device-1,1779722585683355727,1779722585726826888,43.4712
device-1,1779722585791268435,1779722585833051105,41.7827
device-1,1779722585897403562,1779722585939942497,42.5389
device-1,1779722586004112334,1779722586048560320,44.4480
device-1,1779722586112156406,1779722586154175911,42.0195
device-1,1779722586220768944,1779722586263740544,42.9716
device-1,1779722586329052598,1779722586369475979,40.4234
device-1,1779722586437080289,1779722586479792544,42.7123
device-1,1779722586545252131,1779722586586389927,41.1378
device-1,1779722586652604722,1779722586695287702,42.6830
device-1,1779722586760105797,1779722586798614209,38.5084
device-1,1779722586867684231,1779722586911807982,44.1238
device-1,1779722586973885515,1779722587014251510,40.3660
device-1,1779722587082030302,1779722587124807552,42.7773
device-1,1779722587190041190,1779722587231890440,41.8492
device-1,1779722587297565832,1779722587341552407,43.9866
device-1,1779722587405994482,1779722587449348653,43.3542
device-1,1779722587513747187,1779722587553519246,39.7721
device-1,1779722587622212404,1779722587665414814,43.2024
device-1,1779722587729833640,1779722587770487303,40.6537
device-1,1779722587835256677,1779722587878346853,43.0902
device-1,1779722587940920566,1779722587984675273,43.7547
device-1,1779722588046195225,1779722588088051556,41.8563
device-1,1779722588152275397,1779722588190207100,37.9317
device-1,1779722588258701680,1779722588303689069,44.9874
device-1,1779722588365355814,1779722588410234562,44.8787
device-1,1779722588472071350,1779722588514477231,42.4059
device-1,1779722588578825143,1779722588618434451,39.6093
device-1,1779722588683564943,1779722588724077203,40.5123
device-1,1779722588788241967,1779722588831385301,43.1433
device-1,1779722588907097173,1779722588950794153,43.6970
device-1,1779722589012168702,1779722589053217191,41.0485
device-1,1779722589116669775,1779722589158042336,41.3726
device-1,1779722589222233965,1779722589264289868,42.0559
device-1,1779722589327095259,1779722589370570061,43.4748
device-1,1779722589432117427,1779722589472897758,40.7803
device-1,1779722589536159028,1779722589577837798,41.6788
device-1,1779722589640491089,1779722589681429969,40.9389
device-1,1779722589744937939,1779722589788612722,43.6748
device-1,1779722589851174583,1779722589896519405,45.3448
device-1,1779722589960120707,1779722590003504396,43.3837
device-1,1779722590068210883,1779722590112173801,43.9629
device-1,1779722590178221498,1779722590220924594,42.7031
device-1,1779722590287643794,1779722590331175144,43.5314
device-1,1779722590395832270,1779722590439118188,43.2859
device-1,1779722590499489340,1779722590542037798,42.5485
device-1,1779722590603612117,1779722590643994494,40.3824
device-1,1779722590708394772,1779722590751951067,43.5563
device-1,1779722590813316314,1779722590857260206,43.9439
device-1,1779722590918739925,1779722590961671541,42.9316
device-1,1779722591023883857,1779722591068485829,44.6020
device-1,1779722591129791462,1779722591172042802,42.2513
device-1,1779722591236131903,1779722591280200520,44.0686
device-1,1779722591341563547,1779722591384483219,42.9197
device-1,1779722591447583193,1779722591489081324,41.4981
device-1,1779722591552707676,1779722591596469027,43.7614
device-1,1779722591657533562,1779722591698881601,41.3480
device-1,1779722591762789852,1779722591804551172,41.7613
device-1,1779722591868867209,1779722591910290505,41.4233
device-1,1779722591974603582,1779722592016767403,42.1638
device-2,1779722577743930791,1779722577746336096,2.4053
device-2,1779722577848428185,1779722577853594234,5.1660
device-2,1779722577956802888,1779722577962519565,5.7167
device-2,1779722578069666226,1779722578071726333,2.0601
device-2,1779722578179184200,1779722578181791241,2.6070
device-2,1779722578286741827,1779722578288265873,1.5240
device-2,1779722578394459385,1779722578398010285,3.5509
device-2,1779722578503755039,1779722578505937391,2.1824
device-2,1779722578611265162,1779722578614523540,3.2584
device-2,1779722578720367842,1779722578722999585,2.6317
device-2,1779722578827531605,1779722578829628765,2.0972
device-2,1779722578933972245,1779722578935978197,2.0060
device-2,1779722579041350306,1779722579045407708,4.0574
device-2,1779722579148469942,1779722579152422940,3.9530
device-2,1779722579254996302,1779722579257785442,2.7891
device-2,1779722579365630629,1779722579368438032,2.8074
device-2,1779722579470978669,1779722579473571774,2.5931
device-2,1779722579587554211,1779722579590585729,3.0315
device-2,1779722579693668654,1779722579697070813,3.4022
device-2,1779722579802411252,1779722579805355045,2.9438
device-2,1779722579909785617,1779722579912059705,2.2741
device-2,1779722580018091702,1779722580021537247,3.4455
device-2,1779722580127895230,1779722580130582817,2.6876
device-2,1779722580240686151,1779722580245272963,4.5868
device-2,1779722580351735983,1779722580354326239,2.5903
device-2,1779722580463167223,1779722580466706722,3.5395
device-2,1779722580570866202,1779722580573589364,2.7232
device-2,1779722580679070627,1779722580681326452,2.2558
device-2,1779722580790066304,1779722580791929743,1.8634
device-2,1779722580901358158,1779722580905752863,4.3947
device-2,1779722581009977460,1779722581012344750,2.3673
device-2,1779722581120358808,1779722581122747023,2.3882
device-2,1779722581229840375,1779722581233499740,3.6594
device-2,1779722581339573888,1779722581342378916,2.8050
device-2,1779722581445798951,1779722581467285596,21.4866
device-2,1779722581551511665,1779722581571937574,20.4259
device-2,1779722581656703892,1779722581678096268,21.3924
device-2,1779722581762282389,1779722581785092286,22.8099
device-2,1779722581867299394,1779722581889205282,21.9059
device-2,1779722581972209977,1779722581994960903,22.7509
device-2,1779722582077512008,1779722582100378762,22.8668
device-2,1779722582183279676,1779722582206150975,22.8713
device-2,1779722582289341883,1779722582309388180,20.0463
device-2,1779722582399085013,1779722582421349271,22.2643
device-2,1779722582504358193,1779722582545584339,41.2261
device-2,1779722582609175036,1779722582650135918,40.9609
device-2,1779722582716710774,1779722582759744726,43.0340
device-2,1779722582820562100,1779722582860054840,39.4927
device-2,1779722582925554376,1779722582965568659,40.0143
device-2,1779722583030708346,1779722583073250451,42.5421
device-2,1779722583134850193,1779722583175999296,41.1491
device-2,1779722583240504887,1779722583283650757,43.1459
device-2,1779722583347484841,1779722583391435695,43.9509
device-2,1779722583452931446,1779722583496608899,43.6775
device-2,1779722583560085987,1779722583600381175,40.2952
device-2,1779722583667843448,1779722583709273667,41.4302
device-2,1779722583773992102,1779722583816233752,42.2416
device-2,1779722583880385834,1779722583919291085,38.9053
device-2,1779722583987476861,1779722584031935097,44.4582
device-2,1779722584092016920,1779722584133217280,41.2004
device-2,1779722584198302328,1779722584238102287,39.8000
device-2,1779722584303013910,1779722584346188632,43.1747
device-2,1779722584408266376,1779722584451921848,43.6555
device-2,1779722584513524338,1779722584553265221,39.7409
device-2,1779722584618604964,1779722584661960509,43.3555
device-2,1779722584725876813,1779722584769315318,43.4385
device-2,1779722584832361115,1779722584873023656,40.6625
device-2,1779722584938688691,1779722584980299310,41.6106
device-2,1779722585044792113,1779722585089376006,44.5839
device-2,1779722585150330556,1779722585193586019,43.2555
device-2,1779722585256587324,1779722585298568360,41.9810
device-2,1779722585362653968,1779722585404211746,41.5578
device-2,1779722585470726469,1779722585511827486,41.1010
device-2,1779722585576507136,1779722585621246383,44.7392
device-2,1779722585683634729,1779722585724223820,40.5891
device-2,1779722585791567094,1779722585833685518,42.1184
device-2,1779722585897810863,1779722585941570009,43.7591
device-2,1779722586004390068,1779722586046663634,42.2736
device-2,1779722586112419555,1779722586156382458,43.9629
device-2,1779722586221107340,1779722586264173948,43.0666
device-2,1779722586329339527,1779722586372201533,42.8620
device-2,1779722586437365632,1779722586479367489,42.0019
device-2,1779722586545540645,1779722586588637161,43.0965
device-2,1779722586652859523,1779722586697937905,45.0784
device-2,1779722586760374864,1779722586802872478,42.4976
device-2,1779722586867954567,1779722586911997894,44.0433
device-2,1779722586974204148,1779722587015158161,40.9540
device-2,1779722587082354008,1779722587124358084,42.0041
device-2,1779722587190200559,1779722587233082540,42.8820
device-2,1779722587297952207,1779722587342388250,44.4360
device-2,1779722587406242836,1779722587448368447,42.1256
device-2,1779722587514058528,1779722587554915313,40.8568
device-2,1779722587622553653,1779722587665523033,42.9694
device-2,1779722587729966694,1779722587772597996,42.6313
device-2,1779722587835619380,1779722587879842896,44.2235
device-2,1779722587941073066,1779722587983694962,42.6219
device-2,1779722588046333141,1779722588087773611,41.4405
device-2,1779722588152874723,1779722588197084711,44.2100
device-2,1779722588258846782,1779722588301441835,42.5951
device-2,1779722588365507363,1779722588408528528,43.0212
device-2,1779722588472211591,1779722588512621233,40.4096
device-2,1779722588578928606,1779722588619981644,41.0530
device-2,1779722588683873747,1779722588724929427,41.0557
device-2,1779722588788570534,1779722588831222233,42.6517
device-2,1779722588907210271,1779722588948057827,40.8476
device-2,1779722589012382530,1779722589052889631,40.5071
device-2,1779722589116808452,1779722589157784643,40.9762
device-2,1779722589222492081,1779722589264721330,42.2292
device-2,1779722589327208991,1779722589370190497,42.9815
device-2,1779722589432228304,1779722589473213057,40.9848
device-2,1779722589536270117,1779722589579114955,42.8448
device-2,1779722589640612959,1779722589683577236,42.9643
device-2,1779722589745086128,1779722589789545195,44.4591
device-2,1779722589851591882,1779722589896691588,45.0997
device-2,1779722589960314347,1779722590001665346,41.3510
device-2,1779722590068436761,1779722590114060945,45.6242
device-2,1779722590178630340,1779722590224851932,46.2216
device-2,1779722590287838702,1779722590331933215,44.0945
device-2,1779722590396080345,1779722590436736798,40.6565
device-2,1779722590499821233,1779722590541347269,41.5260
device-2,1779722590603837467,1779722590648857371,45.0199
device-2,1779722590708503430,1779722590751522247,43.0188
device-2,1779722590813449177,1779722590856451294,43.0021
device-2,1779722590918857568,1779722590958464222,39.6067
device-2,1779722591024016298,1779722591064999254,40.9830
device-2,1779722591129926122,1779722591172569604,42.6435
device-2,1779722591236265823,1779722591279174186,42.9084
device-2,1779722591342176388,1779722591383980200,41.8038
device-2,1779722591447712145,1779722591490213251,42.5011
device-2,1779722591552877323,1779722591596160281,43.2830
