device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,2499680511282,2499688512403,8.0011
device-1,2499781137025,2499787117561,5.9805
device-1,2499881480464,2499888802734,7.3223
device-1,2499982177867,2499989373179,7.1953
device-1,2500082862850,2500093169030,10.3062
device-1,2500183732357,2500192836082,9.1037
device-1,2500284726850,2500292295841,7.5690
device-1,2500385341060,2500391304543,5.9635
device-1,2500486121361,2500493079020,6.9577
device-1,2500586733008,2500595975717,9.2427
device-1,2500687247268,2500694477868,7.2306
device-1,2500787740730,2500790582108,2.8414
device-1,2500887950705,2500890720127,2.7694
device-1,2500988199320,2500990659823,2.4605
device-1,2501088440344,2501090598238,2.1579
device-1,2501188642729,2501190663413,2.0207
device-1,2501288860885,2501291083835,2.2229
device-1,2501389041782,2501391571875,2.5301
device-1,2501489235591,2501491821081,2.5855
device-1,2501589484402,2501591480345,1.9959
device-1,2501689635728,2501692301060,2.6653
device-1,2501790077046,2501792847060,2.7700
device-1,2501890480218,2501897166219,6.6860
device-1,2501991458447,2501996793843,5.3354
device-1,2502091843581,2502094790626,2.9470
device-1,2502192010579,2502196630652,4.6201
device-1,2502292218878,2502294635913,2.4170
device-1,2502392517468,2502395207048,2.6896
device-1,2502492738975,2502494753647,2.0147
device-1,2502592909522,2502595377813,2.4683
device-1,2502693115751,2502700283661,7.1679
device-1,2502793413946,2502800314632,6.9007
device-1,2502894056347,2502901401880,7.3455
device-1,2502994695594,2503001134973,6.4394
device-1,2503095434298,2503101880479,6.4462
device-1,2503195995675,2503202928002,6.9323
device-1,2503296736153,2503305426279,8.6901
device-1,2503397326116,2503404270271,6.9442
device-1,2503498059793,2503505243572,7.1838
device-1,2503598807368,2503605403177,6.5958
device-1,2503699346271,2503706862921,7.5167
device-1,2503799929136,2503804393764,4.4646
device-1,2503900344826,2503905918366,5.5735
device-1,2504000930057,2504007854893,6.9248
device-1,2504101456835,2504108623562,7.1667
device-1,2504202222449,2504207345327,5.1229
device-1,2504302846023,2504309914969,7.0689
device-1,2504403644855,2504413416589,9.7717
device-1,2504504147287,2504510867788,6.7205
device-1,2504604670419,2504612177705,7.5073
device-1,2504705077928,2504713125771,8.0478
device-1,2504805643346,2504812676214,7.0329
device-1,2504906072245,2504910196313,4.1241
device-1,2505006737908,2505013841057,7.1031
device-1,2505107368678,2505114540235,7.1716
device-1,2505207772244,2505213842380,6.0701
device-1,2505308315583,2505314702621,6.3870
device-1,2505408759267,2505415823382,7.0641
device-1,2505509454896,2505517230588,7.7757
device-1,2505610155749,2505618947205,8.7915
device-1,2505710589281,2505717688980,7.0997
device-1,2505811014040,2505814753193,3.7392
device-1,2505911621350,2505919542531,7.9212
device-1,2506012322211,2506019497208,7.1750
device-1,2506113389957,2506122547096,9.1571
device-1,2506213826407,2506216921748,3.0953
device-1,2506314195310,2506321701437,7.5061
device-1,2506414921179,2506422231763,7.3106
device-1,2506515603067,2506522957927,7.3549
device-1,2506616073932,2506623038004,6.9641
device-1,2506716763907,2506724132967,7.3691
device-1,2506817268200,2506827409064,10.1409
device-1,2506917974347,2506929965315,11.9910
device-1,2507018764508,2507025228632,6.4641
device-1,2507119396994,2507125489263,6.0923
device-1,2507219780294,2507227903713,8.1234
device-1,2507320538900,2507329192147,8.6532
device-1,2507421346713,2507429276760,7.9300
device-1,2507522073961,2507528469158,6.3952
device-1,2507622462981,2507625018338,2.5554
device-1,2507722645907,2507725575584,2.9297
device-1,2507822792151,2507824963327,2.1712
device-1,2507922919561,2507924616821,1.6973
device-1,2508023074088,2508025397713,2.3236
device-1,2508123243307,2508126092026,2.8487
device-1,2508223475538,2508225829240,2.3537
device-1,2508323623656,2508325080704,1.4570
device-1,2508424043343,2508427850838,3.8075
device-1,2508524409583,2508531855164,7.4456
device-1,2508625113363,2508631419614,6.3063
device-1,2508725532853,2508728105762,2.5729
device-1,2508826088916,2508833985141,7.8962
device-1,2508926630977,2508928965055,2.3341
device-1,2509026950083,2509029519738,2.5697
device-1,2509127150857,2509130331593,3.1807
device-1,2509227375890,2509230569741,3.1939
device-1,2509327592639,2509330204499,2.6119
device-1,2509427817179,2509430722006,2.9048
device-1,2509527993104,2509530129964,2.1369
device-1,2509628208769,2509631031455,2.8227
device-1,2509728371283,2509730846076,2.4748
device-1,2509828546419,2509831248112,2.7017
device-1,2509928720668,2509931039659,2.3190
device-1,2510028870166,2510031033157,2.1630
device-1,2510129060094,2510131932676,2.8726
device-1,2510229256825,2510232060381,2.8036
device-1,2510329581058,2510337157986,7.5769
device-1,2510430051332,2510436309659,6.2583
device-1,2510530659855,2510539077623,8.4178
device-1,2510631379117,2510637746209,6.3671
device-1,2510732102224,2510740093705,7.9915
device-1,2510832594191,2510839969464,7.3753
device-1,2510933141183,2510940744439,7.6033
device-1,2511033565800,2511036169278,2.6035
