device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,3896519059408,3896521643041,2.5836
device-1,3896619273388,3896622017380,2.7440
device-1,3896719473700,3896727857605,8.3839
device-1,3896819641949,3896821993688,2.3517
device-1,3896919831211,3896922669025,2.8378
device-1,3897020273228,3897025400135,5.1269
device-1,3897120555424,3897124272846,3.7174
device-1,3897220768068,3897224642549,3.8745
device-1,3897321020371,3897326059771,5.0394
device-1,3897421255607,3897424732311,3.4767
device-1,3897521439838,3897526034205,4.5944
device-1,3897621640545,3897625500514,3.8600
device-1,3897721945497,3897726886210,4.9407
device-1,3897822222344,3897825119613,2.8973
device-1,3897922452643,3897924860969,2.4083
device-1,3898022648524,3898025497274,2.8487
device-1,3898122879218,3898125564658,2.6854
device-1,3898223063660,3898225305520,2.2419
device-1,3898323317035,3898397797147,74.4801
device-1,3898423494574,3898508281743,84.7872
device-1,3898523687201,3898832334627,308.6474
device-1,3898623848582,3898833408894,209.5603
device-1,3898724028180,3898833625088,109.5969
device-1,3898824226707,3898997653620,173.4269
device-1,3898924539295,3899107602471,183.0632
device-1,3899024637858,3899200854591,176.2167
device-1,3899124805528,3899307799400,182.9939
device-1,3899225048024,3899395392321,170.3443
device-1,3899325403791,3899510659371,185.2556
device-1,3899425593150,3899602991310,177.3982
device-1,3899525786846,3899695712681,169.9258
device-1,3899626026603,3899782356160,156.3296
device-1,3899726438060,3899896899261,170.4612
device-1,3899826790187,3899995416006,168.6258
device-1,3899927067413,3900096232325,169.1649
device-1,3900027236524,3900185608822,158.3723
device-1,3900127386713,3900296554878,169.1682
device-1,3900227570705,3900385601414,158.0307
device-1,3900327936926,3900510582825,182.6459
device-1,3900428419835,3900585429025,157.0092
device-1,3900528635759,3900704714511,176.0788
device-1,3900628794985,3900787159816,158.3648
device-1,3900728968532,3900899966961,170.9984
device-1,3900829186515,3900998541335,169.3548
device-1,3900929387552,3901107965303,178.5778
device-1,3901029568209,3901313660253,284.0920
device-1,3901129766520,3901313844743,184.0782
device-1,3901229938996,3901413779976,183.8410
device-1,3901330159097,3901575581609,245.4225
device-1,3901430409274,3901596797310,166.3880
device-1,3901530667634,3901706607578,175.9399
device-1,3901630876243,3901791105851,160.2296
device-1,3901731027043,3901890214832,159.1878
device-1,3901831270412,3901979337213,148.0668
device-1,3901931391835,3902097035985,165.6441
device-1,3902031587687,3902170464730,138.8770
device-1,3902131735825,3902319724773,187.9889
device-1,3902231902793,3902488520210,256.6174
device-1,3902332094899,3902527377667,195.2828
device-1,3902432322692,3902622050984,189.7283
device-1,3902532496068,3902691921853,159.4258
device-1,3902632686910,3902806704598,174.0177
device-1,3902732888452,3902896857452,163.9690
device-1,3902833066536,3902999493696,166.4272
device-1,3902933355109,3903114271021,180.9159
device-1,3903033508060,3903193394485,159.8864
device-1,3903133806687,3903311957021,178.1503
device-1,3903234033067,3903391918270,157.8852
device-1,3903334269205,3903515046043,180.7768
device-1,3903434574336,3903612028524,177.4542
device-1,3903534863698,3903713465813,178.6021
device-1,3903635020159,3903778254982,143.2348
device-1,3903735232227,3903888543167,153.3109
device-1,3903835492878,3904015100287,179.6074
device-1,3903935765355,3904107886333,172.1210
device-1,3904035916226,3904193166733,157.2505
device-1,3904136078627,3904280831451,144.7528
device-1,3904236310010,3904434946919,198.6369
device-1,3904336605349,3904513961576,177.3562
device-1,3904436796033,3904603429880,166.6338
device-1,3904536962573,3904719391784,182.4292
device-1,3904637148426,3904842796527,205.6481
device-1,3904737432104,3904956514894,219.0828
device-1,3904837632424,3905020780499,183.1481
device-1,3904937819541,3905128882012,191.0625
device-1,3905037977985,3905210308647,172.3307
device-1,3905138159880,3905318055647,179.8958
device-1,3905238497158,3905399271918,160.7748
device-1,3905338769603,3905485148996,146.3794
device-1,3905439039979,3905604087344,165.0474
device-1,3905539429281,3905721052742,181.6235
device-1,3905639615535,3905820061688,180.4462
device-1,3905739826990,3905913624372,173.7974
device-1,3905840042090,3905997072229,157.0301
device-1,3905940262412,3906082993180,142.7308
device-1,3906040442440,3906194290650,153.8482
device-1,3906140649954,3906308689264,168.0393
device-1,3906240822199,3906424758643,183.9364
