device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,3535063321153,3535067166262,3.8451
device-1,3535263676965,3535266274207,2.5972
device-1,3535463936110,3535466758610,2.8225
device-1,3535664452241,3535667822221,3.3700
device-1,3535864721949,3535867074672,2.3527
device-1,3536064934540,3536068872209,3.9377
device-1,3536265140216,3536268197788,3.0576
device-1,3536465388074,3536468838128,3.4501
device-1,3536665696193,3536689423860,23.7277
device-1,3536865947764,3536891270621,25.3229
device-1,3537066338573,3537090197105,23.8585
device-1,3537266594305,3537311994909,45.4006
device-1,3537466963687,3537510399745,43.4361
device-1,3537667190191,3537710814647,43.6245
device-1,3537867402051,3537910051252,42.6492
device-1,3538067613256,3538108366432,40.7532
device-1,3538267837686,3538310361933,42.5242
device-1,3538468407764,3538512071402,43.6636
device-1,3538668949218,3538712166733,43.2175
device-1,3538869174260,3538913490126,44.3159
device-1,3539069397746,3539115847519,46.4498
device-1,3539269676780,3539313230762,43.5540
device-1,3539469978013,3539514343113,44.3651
device-1,3539670287041,3539712174586,41.8875
device-1,3539870521161,3539912295896,41.7747
device-1,3540070806089,3540114827482,44.0214
device-1,3540271179960,3540315390243,44.2103
device-1,3540471464108,3540516932464,45.4684
device-1,3540671694695,3540720464282,48.7696
device-1,3540871940915,3540913855811,41.9149
device-1,3541072256131,3541117036552,44.7804
device-1,3541272598959,3541316936702,44.3377
device-1,3541473048093,3541514117078,41.0690
device-1,3541673295561,3541715838036,42.5425
device-1,3541873545920,3541917128336,43.5824
device-1,3542073779031,3542118120393,44.3414
device-1,3542274012437,3542317753780,43.7413
device-1,3542474234012,3542519430445,45.1964
device-1,3542674476587,3542717095187,42.6186
device-1,3542874701691,3542915820368,41.1187
device-1,3543075009211,3543116307974,41.2988
device-1,3543275213727,3543317754263,42.5405
device-1,3543475553382,3543519005188,43.4518
device-1,3543675794565,3543716298270,40.5037
device-1,3543876046077,3543922808096,46.7620
device-1,3544076411508,3544118149412,41.7379
device-1,3544276716627,3544324617794,47.9012
device-1,3544477009919,3544521913272,44.9034
device-1,3544677397525,3544720483307,43.0858
device-1,3544877654070,3544920572320,42.9183
device-1,3545078025386,3545121814879,43.7895
device-1,3545278343887,3545320474154,42.1303
device-1,3545478678547,3545521365929,42.6874
device-1,3545678922555,3545721040703,42.1181
device-1,3545879164343,3545923862159,44.6978
device-1,3546079392215,3546124346677,44.9545
device-1,3546279597427,3546324391399,44.7940
device-1,3546479841752,3546522724917,42.8832
device-1,3546680202331,3546722863627,42.6613
device-1,3546880426590,3546927627245,47.2007
device-1,3547080641891,3547122083257,41.4414
device-1,3547280908022,3547322943097,42.0351
device-1,3547481127315,3547522815249,41.6879
device-1,3547681841830,3547724296864,42.4550
device-1,3547882127780,3547927586247,45.4585
device-1,3548083030539,3548125418908,42.3884
device-1,3548283771235,3548328952938,45.1817
device-1,3548484840950,3548530383453,45.5425
device-1,3548685614333,3548731806126,46.1918
device-1,3548886998710,3548931128484,44.1298
device-1,3549087992465,3549134938351,46.9459
device-1,3549288328174,3549331973217,43.6450
device-1,3549488721961,3549531529826,42.8079
device-1,3549689080285,3549732184379,43.1041
device-1,3549889510800,3549931999602,42.4888
device-1,3550090633024,3550135092184,44.4592
device-1,3550291072482,3550333329799,42.2573
device-1,3550491941374,3550534508116,42.5667
device-1,3550692594114,3550734359724,41.7656
device-1,3550893263651,3550936755384,43.4917
device-1,3551094105467,3551135553446,41.4480
device-1,3551294513145,3551336120648,41.6075
device-1,3551495003724,3551537812821,42.8091
device-1,3551695488083,3551736446792,40.9587
device-1,3551896141843,3551937305125,41.1633
device-1,3552096830304,3552140389048,43.5587
device-1,3552297182954,3552341666615,44.4837
device-1,3552497426055,3552540903494,43.4774
device-1,3552697858757,3552741131633,43.2729
device-1,3552898384914,3552941800801,43.4159
device-1,3553099123275,3553141700501,42.5772
device-1,3553299469510,3553340444841,40.9753
device-1,3553499975452,3553540278466,40.3030
device-1,3553700601334,3553742877915,42.2766
device-1,3553900930468,3553943193808,42.2633
device-1,3554101438546,3554145539083,44.1005
device-1,3554301678107,3554343095069,41.4170
device-1,3554501986277,3554545976277,43.9900
device-1,3554702368141,3554743667890,41.2997
device-1,3554902570672,3554946131576,43.5609
device-1,3555102914706,3555147716019,44.8013
device-1,3555303217310,3555348557218,45.3399
device-1,3555503466975,3555546258216,42.7912
device-1,3555703790744,3555746011018,42.2203
device-1,3555904041630,3555947451556,43.4099
device-1,3556104499546,3556148421106,43.9216
device-1,3556305100880,3556346687839,41.5870
device-1,3556505450097,3556545287498,39.8374
device-1,3556705665306,3556749150119,43.4848
device-1,3556905905646,3556946811315,40.9057
device-1,3557106164226,3557151843530,45.6793
device-1,3557306337583,3557350221802,43.8842
device-1,3557506629057,3557552044017,45.4150
device-1,3557706836757,3557747684845,40.8481
device-1,3557907188295,3557951109506,43.9212
device-1,3558107570088,3558155318397,47.7483
device-1,3558307819318,3558351174451,43.3551
device-1,3558508174937,3558550959414,42.7845
device-1,3558708447756,3558752656435,44.2087
device-1,3558908842261,3558952842131,43.9999
device-1,3559109124460,3559151821389,42.6969
device-1,3559309366904,3559351452912,42.0860
device-1,3559509612530,3559550951159,41.3386
device-1,3559710064089,3559755425864,45.3618
device-1,3559910456936,3559951023955,40.5670
device-1,3560110700189,3560154030084,43.3299
device-1,3560310919718,3560353685185,42.7655
device-1,3560511130709,3560553329168,42.1985
device-1,3560711399377,3560775801009,64.4016
device-1,3560911663117,3560956291059,44.6279
device-1,3561111902859,3561154259695,42.3568
device-1,3561312376822,3561355175623,42.7988
device-1,3561512602881,3561560034925,47.4320
device-1,3561712928565,3561760949749,48.0212
device-1,3561913148100,3561955699686,42.5516
device-1,3562113405182,3562163715693,50.3105
device-1,3562313633930,3562357549621,43.9157
device-1,3562514171976,3562559859251,45.6873
device-1,3562714376017,3562758352652,43.9766
device-1,3562914662940,3562958258162,43.5952
device-1,3563114986588,3563156853824,41.8672
device-1,3563315305682,3563360840533,45.5349
device-1,3563515668728,3563556996959,41.3282
device-1,3563715947576,3563757008254,41.0607
device-1,3563916376032,3563960244981,43.8689
device-1,3564116666393,3564161340264,44.6739
device-1,3564316988427,3564358661633,41.6732
device-1,3564517321341,3564560334768,43.0134
device-1,3564717639892,3564762721052,45.0812
device-1,3564918014418,3564963887159,45.8727
device-2,3535063383324,3535066625800,3.2425
device-2,3535263742793,3535266190488,2.4477
device-2,3535464076859,3535466718876,2.6420
device-2,3535664576088,3535667491203,2.9151
device-2,3535864785667,3535867096800,2.3111
device-2,3536064998061,3536067915551,2.9175
device-2,3536265208281,3536267302872,2.0946
device-2,3536465465030,3536469100508,3.6355
device-2,3536665767814,3536689461300,23.6935
device-2,3536866116315,3536891493380,25.3771
device-2,3537066431785,3537093454365,27.0226
device-2,3537266690775,3537290862413,24.1716
device-2,3537467042877,3537490628686,23.5858
device-2,3537667257829,3537693235929,25.9781
device-2,3537867472424,3537895259102,27.7867
device-2,3538067691623,3538111217180,43.5256
device-2,3538267886247,3538312525927,44.6397
device-2,3538468664976,3538514284845,45.6199
device-2,3538669026402,3538712023914,42.9975
device-2,3538869241845,3538913526040,44.2842
device-2,3539069521668,3539113914492,44.3928
device-2,3539269777121,3539313294992,43.5179
device-2,3539470138540,3539515550860,45.4123
device-2,3539670362519,3539712992413,42.6299
device-2,3539870683017,3539915982592,45.2996
device-2,3540070896042,3540114878376,43.9823
device-2,3540271274162,3540315618105,44.3439
device-2,3540471534736,3540516900899,45.3662
device-2,3540671780809,3540720416836,48.6360
device-2,3540872075523,3540913733135,41.6576
device-2,3541072352773,3541115890559,43.5378
device-2,3541272763940,3541317518229,44.7543
device-2,3541473124617,3541515456355,42.3317
device-2,3541673362816,3541716356154,42.9933
device-2,3541873630116,3541914640121,41.0100
device-2,3542073864804,3542117073662,43.2089
device-2,3542274084605,3542317630246,43.5456
device-2,3542474312095,3542519647245,45.3351
device-2,3542674551023,3542718674993,44.1240
device-2,3542874776504,3542920326255,45.5498
device-2,3543075099008,3543116192550,41.0935
device-2,3543275382872,3543321030009,45.6471
device-2,3543475655006,3543517117295,41.4623
device-2,3543675865141,3543717386965,41.5218
device-2,3543876112204,3543927014930,50.9027
device-2,3544076557856,3544120753023,44.1952
device-2,3544276797636,3544327365486,50.5678
device-2,3544477159815,3544520924217,43.7644
device-2,3544677497061,3544720643649,43.1466
device-2,3544877718217,3544920088712,42.3705
device-2,3545078106086,3545120435787,42.3297
device-2,3545278407934,3545320269301,41.8614
device-2,3545478741609,3545523311398,44.5698
device-2,3545679016163,3545722514092,43.4979
device-2,3545879225918,3545923238327,44.0124
device-2,3546079465317,3546125828723,46.3634
device-2,3546279658608,3546322055278,42.3967
device-2,3546479965592,3546522406005,42.4404
device-2,3546680263019,3546722646094,42.3831
device-2,3546880490325,3546924672488,44.1822
device-2,3547080714393,3547123801045,43.0867
device-2,3547280968112,3547325667542,44.6994
device-2,3547481207726,3547523708332,42.5006
device-2,3547681912188,3547726082576,44.1704
device-2,3547882194958,3547928741304,46.5463
device-2,3548083120486,3548128741823,45.6213
device-2,3548283853408,3548328372601,44.5192
device-2,3548484984572,3548529344754,44.3602
device-2,3548685885942,3548729863121,43.9772
device-2,3548887099351,3548928735248,41.6359
device-2,3549088144855,3549134182624,46.0378
device-2,3549288401562,3549332758034,44.3565
device-2,3549488834034,3549532854184,44.0202
device-2,3549689144812,3549731812460,42.6676
device-2,3549889581018,3549934809826,45.2288
device-2,3550090797136,3550136395018,45.5979
device-2,3550291142293,3550334046709,42.9044
device-2,3550492025919,3550533495907,41.4700
device-2,3550692672965,3550735518503,42.8455
device-2,3550893335316,3550936714591,43.3793
device-2,3551094180168,3551136887437,42.7073
device-2,3551294578534,3551337801423,43.2229
device-2,3551495085409,3551539964881,44.8795
device-2,3551695582704,3551737172078,41.5894
device-2,3551896221231,3551939075974,42.8547
device-2,3552096899706,3552141024456,44.1247
device-2,3552297253365,3552340548120,43.2948
device-2,3552497515530,3552542836246,45.3207
device-2,3552697947763,3552742487832,44.5401
device-2,3552898566243,3552942885358,44.3191
device-2,3553099215599,3553142916806,43.7012
device-2,3553299560024,3553341882503,42.3225
device-2,3553500075319,3553541975903,41.9006
device-2,3553700665730,3553742501870,41.8361
device-2,3553900999378,3553945476361,44.4770
device-2,3554101506152,3554147056606,45.5505
device-2,3554301743406,3554346084777,44.3414
device-2,3554502058396,3554546698878,44.6405
device-2,3554702440694,3554747199276,44.7586
device-2,3554902647828,3554945925125,43.2773
device-2,3555103001470,3555146566077,43.5646
device-2,3555303291064,3555348189348,44.8983
device-2,3555503560844,3555545216853,41.6560
device-2,3555703880028,3555746923032,43.0430
device-2,3555904161973,3555947965188,43.8032
device-2,3556104749321,3556150745882,45.9966
device-2,3556305208025,3556347330505,42.1225
device-2,3556505525188,3556546703540,41.1784
device-2,3556705742357,3556749798618,44.0563
device-2,3556905983793,3556948466851,42.4831
device-2,3557106244566,3557149695888,43.4513
device-2,3557306427591,3557353058611,46.6310
device-2,3557506717770,3557550249132,43.5314
device-2,3557706976983,3557749601330,42.6243
device-2,3557907356686,3557953086003,45.7293
device-2,3558107712702,3558154641850,46.9291
device-2,3558307908489,3558350206306,42.2978
device-2,3558508256743,3558553039512,44.7828
