device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,2749925059136,2749930512853,5.4537
device-1,2750035815453,2750041875619,6.0602
device-1,2750146568628,2750151717711,5.1491
device-1,2750255440703,2750261388419,5.9477
device-1,2750366198644,2750371806086,5.6074
device-1,2750473242378,2750478744303,5.5019
device-1,2750579936736,2750582746578,2.8098
device-1,2750689604844,2750695508686,5.9038
device-1,2750799916778,2750805674261,5.7575
device-1,2750909753453,2750915099161,5.3457
device-1,2751019750678,2751021787453,2.0368
device-1,2751125286736,2751130936969,5.6502
device-1,2751236143369,2751241984703,5.8413
device-1,2751344850994,2751350672611,5.8216
device-1,2751454855694,2751460385028,5.5293
device-1,2751564312336,2751570087261,5.7749
device-1,2751674934969,2751679555603,4.6206
device-1,2751778981228,2751784841086,5.8599
device-1,2751889710678,2751891754819,2.0441
device-1,2751997923328,2752002802444,4.8791
device-1,2752104607394,2752110206169,5.5988
device-1,2752212212403,2752217900119,5.6877
device-1,2752322962328,2752328486786,5.5245
device-1,2752429631444,2752435050928,5.4195
device-1,2752540158094,2752545630444,5.4723
device-1,2752644794119,2752650373828,5.5797
device-1,2752755465394,2752760771669,5.3063
device-1,2752862079153,2752868217211,6.1381
device-1,2752965469128,2752967697111,2.2280
device-1,2753071076794,2753076644478,5.5677
device-1,2753177485369,2753179272653,1.7873
device-1,2753286662511,2753288036069,1.3736
device-1,2753391953086,2753394306519,2.3534
device-1,2753494619394,2753496723228,2.1038
device-1,2753600143644,2753602067644,1.9240
device-1,2753705378644,2753707085328,1.7067
device-1,2753810652644,2753812263019,1.6104
device-1,2753916046678,2753917624661,1.5780
device-1,2754021306919,2754022876128,1.5692
device-1,2754126524911,2754127990228,1.4653
device-1,2754231915803,2754233671994,1.7562
device-1,2754341155019,2754345703719,4.5487
device-1,2754447387228,2754449905978,2.5187
device-1,2754552994786,2754554314503,1.3197
device-1,2754658135683,2754659843450,1.7078
device-1,2754763482917,2754764858208,1.3753
device-1,2754868571342,2754870148350,1.5770
device-1,2754969892908,2754971396792,1.5039
device-1,2755075115450,2755076882583,1.7671
device-1,2755180417833,2755182125600,1.7078
device-1,2755282913192,2755284523675,1.6105
device-1,2755388331817,2755389905683,1.5739
device-1,2755493661933,2755495184775,1.5228
device-1,2755597753258,2755599951667,2.1984
device-1,2755699765125,2755701227517,1.4624
device-1,2755805025692,2755806584067,1.5584
device-1,2755910286800,2755911951450,1.6646
device-1,2756015150867,2756017073567,1.9227
device-1,2756120542950,2756122202617,1.6597
device-1,2756227664467,2756229244833,1.5804
device-1,2756336672392,2756338397817,1.7254
device-1,2756441832642,2756443540842,1.7082
device-1,2756547216058,2756549059350,1.8433
device-1,2756656174367,2756658002925,1.8286
device-1,2756761574792,2756763242258,1.6675
device-1,2756870474492,2756872218008,1.7435
device-1,2756975534642,2756977151733,1.6171
device-1,2757084485042,2757086198442,1.7134
device-1,2757189734450,2757191448608,1.7142
device-1,2757296598350,2757298121625,1.5233
device-1,2757405574208,2757407378717,1.8045
device-1,2757510943867,2757512559442,1.6156
device-1,2757619935108,2757621553392,1.6183
device-1,2757725151475,2757726668900,1.5174
device-1,2757830434142,2757832175708,1.7416
device-1,2757938761842,2757940213183,1.4513
device-1,2758043644217,2758045322083,1.6779
device-1,2758152638492,2758154172600,1.5341
device-1,2758257876525,2758259474008,1.5975
device-1,2758363167208,2758364702617,1.5354
device-1,2758472182717,2758473820175,1.6375
device-1,2758577325308,2758578799725,1.4744
device-1,2758682626500,2758684240450,1.6139
device-1,2758788058450,2758789772825,1.7144
device-1,2758893240908,2758894742408,1.5015
device-1,2758998417625,2759000298508,1.8809
device-1,2759103804508,2759105718217,1.9137
device-1,2759212763142,2759214426817,1.6637
device-1,2759321711700,2759323094358,1.3827
device-1,2759426979417,2759428653925,1.6745
device-1,2759535958525,2759537627508,1.6690
device-1,2759641195042,2759643302017,2.1070
device-1,2759747167792,2759749068175,1.9004
device-1,2759848502250,2759850128875,1.6266
