device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,3620806223781,3620853998896,47.7751
device-1,3621826615813,3621873435319,46.8195
device-1,3622848540594,3622897476783,48.9362
device-1,3623853460486,3623901353173,47.8927
device-1,3624869917678,3624871546459,1.6288
device-1,3625880535547,3625928945342,48.4098
device-1,3626904617086,3626906305671,1.6886
device-1,3627912664727,3627914298611,1.6339
device-1,3628929515133,3628977239431,47.7243
device-1,3629939229212,3629985185222,45.9560
device-1,3630959315939,3631005158894,45.8430
device-1,3631968517145,3631969957380,1.4402
device-1,3632985495802,3633028624657,43.1289
device-1,3634003512330,3634049324702,45.8124
device-1,3635025496639,3635073072198,47.5756
device-2,3620806719391,3620854456241,47.7368
device-2,3621827147648,3621873689706,46.5421
device-2,3622849084848,3622897353706,48.2689
device-2,3623854029437,3623901592796,47.5634
device-2,3624870107192,3624872018662,1.9115
device-2,3625881061942,3625929032190,47.9702
device-2,3626904824256,3626949706760,44.8825
device-2,3627912862304,3627914611100,1.7488
device-2,3628930033567,3628977372407,47.3388
device-2,3629939589157,3629985453215,45.8641
device-2,3630959850930,3631005265423,45.4145
device-2,3631968726126,3631970032307,1.3062
device-2,3632985754633,3633028716506,42.9619
device-2,3634003923461,3634049539697,45.6162
device-2,3635026117465,3635073369460,47.2520
device-3,3620807055717,3620854774403,47.7187
device-3,3621827448565,3621873818889,46.3703
device-3,3622849484797,3622897821011,48.3362
device-3,3623854393055,3623901869464,47.4764
device-3,3624870264355,3624872278185,2.0138
device-3,3625881398107,3625929232317,47.8342
device-3,3626904936311,3626950405727,45.4694
device-3,3627913027325,3627957292913,44.2656
device-3,3628930360547,3628977867675,47.5071
device-3,3629939822962,3629985507100,45.6841
device-3,3630960342290,3631005521807,45.1795
device-3,3631968810941,3632013459749,44.6488
device-3,3632985899900,3633028922021,43.0221
device-3,3634004275772,3634049732368,45.4566
device-3,3635026507800,3635073430218,46.9224
device-4,3620807344797,3620855198891,47.8541
device-4,3621827735911,3621873905317,46.1694
device-4,3622849800858,3622897668440,47.8676
device-4,3623854688501,3623902057142,47.3686
device-4,3624870378145,3624872414427,2.0363
device-4,3625881685287,3625929372743,47.6875
device-4,3626905028874,3626950715869,45.6870
device-4,3627913103253,3627957485489,44.3822
device-4,3628930668954,3628977946562,47.2776
device-4,3629940116469,3629985703248,45.5868
device-4,3630960637717,3631005758822,45.1211
device-4,3631968922975,3632013585239,44.6623
device-4,3632986033444,3633029055871,43.0224
device-4,3634004502389,3634049797407,45.2950
device-4,3635026835951,3635073608514,46.7726
device-5,3620807628367,3620854642465,47.0141
device-5,3621828238868,3621874383581,46.1447
device-5,3622850104367,3622897758452,47.6541
device-5,3623854975171,3623901800374,46.8252
device-5,3624870487649,3624872812744,2.3251
