device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,7297512913067,7297690505427,177.5924
device-1,7297717897187,7297941627617,223.7304
device-1,7297919023277,7298153062907,234.0396
device-1,7298120485967,7298408734147,288.2482
device-1,7298324785777,7298722446117,397.6603
device-1,7298526157057,7298945315027,419.1580
device-1,7298728041817,7299115404177,387.3624
device-1,7298930123257,7299376862957,446.7397
device-1,7299136158537,7299629330337,493.1718
device-1,7299337723417,7299866912517,529.1891
device-1,7299539213607,7300004634277,465.4207
device-1,7299740182947,7300393200477,653.0175
device-1,7299940744847,7300836849397,896.1046
device-1,7300141534337,7301389679595,1248.1453
device-1,7300342388617,7301787052297,1444.6637
device-1,7300543043137,7302323542270,1780.4991
device-1,7300744002467,7302721156787,1977.1543
device-1,7300945168432,7303170405338,2225.2369
device-1,7301148471372,7303747483420,2599.0120
device-1,7301351178984,7304092866083,2741.6871
device-1,7301553097770,7304419332561,2866.2348
device-1,7301754722197,7305141461051,3386.7389
device-1,7301956761783,7305487418026,3530.6562
device-1,7302159399624,7305869211744,3709.8121
device-1,7302361709952,7306209138832,3847.4289
device-1,7302562668304,7306544249660,3981.5814
device-1,7302765322178,7307144880016,4379.5578
device-1,7302966542388,7307564282382,4597.7400
device-1,7303169061054,7307893737422,4724.6764
device-1,7303371859346,7308133824974,4761.9656
device-1,7303573586588,7308620830273,5047.2437
device-1,7303780400506,7308682576882,4902.1764
device-1,7303982410949,7308847754501,4865.3436
device-1,7304186522431,7309004802207,4818.2798
device-1,7304390483105,7309537018067,5146.5350
device-1,7304592371014,7309537119597,4944.7486
device-1,7304794442453,7309537234547,4742.7921
device-1,7304998538334,7309693333017,4694.7947
device-1,7305207750903,7309998436607,4790.6857
device-1,7305410125693,7310364911727,4954.7860
device-1,7305613490171,7310799713017,5186.2228
device-1,7305814187315,7310882438517,5068.2512
device-1,7306015819217,7311209639017,5193.8198
device-1,7306223290326,7311565328747,5342.0384
device-1,7306427916750,7312240760207,5812.8435
device-1,7306631478839,7312565803167,5934.3243
device-1,7306832795147,7313357077827,6524.2827
device-1,7307036197760,7313892494247,6856.2965
device-1,7307238515672,7314365170077,7126.6544
device-1,7307442045260,7314758416777,7316.3715
device-1,7307644843118,7315033768007,7388.9249
device-1,7307863087894,7315294936387,7431.8485
device-1,7308081567227,7315535562597,7453.9954
device-1,7308296272206,7315703079507,7406.8073
device-1,7308514317420,7316021807807,7507.4904
device-1,7308715591800,7316184696467,7469.1047
device-1,7308916614767,7316416530157,7499.9154
device-1,7309119845377,7316865348087,7745.5027
device-1,7309322234707,7317363190219,8040.9555
device-1,7309524001327,7317709907359,8185.9060
device-1,7309725751007,7318669211089,8943.4601
device-1,7309926888317,7318919272329,8992.3840
device-1,7310128504567,7319238506519,9110.0020
device-1,7310330583697,7319402485169,9071.9015
device-1,7310532730367,7319782712819,9249.9825
device-1,7310736143027,7320024587089,9288.4441
device-1,7310938615847,7320306587929,9367.9721
device-1,7311140490487,7320578975539,9438.4851
device-1,7311341371167,7321166307779,9824.9366
device-1,7311543589337,7321399099459,9855.5101
device-1,7311749140287,7321767043189,10017.9029
device-1,7311955102747,7322099503339,10144.4006
device-1,7312158752347,7322673939179,10515.1868
device-1,7312365611967,7323011572409,10645.9604
device-1,7312571376537,7323501892239,10930.5157
device-1,7312778323277,7323939770009,11161.4467
device-1,7312979644397,7324453774049,11474.1297
device-1,7313181015017,7324533841509,11352.8265
device-1,7313386380617,7325093424641,11707.0440
device-1,7313589658197,7325254514691,11664.8565
device-1,7313792454527,7325626201171,11833.7466
device-1,7314000941157,7325857163551,11856.2224
device-1,7314206917917,7326070833711,11863.9158
device-1,7314407752947,7326225963631,11818.2107
device-1,7314609453127,7326461883601,11852.4305
device-1,7314811338987,7326587095611,11775.7566
device-1,7315012447257,7327075713191,12063.2659
device-1,7315215838467,7327294232151,12078.3937
device-1,7315419737217,7327616373311,12196.6361
device-1,7315622304197,7327775744501,12153.4403
device-1,7315823676797,7328016882211,12193.2054
device-1,7316028362927,7328261419031,12233.0561
device-1,7316230238777,7328648768081,12418.5293
device-1,7316431805307,7328787277771,12355.4725
device-1,7316633930967,7329073939641,12440.0087
device-1,7316839667047,7329322295771,12482.6287
device-1,7317042038069,7329841704111,12799.6660
device-1,7317247154739,7330055419481,12808.2647
device-1,7317448290839,7330856317271,13408.0264
device-1,7317650136439,7331089610661,13439.4742
device-1,7317856783979,7331870943851,14014.1599
device-1,7318063898029,7332336607511,14272.7095
device-1,7318266253699,7332918360551,14652.1069
device-1,7318479049909,7333147224791,14668.1749
device-1,7318682977039,7333775500461,15092.5234
device-1,7318887595959,7333958301981,15070.7060
device-1,7319095385739,7334237666891,15142.2812
device-1,7319296521619,7334322112901,15025.5913
device-1,7319498235879,7334676027231,15177.7914
device-1,7319699082569,7335027083651,15328.0011
device-1,7319899936959,7335444215641,15544.2787
device-1,7320105002809,7335601089171,15496.0864
device-1,7320307672639,7335961552885,15653.8802
device-1,7320516207119,7336187149658,15670.9425
device-1,7320719654209,7336398629132,15678.9749
device-1,7320922252099,7336641203517,15718.9514
device-1,7321125317049,7337335393241,16210.0762
device-1,7321328067289,7337482015128,16153.9478
device-1,7321528928389,7337953970124,16425.0417
device-1,7321730489529,7338244492333,16514.0028
device-1,7321931422239,7338617495009,16686.0728
device-1,7322135876819,7338915580211,16779.7034
device-1,7322342436359,7339546468401,17204.0320
device-1,7322545796329,7340012889435,17467.0931
device-1,7322750939069,7340372288524,17621.3495
device-1,7322953153829,7340727856182,17774.7024
device-1,7323161374479,7341331705784,18170.3313
device-1,7323364055639,7341643757449,18279.7018
device-1,7323570929889,7342024450322,18453.5204
device-1,7323772608949,7342197609393,18425.0004
device-1,7323973517349,7342448041254,18474.5239
device-1,7324178774049,7342620814252,18442.0402
device-1,7324380544739,7343287300843,18906.7561
device-1,7324585627529,7343661366553,19075.7390
device-1,7324786864389,7344223297810,19436.4334
device-1,7324991795819,7344578446890,19586.6511
device-1,7325192682151,7345169407590,19976.7254
device-1,7325393924511,7345421646610,20027.7221
device-1,7325596757581,7345753233470,20156.4759
device-1,7325802745561,7345911862490,20109.1169
device-1,7326009655011,7346527593540,20517.9385
device-1,7326213454651,7346763985190,20550.5305
device-1,7326416043081,7347403718020,20987.6749
device-1,7326618163021,7347881215040,21263.0520
device-1,7326818577521,7348507004710,21688.4272
device-1,7327019491861,7348971947870,21952.4560
device-1,7327221957641,7349510328240,22288.3706
device-2,7297514063337,7297690036937,175.9736
device-2,7297718064497,7297941145487,223.0810
device-2,7297919263187,7298153022427,233.7592
device-2,7298120654267,7298408928077,288.2738
device-2,7298324965847,7298722560297,397.5944
device-2,7298526317217,7298945405227,419.0880
device-2,7298728297017,7299204414747,476.1177
device-2,7298930320817,7299376919937,446.5991
device-2,7299136362367,7299716738317,580.3759
device-2,7299337891167,7299867264077,529.3729
device-2,7299539294127,7300153473407,614.1793
device-2,7299740263687,7300541002857,800.7392
device-2,7299940864637,7301016714621,1075.8500
device-2,7300141620797,7301548556478,1406.9357
device-2,7300342488607,7301865426838,1522.9382
device-2,7300543100447,7302493732353,1950.6319
device-2,7300744187487,7302869953706,2125.7662
device-2,7300945267021,7303259602949,2314.3359
device-2,7301148571153,7303747855568,2599.2844
device-2,7301351269556,7304262232023,2910.9625
device-2,7301553234604,7304485908322,2932.6737
device-2,7301754839963,7305142866765,3388.0268
device-2,7301956844122,7305558455774,3601.6117
device-2,7302159678058,7306026868284,3867.1902
device-2,7302361797816,7306304668489,3942.8707
device-2,7302562777835,7306718720478,4155.9426
device-2,7302765555434,7307056361373,4290.8059
device-2,7302966671746,7307726964603,4760.2929
device-2,7303169177086,7307971441880,4802.2648
device-2,7303371976895,7308205081679,4833.1048
device-2,7303573713021,7308454086164,4880.3731
device-2,7303780483278,7308621101882,4840.6186
device-2,7303982497838,7308772936766,4790.4389
device-2,7304186607262,7309004973807,4818.3665
device-2,7304390647565,7309174768487,4784.1209
device-2,7304592455520,7309324025397,4731.5699
device-2,7304794526091,7309460892347,4666.3663
device-2,7304998719587,7309694346777,4695.6272
device-2,7305207984268,7309930108677,4722.1244
device-2,7305410366208,7310092198517,4681.8323
device-2,7305613573051,7310635901787,5022.3287
device-2,7305814267161,7311039073787,5224.8066
device-2,7306016237626,7311209846697,5193.6091
device-2,7306223524449,7311565411137,5341.8867
device-2,7306428096919,7312240826647,5812.7297
device-2,7306631589888,7313021338577,6389.7487
device-2,7306832903595,7313357122047,6524.2185
device-2,7307036302200,7313661735367,6625.4332
device-2,7307238667782,7314365212867,7126.5451
device-2,7307442130307,7314758816627,7316.6863
device-2,7307645040081,7315033696947,7388.6569
device-2,7307863317684,7315211953487,7348.6358
device-2,7308081759964,7315535620457,7453.8605
device-2,7308296508713,7315795280187,7498.7715
device-2,7308514419043,7316021867867,7507.4488
device-2,7308715680422,7316260136007,7544.4556
device-2,7308916846317,7316416490007,7499.6437
device-2,7309119967477,7316666597667,7546.6302
device-2,7309322340417,7317363254899,8040.9145
device-2,7309524275447,7317905232489,8380.9570
device-2,7309725870797,7318669149929,8943.2791
device-2,7309927059697,7319001793009,9074.7333
device-2,7310128729077,7319238563829,9109.8348
device-2,7310330664437,7319551580929,9220.9165
device-2,7310533001737,7319782756489,9249.7548
device-2,7310736371057,7320024542209,9288.1712
device-2,7310938791077,7320306703759,9367.9127
device-2,7311140739747,7320579557439,9438.8177
device-2,7311341459057,7321166371139,9824.9121
device-2,7311543728157,7321459368349,9915.6402
device-2,7311749254687,7321767202799,10017.9481
device-2,7311955336057,7322318055849,10362.7198
device-2,7312158909427,7322674036859,10515.1274
device-2,7312365702387,7323248439039,10882.7367
device-2,7312571458817,7323501935469,10930.4767
device-2,7312778421067,7324003228459,11224.8074
device-2,7312979760777,7324454007689,11474.2469
device-2,7313181102357,7324777782349,11596.6800
device-2,7313386475437,7325093919421,11707.4440
device-2,7313589747847,7325404319181,11814.5713
device-2,7313792576187,7325626241431,11833.6652
device-2,7314001101867,7325857339221,11856.2374
device-2,7314207004047,7326070967031,11863.9630
device-2,7314407836877,7326303201011,11895.3641
device-2,7314609549597,7326462045741,11852.4961
device-2,7314811441177,7326693741271,11882.3001
device-2,7315012570677,7327075765331,12063.1947
device-2,7315215916677,7327378451891,12162.5352
device-2,7315419990657,7327616452621,12196.4620
device-2,7315622453687,7327863355541,12240.9019
device-2,7315823794387,7328017059971,12193.2656
device-2,7316028474137,7328261374811,12232.9007
device-2,7316230367257,7328648588451,12418.2212
device-2,7316431889787,7328787364011,12355.4742
device-2,7316634176707,7329074001571,12439.8249
device-2,7316839913227,7329447491061,12607.5778
device-2,7317042129369,7329841622051,12799.4927
device-2,7317247238889,7330270669681,13023.4308
device-2,7317448450559,7330856481941,13408.0314
device-2,7317650465119,7331333897121,13683.4320
device-2,7317856906519,7331871121061,14014.2145
device-2,7318064074469,7332336501801,14272.4273
device-2,7318266345769,7332918429081,14652.0833
device-2,7318479221069,7333307765281,14828.5442
device-2,7318683069439,7333775561841,15092.4924
device-2,7318887689459,7334100623501,15212.9340
device-2,7319095463399,7334237789101,15142.3257
device-2,7319296600599,7334322167131,15025.5665
device-2,7319498319589,7334676232271,15177.9127
device-2,7319699218639,7335195624111,15496.4055
device-2,7319900066539,7335444292531,15544.2260
device-2,7320105339959,7335697475351,15592.1354
device-2,7320307779779,7335961444305,15653.6645
device-2,7320516364639,7336187289820,15670.9252
device-2,7320719886309,7336398675418,15678.7891
device-2,7320922335369,7336641154182,15718.8188
device-2,7321125533529,7336958805262,15833.2717
device-2,7321328210839,7337729558360,16401.3475
device-2,7321529142779,7337729657683,16200.5149
device-2,7321730571259,7337953780627,16223.2094
device-2,7321931628049,7338617658368,16686.0303
device-2,7322136284369,7339148106579,17011.8222
device-2,7322342553729,7339546535705,17203.9820
device-2,7322545899729,7339771273207,17225.3735
device-2,7322751090099,7340372106650,17621.0166
device-2,7322953282859,7340899420104,17946.1372
device-2,7323161517259,7341331795522,18170.2783
device-2,7323364145399,7341800943786,18436.7984
device-2,7323571014479,7342024511091,18453.4966
device-2,7323772715759,7342284083235,18511.3675
device-2,7323973629439,7342448127508,18474.4981
device-2,7324179010989,7342913596483,18734.5855
device-2,7324380631749,7343287677114,18907.0454
device-2,7324585710139,7343816029410,19230.3193
device-2,7324787095939,7344223388780,19436.2928
device-2,7324991909669,7344783163820,19791.2542
device-2,7325192742321,7345169459730,19976.7174
device-2,7325394158591,7345500326860,20106.1683
device-2,7325596842061,7345753415520,20156.5735
device-2,7325802828171,7346058530000,20255.7018
device-2,7326009718921,7346526943220,20517.2243
device-2,7326213532311,7346984969580,20771.4373
device-2,7326416124371,7347403408150,20987.2838
device-2,7326618241011,7348141331710,21523.0907
device-2,7326818667721,7348507118340,21688.4506
device-2,7327019565451,7348774998260,21755.4328
device-2,7327222021441,7349510395450,22288.3740
