device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,1779724713784701194,1779724713828212571,43.5114
device-1,1779724713885582121,1779724713929926663,44.3445
device-1,1779724713986286604,1779724714032091961,45.8054
device-1,1779724714087238680,1779724714133477798,46.2391
device-1,1779724714188010718,1779724714232514578,44.5039
device-1,1779724714289184907,1779724714332295613,43.1107
device-1,1779724714390248515,1779724714433460076,43.2116
device-1,1779724714491398812,1779724714537504091,46.1053
device-1,1779724714592676183,1779724714637392008,44.7158
device-1,1779724714693708816,1779724714737737895,44.0291
device-1,1779724714794854461,1779724714837443237,42.5888
device-1,1779724714896022942,1779724714941440841,45.4179
device-1,1779724714997195228,1779724715041237417,44.0422
device-1,1779724715098616164,1779724715140824777,42.2086
device-1,1779724715199767413,1779724715245664427,45.8970
device-1,1779724715300880180,1779724715344890442,44.0103
device-1,1779724715401983644,1779724715445400933,43.4173
device-1,1779724715502270329,1779724715544005008,41.7347
device-1,1779724715602585242,1779724715644884652,42.2994
device-1,1779724715704941756,1779724715749313059,44.3713
device-1,1779724715806684271,1779724715849471576,42.7873
device-1,1779724715908016379,1779724715953463349,45.4470
device-1,1779724716009045413,1779724716053658455,44.6130
device-1,1779724716112976170,1779724716157077392,44.1012
device-1,1779724716216710764,1779724716261413586,44.7028
device-1,1779724716317965253,1779724716361460328,43.4951
device-1,1779724716419199332,1779724716465646043,46.4467
device-1,1779724716519925186,1779724716564912047,44.9869
device-1,1779724716620584419,1779724716665436346,44.8519
device-1,1779724716722471069,1779724716769263259,46.7922
device-1,1779724716824771510,1779724716869517689,44.7462
device-1,1779724716928392954,1779724716971793597,43.4006
device-1,1779724717029471478,1779724717071859161,42.3877
device-1,1779724717130055102,1779724717172220608,42.1655
device-1,1779724717230656914,1779724717292010171,61.3533
device-1,1779724717334273917,1779724717440021529,105.7476
device-1,1779724717434890745,1779724717459928577,25.0378
device-1,1779724717535364920,1779724717648829381,113.4645
device-1,1779724717635726578,1779724717670163603,34.4370
device-1,1779724717736208049,1779724717861721536,125.5135
device-1,1779724717838893625,1779724717923516184,84.6226
device-1,1779724717939559203,1779724718061911989,122.3528
device-1,1779724718039980609,1779724718121638526,81.6579
device-1,1779724718140456687,1779724718263249913,122.7932
device-1,1779724718241611666,1779724718327351242,85.7396
device-1,1779724718342896399,1779724718465888008,122.9916
device-1,1779724718444207039,1779724718567144506,122.9375
device-1,1779724718545388879,1779724718609134154,63.7453
device-1,1779724718647738916,1779724718773769510,126.0306
device-1,1779724718748957133,1779724718872719328,123.7622
device-1,1779724718850078590,1779724718916963944,66.8854
device-1,1779724718953257268,1779724719078429823,125.1726
device-1,1779724719055003801,1779724719177526313,122.5225
device-1,1779724719156068684,1779724719221101863,65.0332
device-1,1779724719258654433,1779724719372573611,113.9192
device-1,1779724719359511098,1779724719476513250,117.0022
device-1,1779724719461347834,1779724719518229328,56.8815
device-1,1779724719562967682,1779724719685472639,122.5050
device-1,1779724719664386502,1779724719787325027,122.9385
device-1,1779724719765251098,1779724719832159293,66.9082
device-1,1779724719867126538,1779724719991481979,124.3554
device-1,1779724719968157264,1779724720090749147,122.5919
device-1,1779724720068651954,1779724720133400565,64.7486
device-1,1779724720171530413,1779724720295762975,124.2326
device-1,1779724720272803830,1779724720396216951,123.4131
device-1,1779724720373584779,1779724720435241533,61.6568
device-1,1779724720475101100,1779724720599685379,124.5843
device-1,1779724720576286535,1779724720698402129,122.1156
device-1,1779724720677028780,1779724720740172878,63.1441
device-1,1779724720777841454,1779724720900479231,122.6378
device-1,1779724720878663010,1779724721002942841,124.2798
device-1,1779724720979730642,1779724721045717350,65.9867
device-1,1779724721080167805,1779724721203361922,123.1941
device-1,1779724721180842689,1779724721303537993,122.6953
device-1,1779724721282232217,1779724721402468353,120.2361
device-1,1779724721382832866,1779724721444966119,62.1333
device-1,1779724721483840856,1779724721596211884,112.3710
device-1,1779724721584535726,1779724721700488860,115.9531
device-1,1779724721685215475,1779724721746490478,61.2750
device-1,1779724721787178686,1779724721910427475,123.2488
device-1,1779724721888691093,1779724722013815850,125.1248
device-1,1779724721989237388,1779724722057134961,67.8976
device-1,1779724722089776492,1779724722211374767,121.5983
device-1,1779724722190518737,1779724722314481219,123.9625
device-1,1779724722292241689,1779724722357777805,65.5361
device-1,1779724722396278405,1779724722512410887,116.1325
device-1,1779724722499923643,1779724722616496565,116.5729
device-1,1779724722603857572,1779724722660158299,56.3007
device-1,1779724722705882646,1779724722832086243,126.2036
device-1,1779724722809801559,1779724722937812177,128.0106
device-1,1779724722913933554,1779724722980191400,66.2578
device-1,1779724723018155753,1779724723133127651,114.9719
device-1,1779724723122075089,1779724723237995546,115.9205
device-1,1779724723226547381,1779724723278170982,51.6236
device-1,1779724723327868596,1779724723371128488,43.2599
device-1,1779724723431722052,1779724723542543344,110.8213
device-1,1779724723535476315,1779724723649747528,114.2712
device-1,1779724723636732284,1779724723691542493,54.8102
device-1,1779724723739175150,1779724723785613347,46.4382
device-1,1779724723843537050,1779724723956857009,113.3200
device-1,1779724723947581314,1779724724001007913,53.4266
device-1,1779724724051383731,1779724724177809614,126.4259
device-1,1779724724155603884,1779724724282532064,126.9282
device-1,1779724724259703959,1779724724325590006,65.8860
device-1,1779724724363091177,1779724724489841672,126.7505
device-1,1779724724467327397,1779724724595230575,127.9032
device-1,1779724724571518164,1779724723012952156,-1558.5660
device-1,1779724723046955109,1779724723159835664,112.8806
device-1,1779724723150645270,1779724723203043597,52.3983
device-1,1779724723251188674,1779724723371559717,120.3710
device-1,1779724723351734720,1779724723476477505,124.7428
device-1,1779724723453457867,1779724723518841617,65.3838
device-1,1779724723554792241,1779724723677195834,122.4036
device-1,1779724723655575377,1779724723779531208,123.9558
device-1,1779724723756954041,1779724723878873834,121.9198
device-1,1779724723858341477,1779724723921195559,62.8541
device-1,1779724723959231796,1779724724073264717,114.0329
device-1,1779724724060200757,1779724724179852284,119.6515
device-1,1779724724161217601,1779724724221335367,60.1178
device-1,1779724724262936203,1779724724385147417,122.2112
device-1,1779724724363660991,1779724724485446120,121.7851
device-1,1779724724464587671,1779724724527771862,63.1842
device-1,1779724724566143069,1779724724691228858,125.0858
device-1,1779724724667286862,1779724724790510810,123.2239
device-1,1779724724769278175,1779724724893633244,124.3551
device-1,1779724724870629250,1779724724935882669,65.2534
device-1,1779724724971778117,1779724725097564817,125.7867
device-1,1779724725073574410,1779724725198197117,124.6227
device-1,1779724725175401145,1779724725297363325,121.9622
device-1,1779724725276930117,1779724725338787849,61.8577
device-1,1779724725378578109,1779724725502481829,123.9037
device-1,1779724725479838597,1779724725606682110,126.8435
