device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,5108206951097,5108208321020,1.3699
device-1,5108411845695,5108413144764,1.2991
device-1,5108617427305,5108618451262,1.0240
device-1,5108820253483,5108821298460,1.0450
device-1,5109025809766,5109026653869,0.8441
device-1,5109231104371,5109231991555,0.8872
device-1,5109435905260,5109437140849,1.2356
device-1,5109640627694,5109642093342,1.4656
device-1,5109844547725,5109846025310,1.4776
device-1,5110045444539,5110046487612,1.0431
device-1,5110249525649,5110250529968,1.0043
device-1,5110453163887,5110454135704,0.9718
device-1,5110654480450,5110655355979,0.8755
device-1,5110857275662,5110858432131,1.1565
device-1,5111060827261,5111062029234,1.2020
device-1,5111261788767,5111262663209,0.8744
device-1,5111464379722,5111465543168,1.1634
device-1,5111667619462,5111668698309,1.0788
device-1,5111870562497,5111871456054,0.8936
device-1,5112071577350,5112072506326,0.9290
device-1,5112272896774,5112274042017,1.1452
device-1,5112475153853,5112476041426,0.8876
device-1,5112677292233,5112678193824,0.9016
device-1,5112878375630,5112879630092,1.2545
device-1,5113079821378,5113080925878,1.1045
device-1,5113280640449,5113281532795,0.8923
device-1,5113482545314,5113485614480,3.0692
device-1,5113684576164,5113687131138,2.5550
device-1,5113886369825,5113887264182,0.8944
device-1,5114087513457,5114088606291,1.0928
device-1,5114288765627,5114289769537,1.0039
device-1,5114489765673,5114490837874,1.0722
device-1,5114690982727,5114693447326,2.4646
device-1,5114892184237,5114893052768,0.8685
device-1,5115092702635,5115093680071,0.9774
device-1,5115293656128,5115294790279,1.1342
device-1,5115494385338,5115495786719,1.4014
device-1,5115695130155,5115696512626,1.3825
device-1,5115895635655,5115896643845,1.0082
device-1,5116096087130,5116097259199,1.1721
device-1,5116296451295,5116297368076,0.9168
device-1,5116496924098,5116497694906,0.7708
device-1,5116697222372,5116698074154,0.8518
device-1,5116897494786,5116899617701,2.1229
device-1,5117098110468,5117099102134,0.9917
device-1,5117298572807,5117299496129,0.9233
device-1,5117499001661,5117499894186,0.8925
device-1,5117699382076,5117700275299,0.8932
device-1,5117899890864,5117900763854,0.8730
device-1,5118100364169,5118101198389,0.8342
device-1,5118300661822,5118301538426,0.8766
device-1,5118501301118,5118502324900,1.0238
device-1,5118701707157,5118703133566,1.4264
device-1,5118902295702,5118903380883,1.0852
device-1,5119102894098,5119105946339,3.0522
device-1,5119303579842,5119304412516,0.8327
device-1,5119503893164,5119504818863,0.9257
device-1,5119704414278,5119705320901,0.9066
device-1,5119904817756,5119905857913,1.0402
device-1,5120105272004,5120106405754,1.1338
device-1,5120305818928,5120306893068,1.0741
device-1,5120506276118,5120507674961,1.3988
device-1,5120706712766,5120707614730,0.9020
device-1,5120907245773,5120908631319,1.3855
device-1,5121107899055,5121108827119,0.9281
device-1,5121308384875,5121309414666,1.0298
device-1,5121508774892,5121509666194,0.8913
device-1,5121709220820,5121710078516,0.8577
device-1,5121909608061,5121910437207,0.8291
device-1,5122110210817,5122111386035,1.1752
device-1,5122310878235,5122311842900,0.9647
device-1,5122511265843,5122512104131,0.8383
device-1,5122711813997,5122712804215,0.9902
device-1,5122912282621,5122913281356,0.9987
device-1,5123112802152,5123113737996,0.9358
device-1,5123313442986,5123314471298,1.0283
device-1,5123514191550,5123515203137,1.0116
device-1,5123714663614,5123715829582,1.1660
device-1,5123915304508,5123916247515,0.9430
device-1,5124115835257,5124118531471,2.6962
device-1,5124316731036,5124317589023,0.8580
device-1,5124517358607,5124518330221,0.9716
device-1,5124718158745,5124721047677,2.8889
device-1,5124919127098,5124920245962,1.1189
device-1,5125119674072,5125120883224,1.2092
device-1,5125320151503,5125320985735,0.8342
device-1,5125520734160,5125523184575,2.4504
device-1,5125721413277,5125722361856,0.9486
device-1,5125921982493,5125922915161,0.9327
device-1,5126122431432,5126123638850,1.2074
device-1,5126322870276,5126323846099,0.9758
device-1,5126523288390,5126524130666,0.8423
