device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,6975517662091,6975674718477,157.0564
device-1,6975721102856,6975886320074,165.2172
device-1,6975922377082,6976100546925,178.1698
device-1,6976123235349,6976289531823,166.2965
device-1,6976323912944,6976484067347,160.1544
device-1,6976524445973,6976707285704,182.8397
device-1,6976725228599,6976883049474,157.8209
device-1,6976926201317,6977101316986,175.1157
device-1,6977126674248,6977264503129,137.8289
device-1,6977327172506,6977492600489,165.4280
device-1,6977529691361,6977698835647,169.1443
device-1,6977730244632,6977889561793,159.3172
device-1,6977930750165,6978078898340,148.1482
device-1,6978131163861,6978305202266,174.0384
device-1,6978331692491,6978490413340,158.7208
device-1,6978532207986,6978710409289,178.2013
device-1,6978732705770,6978891883238,159.1775
device-1,6978933222460,6979093996575,160.7741
device-1,6979133445826,6979289284898,155.8391
device-1,6979334308767,6979505429907,171.1211
device-1,6979534782886,6979703885325,169.1024
device-1,6979735454396,6979907125586,171.6712
device-1,6979936033221,6980109398582,173.3654
device-1,6980136545952,6980300517928,163.9720
device-1,6980336996705,6980508904152,171.9074
device-1,6980537661973,6980704450229,166.7883
device-1,6980738242904,6980887042254,148.7994
device-1,6980939054721,6981113795742,174.7410
device-1,6981139846216,6981327800263,187.9540
device-1,6981340645159,6981510118196,169.4730
device-1,6981541477206,6981723694537,182.2173
device-1,6981742132927,6981912757787,170.6249
device-1,6981942687401,6982096439389,153.7520
device-1,6982143269530,6982306550876,163.2813
device-1,6982343783332,6982471975295,128.1920
device-1,6982544300997,6982725179170,180.8782
device-1,6982744829554,6982905684024,160.8545
device-1,6982945670610,6983092419141,146.7485
device-1,6983146192516,6983307721809,161.5293
device-1,6983346885891,6983472404429,125.5185
device-1,6983547412844,6983697294616,149.8818
device-1,6983747933464,6983901982634,154.0492
device-1,6983948693881,6984097928666,149.2348
device-1,6984149368476,6984306592996,157.2245
device-1,6984349938957,6984503215673,153.2767
device-1,6984550249797,6984705760748,155.5110
device-1,6984750637660,6984895195549,144.5579
device-1,6984951188718,6985126347589,175.1589
device-1,6985151693737,6985303482197,151.7885
device-1,6985352089669,6985516777382,164.6877
device-1,6985552525619,6985700958044,148.4324
device-1,6985753224606,6985932739782,179.5152
device-1,6985953810854,6986142725821,188.9150
device-1,6986154357403,6986332058533,177.7011
device-1,6986354774085,6986511150862,156.3768
device-1,6986555282118,6986724385206,169.1031
device-1,6986755880614,6987228513102,472.6325
device-1,6986956362140,6987228599276,272.2371
device-1,6987156640357,6987393065162,236.4248
device-1,6987357167245,6987515402681,158.2354
device-1,6987557644687,6987717955141,160.3105
device-1,6987758410142,6987918652985,160.2428
device-1,6987958657430,6988117251503,158.5941
device-1,6988159095624,6988325747641,166.6520
device-1,6988359631197,6988511310216,151.6790
device-1,6988560484360,6988742312911,181.8286
device-1,6988761084260,6988919010299,157.9260
device-1,6988961581908,6989121688198,160.1063
device-1,6989162086957,6989300521298,138.4343
device-1,6989362685995,6989558045088,195.3591
device-1,6989563846406,6989728663222,164.8168
device-1,6989764429467,6989917156144,152.7267
device-1,6989964945274,6990129045113,164.0998
device-1,6990165302737,6990342455849,177.1531
device-1,6990365826822,6990523881309,158.0545
device-1,6990566301020,6990729386924,163.0859
device-1,6990766727005,6990925880906,159.1539
device-1,6990967263997,6991120417770,153.1538
device-1,6991167711996,6991336690110,168.9781
device-1,6991368294931,6991501274654,132.9797
