device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,6273736101100,6273778025623,41.9245
device-1,6273936716512,6273976280811,39.5643
device-1,6274137115726,6274178079409,40.9637
device-1,6274337740224,6274378978839,41.2386
device-1,6274538192926,6274577972265,39.7793
device-1,6274738720592,6274782428375,43.7078
device-1,6274939332195,6274980649951,41.3178
device-1,6275139835840,6275183041463,43.2056
device-1,6275340275369,6275382540703,42.2653
device-1,6275540815653,6275582183837,41.3682
device-1,6275741308662,6275781525196,40.2165
device-1,6275941833067,6275983485345,41.6523
device-1,6276142509507,6276182421017,39.9115
device-1,6276343104703,6276383522973,40.4183
device-1,6276543581433,6276585287479,41.7060
device-1,6276744093417,6276784502725,40.4093
device-1,6276944476611,6276985751479,41.2749
device-1,6277145012720,6277186370396,41.3577
device-1,6277345480789,6277388383269,42.9025
device-1,6277546109159,6277586449799,40.3406
device-1,6277746916824,6277791962577,45.0458
device-1,6277949676153,6277994019479,44.3433
device-1,6278154947542,6278195923198,40.9757
device-1,6278360111989,6278403469776,43.3578
device-1,6278560569594,6278602422618,41.8530
device-1,6278762898924,6278803706082,40.8072
device-1,6278964112268,6279007241072,43.1288
device-1,6279166286915,6279207858391,41.5715
device-1,6279370251991,6279412438196,42.1862
device-1,6279574485769,6279615974410,41.4886
device-1,6279777907605,6279821448881,43.5413
device-1,6279980367924,6280018927654,38.5597
device-1,6280182808642,6280223112944,40.3043
device-1,6280385583995,6280426618909,41.0349
device-1,6280588435619,6280627692853,39.2572
device-1,6280789244244,6280833108726,43.8645
device-1,6280989767722,6281031595431,41.8277
device-1,6281190485430,6281230557390,40.0720
device-1,6281391038043,6281433903966,42.8659
device-1,6281591701528,6281633357162,41.6556
device-1,6281793582222,6281834996896,41.4147
device-1,6281994948227,6282037314585,42.3664
device-1,6282196977725,6282238663641,41.6859
device-1,6282398660751,6282443192366,44.5316
device-1,6282600545953,6282639251350,38.7054
device-1,6282803345036,6282844586223,41.2412
device-1,6283004455613,6283047413582,42.9580
device-1,6283204986321,6283244903201,39.9169
device-1,6283405510696,6283442891761,37.3811
device-1,6283605954545,6283646682416,40.7279
device-1,6283806539128,6283845625531,39.0864
device-1,6284007149658,6284045776344,38.6267
device-1,6284207867272,6284250310264,42.4430
device-1,6284408774990,6284451858778,43.0838
device-1,6284609498419,6284651041528,41.5431
device-1,6284810352523,6284851165263,40.8127
device-1,6285010940393,6285051650099,40.7097
device-1,6285211503054,6285252827960,41.3249
device-1,6285412374415,6285453185354,40.8109
device-1,6285613071320,6285654938602,41.8673
device-1,6285813750700,6285853677816,39.9271
device-1,6286014189003,6286056733323,42.5443
device-1,6286214662545,6286254781432,40.1189
device-1,6286415142875,6286456537571,41.3947
device-1,6286615576786,6286657331263,41.7545
device-1,6286816036237,6286858224596,42.1884
device-1,6287016529420,6287056686411,40.1570
device-1,6287217061565,6287258599308,41.5377
device-1,6287417613043,6287460198308,42.5853
device-1,6287618161631,6287661541705,43.3801
device-1,6287818507506,6287861130816,42.6233
device-1,6288019063439,6288059893568,40.8301
device-1,6288219540273,6288264242907,44.7026
device-1,6288420247536,6288457817348,37.5698
device-1,6288620664176,6288661854375,41.1902
device-1,6288821256963,6288861045106,39.7881
device-1,6289022048804,6289061764814,39.7160
device-1,6289222565426,6289264705754,42.1403
device-1,6289423401878,6289463574733,40.1729
device-1,6289623973543,6289667260654,43.2871
device-1,6289824538662,6289868119269,43.5806
device-1,6290025000445,6290068129106,43.1287
device-1,6290225507448,6290265019334,39.5119
device-1,6290426032012,6290465365311,39.3333
device-1,6290626487423,6290667215682,40.7283
device-1,6290827032497,6290868739744,41.7072
device-1,6291027537735,6291069762040,42.2243
device-1,6291227809173,6291269981940,42.1728
device-1,6291428284182,6291471334570,43.0504
device-1,6291628742343,6291669451055,40.7087
