device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,3191385111662,3191386420131,1.3085
device-1,3191600917150,3191601954009,1.0369
device-1,3191816119834,3191816968479,0.8486
device-1,3192026677421,3192027852150,1.1747
device-1,3192236622417,3192237998625,1.3762
device-1,3192454673635,3192456345592,1.6720
device-1,3192661451623,3192662794560,1.3429
device-1,3192876688231,3192877901778,1.2135
device-1,3193094819584,3193097443372,2.6238
device-1,3193312939847,3193314476216,1.5364
device-1,3193530905603,3193532093707,1.1881
device-1,3193735778733,3193736680330,0.9016
device-1,3193939481699,3193940545197,1.0635
device-1,3194141459540,3194142423658,0.9641
device-1,3194343852951,3194344981470,1.1285
device-1,3194556974849,3194558358669,1.3838
device-1,3194770363682,3194773039552,2.6759
device-1,3194977400450,3194978426871,1.0264
device-1,3195195306622,3195196251929,0.9453
device-1,3195413241280,3195414396982,1.1557
device-1,3195631172134,3195632196597,1.0245
device-1,3195849123972,3195850020351,0.8964
device-1,3196066820510,3196067921846,1.1013
device-1,3196280535862,3196281914137,1.3783
device-1,3196486847938,3196487823364,0.9754
device-1,3196691046718,3196692091188,1.0445
device-1,3196891850808,3196892713153,0.8623
device-1,3197097718826,3197098673702,0.9549
device-1,3197314366327,3197315322617,0.9563
device-1,3197532270433,3197533122775,0.8523
device-1,3197750164100,3197751081355,0.9173
device-1,3197968103869,3197969215753,1.1119
device-1,3198186246422,3198189028196,2.7818
device-1,3198404509557,3198407241315,2.7318
device-1,3198622650479,3198624250238,1.5998
device-1,3198835596342,3198838459012,2.8627
device-1,3199040675934,3199041863714,1.1878
device-1,3199244259864,3199247187624,2.9278
device-1,3199449300744,3199452422324,3.1216
device-1,3199652507704,3199655482324,2.9746
device-1,3199873043844,3199873930224,0.8864
device-1,3200093711654,3200096891864,3.1802
device-1,3200312502644,3200315523794,3.0212
device-1,3200533315324,3200536553724,3.2384
device-1,3200754112604,3200756992624,2.8800
device-1,3200974729924,3200976354184,1.6243
device-1,3201185838734,3201188416254,2.5775
device-1,3201388151064,3201390309594,2.1585
device-1,3201605556934,3201606561784,1.0049
device-1,3201825580364,3201826699944,1.1196
device-1,3202037803804,3202038688534,0.8847
device-1,3202250010854,3202251392014,1.3812
device-1,3202470627734,3202473572104,2.9444
device-1,3202691553714,3202692585184,1.0315
device-1,3202902991094,3202904039614,1.0485
device-1,3203123588394,3203125191864,1.6035
device-1,3203344337714,3203346777514,2.4398
device-1,3203555740774,3203556698544,0.9578
device-1,3203762875944,3203763970994,1.0951
device-1,3203968705304,3203969571774,0.8665
device-1,3204173146354,3204174243164,1.0968
device-1,3204393556324,3204394603964,1.0476
device-1,3204612475904,3204613643114,1.1672
device-1,3204833260974,3204834507274,1.2463
device-1,3205053790954,3205055074764,1.2838
device-1,3205274373734,3205276357034,1.9833
device-1,3205475926624,3205477268734,1.3421
device-1,3205679423104,3205680709334,1.2862
device-1,3205884549674,3205887507904,2.9582
device-1,3206088238984,3206090185434,1.9465
device-1,3206289691444,3206292837334,3.1459
device-1,3206498077204,3206501239704,3.1625
device-1,3206705327544,3206706627304,1.2998
device-1,3206909571914,3206912481084,2.9092
device-1,3207130151944,3207133084434,2.9325
device-1,3207350683308,3207351933568,1.2503
device-1,3207571688158,3207575068348,3.3802
device-1,3207783596558,3207786801628,3.2051
device-1,3207990932918,3207991885628,0.9527
device-1,3208198436698,3208199495558,1.0589
device-1,3208399740328,3208402593508,2.8532
device-1,3208620755848,3208623660508,2.9047
device-1,3208841488668,3208844797688,3.3090
device-1,3209049299238,3209052290248,2.9910
device-1,3209261803838,3209262894048,1.0902
device-1,3209466681918,3209467978928,1.2970
device-1,3209669849168,3209670733898,0.8847
device-1,3209890473308,3209892334398,1.8611
device-1,3210092570258,3210095479758,2.9095
device-1,3210298608838,3210299570568,0.9617
device-1,3210519222418,3210522126858,2.9044
device-1,3210721603608,3210724430278,2.8267
device-1,3210942343028,3210945696048,3.3530
device-1,3211160592378,3211163381758,2.7894
device-1,3211371434878,3211372573378,1.1385
device-1,3211585868988,3211588723708,2.8547
device-1,3211806759878,3211808915328,2.1555
device-1,3212015865038,3212016897498,1.0325
device-1,3212226887058,3212228816568,1.9295
device-1,3212432886258,3212434390398,1.5041
device-1,3212650999098,3212652004608,1.0055
device-1,3212871895158,3212873871968,1.9768
device-1,3213076067038,3213077305638,1.2386
device-1,3213296735508,3213298051218,1.3157
device-1,3213506541258,3213509969738,3.4285
device-1,3213727884358,3213728929358,1.0450
device-1,3213928526338,3213929564298,1.0380
device-1,3214128972518,3214129685758,0.7132
device-1,3214330509678,3214331518598,1.0089
device-1,3214542031428,3214544083148,2.0517
device-1,3214753288958,3214754177428,0.8885
device-1,3214974387528,3214977180428,2.7929
device-1,3215184978678,3215186173718,1.1950
device-1,3215386072978,3215386969368,0.8964
device-1,3215607169898,3215610200838,3.0309
device-1,3215828081578,3215831085788,3.0042
device-1,3216040304468,3216041156858,0.8524
device-1,3216248727078,3216249817288,1.0902
device-1,3216450434298,3216453038878,2.6046
device-1,3216651932518,3216652923288,0.9908
device-1,3216852885908,3216853778228,0.8923
device-1,3217066479838,3217067547938,1.0681
device-1,3217279734308,3217280854988,1.1207
device-1,3217500215558,3217501383868,1.1683
device-1,3217701727198,3217704782118,3.0549
device-1,3217922320428,3217923383358,1.0629
device-1,3218141146966,3218142231983,1.0850
device-1,3218358290162,3218359612046,1.3219
device-1,3218575516213,3218576797806,1.2816
device-1,3218782695947,3218785859154,3.1632
device-1,3218986988008,3218988553907,1.5659
device-1,3219190239241,3219193240745,3.0015
device-1,3219392143571,3219395102511,2.9589
device-1,3219606449456,3219609595008,3.1456
device-1,3219821626668,3219823285277,1.6586
device-1,3220023776421,3220024905194,1.1288
device-1,3220233008460,3220235995993,2.9875
device-1,3220450434012,3220453528769,3.0948
device-1,3220667959639,3220669423296,1.4637
device-1,3220885330713,3220888351929,3.0212
device-1,3221087283673,3221090040729,2.7571
device-1,3221304843633,3221307761525,2.9179
device-2,3191385362830,3191386331406,0.9686
device-2,3191601016313,3191602026315,1.0100
device-2,3191816223128,3191817003491,0.7804
device-2,3192026776366,3192027816486,1.0401
device-2,3192236773770,3192238058209,1.2844
device-2,3192454915018,3192456253497,1.3385
device-2,3192661611349,3192662859255,1.2479
device-2,3192876817621,3192877956469,1.1388
device-2,3193095099567,3193097479797,2.3802
device-2,3193313103378,3193314536453,1.4331
device-2,3193531039342,3193532143723,1.1044
device-2,3193735890291,3193736717190,0.8269
device-2,3193939614025,3193940594779,0.9808
device-2,3194141576100,3194142478241,0.9021
device-2,3194344078241,3194345033226,0.9550
device-2,3194557219168,3194558231453,1.0123
device-2,3194770650297,3194773314424,2.6641
device-2,3194977517771,3194978463296,0.9455
device-2,3195195419702,3195196301728,0.8820
device-2,3195413354469,3195414448738,1.0943
device-2,3195631330881,3195632132772,0.8019
device-2,3195849258146,3195850056775,0.7986
device-2,3196067026447,3196067850736,0.8243
device-2,3196280746692,3196281973504,1.2268
