device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,1779724041841147666,1779724041842152416,1.0048
device-1,1779724042856079656,1779724042857018865,0.9392
device-1,1779724043858132279,1779724043859222939,1.0907
device-1,1779724044859689598,1779724044860468806,0.7792
device-1,1779724045861051455,1779724046037418432,176.3670
device-1,1779724046863427033,1779724047007124667,143.6976
device-1,1779724047881291372,1779724048037951645,156.6603
device-1,1779724048886950340,1779724049035661579,148.7112
device-1,1779724049891206141,1779724050075452725,184.2466
device-1,1779724050894613601,1779724051039293558,144.6800
device-1,1779724051896198043,1779724052058493085,162.2950
device-1,1779724052947066631,1779724053106293872,159.2272
device-1,1779724053949149027,1779724054099011247,149.8622
device-1,1779724054983102351,1779724055133611785,150.5094
device-1,1779724056022488076,1779724056194044409,171.5563
device-2,1779724041841277587,1779724041842139856,0.8623
device-2,1779724042856238495,1779724042857057915,0.8194
device-2,1779724043858243836,1779724043859149904,0.9061
device-2,1779724044859839044,1779724044860516722,0.6777
device-2,1779724045861156468,1779724046050218222,189.0618
device-2,1779724046863572046,1779724047014964246,151.3922
device-2,1779724047881411583,1779724048037317450,155.9059
device-2,1779724048887076255,1779724049024933360,137.8571
device-2,1779724049891563287,1779724050055880572,164.3173
device-2,1779724050894734974,1779724051052048563,157.3136
device-2,1779724051896360084,1779724052063211406,166.8513
device-2,1779724052947223813,1779724053111272473,164.0487
device-2,1779724053949401597,1779724054544143984,594.7424
device-2,1779724054983457173,1779724055145976052,162.5189
device-2,1779724056022879659,1779724056205383822,182.5042
device-3,1779724041841347666,1779724041842072416,0.7248
device-3,1779724042856282189,1779724042857067097,0.7849
device-3,1779724043858269482,1779724043859198875,0.9294
device-3,1779724044859865851,1779724044860550073,0.6842
device-3,1779724045861183381,1779724045937747924,76.5645
device-3,1779724046863599803,1779724047020337439,156.7376
device-3,1779724047881439657,1779724048053395657,171.9560
device-3,1779724048887108262,1779724049035317215,148.2090
device-3,1779724049891592231,1779724050038185206,146.5930
device-3,1779724050894760009,1779724051068698794,173.9388
device-3,1779724051896405929,1779724052058330515,161.9246
device-3,1779724052947273038,1779724053134120947,186.8479
device-3,1779724053949485258,1779724054129083134,179.5979
device-3,1779724054983631996,1779724055171754476,188.1225
device-3,1779724056022989412,1779724056193883635,170.8942
device-4,1779724042856315435,1779724042857080501,0.7651
device-4,1779724043858285946,1779724043859215129,0.9292
device-4,1779724044859883688,1779724044860533714,0.6500
device-4,1779724045861200373,1779724045937718479,76.5181
device-4,1779724046863617323,1779724047042954643,179.3373
device-4,1779724047881458126,1779724048036383624,154.9255
device-4,1779724048887128015,1779724049035283412,148.1554
device-4,1779724049891611350,1779724050055677334,164.0660
device-4,1779724050894777016,1779724051034740131,139.9631
device-4,1779724051896433499,1779724052046159874,149.7264
device-4,1779724052947303144,1779724053117299379,169.9962
device-4,1779724053949753355,1779724054085933744,136.1804
device-4,1779724054983711855,1779724055139492600,155.7807
device-4,1779724056023060291,1779724056166127440,143.0671
device-5,1779724041841423656,1779724041842160648,0.7370
device-5,1779724042856362506,1779724042857073957,0.7115
device-5,1779724043858300722,1779724043859435603,1.1349
device-5,1779724044859899941,1779724044860795878,0.8959
device-5,1779724045861215571,1779724045934041645,72.8261
device-5,1779724046863632416,1779724046936131523,72.4991
device-5,1779724047881475013,1779724048041372754,159.8977
device-5,1779724048887145973,1779724049038019314,150.8733
device-5,1779724049891628780,1779724050064532993,172.9042
device-5,1779724050894791910,1779724051078603179,183.8113
device-5,1779724051896459590,1779724052429016313,532.5567
device-5,1779724052947328918,1779724053127171863,179.8429
device-5,1779724053949826876,1779724054109390348,159.5635
device-5,1779724054983928614,1779724055146132918,162.2043
device-5,1779724056023122404,1779724056191284000,168.1616
