device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,1779723497074115180,1779723497077395094,3.2799
device-1,1779723498075875353,1779723498076525856,0.6505
device-1,1779723499080079488,1779723499081274809,1.1953
device-1,1779723500080477826,1779723500121146471,40.6686
device-1,1779723501097905713,1779723501141905580,43.9999
device-1,1779723502116139931,1779723502160437280,44.2973
device-1,1779723503131444824,1779723503175486584,44.0418
device-1,1779723504133864492,1779723504180024062,46.1596
device-1,1779723503523766530,1779723503568043884,44.2774
device-1,1779723504528667503,1779723504572532203,43.8647
device-1,1779723505531258822,1779723505575759635,44.5008
device-1,1779723506564252000,1779723506607959839,43.7078
device-1,1779723507572517348,1779723507617343574,44.8262
device-1,1779723508586128163,1779723508630453852,44.3257
device-1,1779723509587259917,1779723509632993999,45.7341
device-1,1779723510613737773,1779723510659268617,45.5308
device-2,1779723497074464710,1779723497077535266,3.0706
device-2,1779723498075960726,1779723498076571663,0.6109
device-2,1779723499080237961,1779723499081325800,1.0878
device-2,1779723500080572508,1779723500101106245,20.5337
device-2,1779723501098021553,1779723501139845531,41.8240
device-2,1779723502116273650,1779723502160025333,43.7517
device-2,1779723503131596103,1779723503175199787,43.6037
device-2,1779723504134075966,1779723504179142302,45.0663
device-2,1779723503523942141,1779723503567699855,43.7577
device-2,1779723504528931132,1779723504572002179,43.0710
device-2,1779723505531526529,1779723505574275676,42.7491
device-2,1779723506564355045,1779723506608023357,43.6683
device-2,1779723507572801119,1779723507619619133,46.8180
device-2,1779723508586234379,1779723508629885465,43.6511
device-2,1779723509587362645,1779723509630054087,42.6914
device-2,1779723510614032429,1779723510657635110,43.6027
