device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,12721049108218704,12721049115796011,7.5773
device-1,12721049310539610,12721049315440930,4.9013
device-1,12721049512405120,12721049515225498,2.8204
device-1,12721049714230077,12721049721057979,6.8279
device-1,12721049916045948,12721049920765784,4.7198
device-1,12721050117852582,12721050120651599,2.7990
device-1,12721050319649118,12721050326817143,7.1680
device-1,12721050521559679,12721050526427955,4.8683
device-1,12721050723208201,12721050726292632,3.0844
device-1,12721050925010077,12721050932351109,7.3410
device-1,12721051126836764,12721051131670861,4.8341
device-1,12721051328696095,12721051331681157,2.9851
device-1,12721051530557014,12721051536788645,6.2316
device-1,12721051731483999,12721051736139678,4.6557
device-1,12721051932396727,12721051935624308,3.2276
device-1,12721052134059375,12721052135837786,1.7784
device-1,12721052335926655,12721052340626219,4.6996
device-1,12721052537822223,12721052540192030,2.3698
device-1,12721052739703553,12721052741546126,1.8426
device-1,12721052941641928,12721052946582610,4.9407
device-1,12721053143516435,12721053146385979,2.8695
device-1,12721053345377370,12721053352604560,7.2272
device-1,12721053547099808,12721053552035199,4.9354
device-1,12721053748834002,12721053751626302,2.7923
device-1,12721053950599771,12721053957721171,7.1214
device-1,12721054152414245,12721054157114920,4.7007
device-1,12721054354115089,12721054356757348,2.6423
device-1,12721054555942120,12721054557778457,1.8363
device-1,12721054757835590,12721054762772283,4.9367
device-1,12721054959707126,12721054962623562,2.9164
device-1,12721055161457206,12721055168189084,6.7319
device-1,12721055363140775,12721055367933520,4.7927
device-1,12721055564880352,12721055567708987,2.8286
device-1,12721055766643610,12721055773476872,6.8333
device-1,12721055968340679,12721055973214469,4.8738
device-1,12721056170101655,12721056176797121,6.6955
device-1,12721056371824929,12721056376538822,4.7139
device-1,12721056573556367,12721056576445853,2.8895
device-1,12721056775261675,12721056782539860,7.2782
device-1,12721056977161702,12721056982290767,5.1291
device-1,12721057178961141,12721057182142475,3.1813
device-1,12721057380760996,12721057387357639,6.5966
device-1,12721057581962672,12721057586994631,5.0320
device-1,12721057782910820,12721057786746268,3.8354
device-1,12721057984562854,12721057986739520,2.1767
device-1,12721058186072522,12721058187840087,1.7676
device-1,12721058387933872,12721058392729333,4.7955
device-1,12721058589945469,12721058592539683,2.5942
device-1,12721058791796852,12721058799153470,7.3566
device-1,12721058993745359,12721058998729082,4.9837
device-1,12721059195632411,12721059198575931,2.9435
device-1,12721059397538374,12721059403511596,5.9732
device-1,12721059598516183,12721059603024398,4.5082
