device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,12724239218244709,12724239383756768,165.5121
device-1,12724239419703541,12724239574525017,154.8215
device-1,12724239621019519,12724239768863451,147.8439
device-1,12724239822282703,12724240010453415,188.1707
device-1,12724240023545651,12724240199581559,176.0359
device-1,12724240224637673,12724240645745588,421.1079
device-1,12724240425840806,12724240650936636,225.0958
device-1,12724240627004226,12724240794204183,167.2000
device-1,12724240827680126,12724241004793638,177.1135
device-1,12724241028793545,12724241199491018,170.6975
device-1,12724241229839205,12724241388957451,159.1182
device-1,12724241430760178,12724241593837430,163.0773
device-1,12724241632023630,12724241797860172,165.8365
device-1,12724241833262850,12724241992523816,159.2610
device-1,12724242034400918,12724242181855433,147.4545
device-1,12724242235639928,12724242396750206,161.1103
device-1,12724242436622572,12724242596624934,160.0024
device-1,12724242637733563,12724242801991115,164.2576
device-1,12724242838843221,12724242991288183,152.4450
device-1,12724243039977171,12724243206548742,166.5716
device-1,12724243241296132,12724243416653306,175.3572
device-1,12724243442361921,12724243622840106,180.4782
device-1,12724243643372689,12724243801612697,158.2400
device-1,12724243844049386,12724244012025919,167.9765
device-1,12724244045204703,12724244477955354,432.7507
device-1,12724244246499866,12724244483149105,236.6492
device-1,12724244447704629,12724244611272391,163.5678
device-1,12724244648888255,12724244800354984,151.4667
device-1,12724244850038437,12724245026237072,176.1986
device-1,12724245051166116,12724245226046080,174.8800
device-1,12724245252438066,12724245420401016,167.9630
device-1,12724245453663400,12724245625199807,171.5364
device-1,12724245654820221,12724245840657946,185.8377
device-1,12724245856030418,12724246010689136,154.6587
device-1,12724246057199992,12724246242447349,185.2474
device-1,12724246258219136,12724246432085720,173.8666
device-1,12724246459377034,12724246642764181,183.3871
device-1,12724246659997371,12724246821904144,161.9068
device-1,12724246861141863,12724247001739146,140.5973
device-1,12724247062263785,12724247238320695,176.0569
device-1,12724247263379814,12724247433287299,169.9075
device-1,12724247464541445,12724247643808861,179.2674
device-1,12724247665701364,12724247827461875,161.7605
device-1,12724247866974482,12724248027692635,160.7182
device-1,12724248068128940,12724248232672387,164.5434
device-1,12724248269343672,12724248448472848,179.1292
device-1,12724248470544337,12724248633086239,162.5419
device-1,12724248671805522,12724248843422108,171.6166
device-1,12724248872780549,12724249049155597,176.3750
device-1,12724249073947070,12724249264594201,190.6471
device-1,12724249275114158,12724249433289045,158.1749
device-1,12724249476350870,12724249612607494,136.2566
device-1,12724249677616788,12724249833547531,155.9307
device-1,12724249878902986,12724250049460841,170.5579
device-1,12724250080032478,12724250244854819,164.8223
