device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,12722203170194050,12722203218015613,47.8216
device-1,12722203371389263,12722203417834569,46.4453
device-1,12722203572570655,12722203617260459,44.6898
device-1,12722203773873600,12722203816943596,43.0700
device-1,12722203975191310,12722204017189885,41.9986
device-1,12722204176306866,12722204216885321,40.5785
device-1,12722204377620046,12722204421860640,44.2406
device-1,12722204578873661,12722204621706630,42.8330
device-1,12722204780074522,12722204827187058,47.1125
device-1,12722204981244753,12722205020998462,39.7537
device-1,12722205182442508,12722205225791968,43.3495
device-1,12722205383615807,12722205425438152,41.8223
device-1,12722205584778897,12722205630437804,45.6589
device-1,12722205785843094,12722205830273086,44.4300
device-1,12722205986949363,12722206029784912,42.8355
device-1,12722206188087614,12722206235954529,47.8669
device-1,12722206389273096,12722206435619704,46.3466
device-1,12722206590454325,12722206635085721,44.6314
device-1,12722206791609241,12722206834964993,43.3558
device-1,12722206992825133,12722207034827798,42.0027
device-1,12722207193922167,12722207239991653,46.0695
device-1,12722207395049233,12722207439930081,44.8808
device-1,12722207596329495,12722207639496431,43.1669
device-1,12722207797585377,12722207839374884,41.7895
device-1,12722207998726230,12722208044114286,45.3881
device-1,12722208199824926,12722208249760290,49.9354
device-1,12722208401168827,12722208449012289,47.8435
device-1,12722208602452535,12722208648629457,46.1769
device-1,12722208803608088,12722208847892279,44.2842
device-1,12722209004762595,12722209047393683,42.6311
device-1,12722209205900960,12722209252964011,47.0631
device-1,12722209406999635,12722209452605854,45.6062
device-1,12722209608037936,12722209652181071,44.1431
device-1,12722209809249463,12722209852249286,42.9998
device-1,12722210010446442,12722210057687444,47.2410
device-1,12722210211619860,12722210257466785,45.8469
device-1,12722210412787884,12722210451874687,39.0868
device-1,12722210614003943,12722210662375057,48.3711
device-1,12722210815179264,12722210862481618,47.3024
device-1,12722211016351515,12722211062103417,45.7519
device-1,12722211217477516,12722211261724091,44.2466
device-1,12722211418660374,12722211461380996,42.7206
device-1,12722211619816924,12722211667130357,47.3134
device-1,12722211821012860,12722211866558301,45.5454
device-1,12722212022184278,12722212066320202,44.1359
device-1,12722212223429023,12722212272057316,48.6283
device-1,12722212424620340,12722212472135453,47.5151
device-1,12722212625751762,12722212671380361,45.6286
device-1,12722212826882120,12722212876978677,50.0966
device-1,12722213028143380,12722213070795936,42.6526
