device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,12462626789354731,12462626790609723,1.2550
device-1,12462626889576080,12462626890424268,0.8482
device-1,12462626989751368,12462626990555585,0.8042
device-1,12462627089908187,12462627090724556,0.8164
device-1,12462627190084423,12462627190906983,0.8226
device-1,12462627290246352,12462627290986407,0.7401
device-1,12462627390411490,12462627391154643,0.7432
device-1,12462627490574708,12462627491259435,0.6847
device-1,12462627590746996,12462627591440023,0.6930
device-1,12462627690933265,12462627691703209,0.7699
device-1,12462627791097833,12462627791805589,0.7078
device-1,12462627891268877,12462627891952280,0.6834
device-1,12462627991436737,12462627992233565,0.7968
device-1,12462628091587836,12462628092499475,0.9116
device-1,12462628191772571,12462628192690508,0.9179
device-1,12462628291942377,12462628292790486,0.8481
device-1,12462628392036160,12462628392787714,0.7516
device-1,12462628492195731,12462628492929934,0.7342
device-1,12462628592360790,12462628593196516,0.8357
device-1,12462628692533347,12462628693328000,0.7947
device-1,12462628792717369,12462628793525200,0.8078
device-1,12462628892903503,12462628893635538,0.7320
device-1,12462628993077568,12462628993804388,0.7268
device-1,12462629093238744,12462629094002687,0.7639
device-1,12462629193409539,12462629194266127,0.8566
device-1,12462629293572008,12462629294361673,0.7897
device-1,12462629393731065,12462629394571844,0.8408
device-1,12462629493890109,12462629494689751,0.7996
device-1,12462629594046499,12462629594807482,0.7610
device-1,12462629694201318,12462629695032444,0.8311
device-1,12462629794363543,12462629795046720,0.6832
device-1,12462629894531692,12462629895323368,0.7917
device-1,12462629994706971,12462629995431696,0.7247
device-1,12462630094866220,12462630095689677,0.8235
device-1,12462630195031888,12462630195899524,0.8676
device-1,12462630295202602,12462630296170239,0.9676
device-1,12462630395367356,12462630396263313,0.8960
device-1,12462630495542917,12462630496395421,0.8525
device-1,12462630595720253,12462630596691524,0.9713
device-1,12462630695888788,12462630696750839,0.8621
device-1,12462630796049900,12462630796842093,0.7922
device-1,12462630896227611,12462630897121467,0.8939
device-1,12462630996414979,12462630997383053,0.9681
device-1,12462631096585860,12462631097491378,0.9055
device-1,12462631196755301,12462631197619373,0.8641
device-1,12462631296915227,12462631297892015,0.9768
device-1,12462631397080516,12462631397968476,0.8880
device-1,12462631497242527,12462631498321970,1.0794
device-1,12462631597407122,12462631598349808,0.9427
device-1,12462631697569486,12462631698458350,0.8889
device-1,12462631797727382,12462631798557991,0.8306
device-1,12462631897888032,12462631898733190,0.8452
device-1,12462631998058586,12462631998827824,0.7692
device-1,12462632098223434,12462632099102179,0.8787
device-1,12462632198393557,12462632199269306,0.8757
device-1,12462632298560508,12462632299463694,0.9032
device-1,12462632398722682,12462632399515648,0.7930
device-1,12462632498880081,12462632499709696,0.8296
device-1,12462632599041999,12462632599919707,0.8777
device-1,12462632699206028,12462632700077723,0.8717
device-1,12462632799365377,12462632800267002,0.9016
device-1,12462632899518508,12462632900321889,0.8034
device-1,12462632999675409,12462633000740762,1.0654
device-1,12462633099859701,12462633100700716,0.8410
device-1,12462633200046735,12462633201009198,0.9625
device-1,12462633300215646,12462633301001542,0.7859
device-1,12462633400382147,12462633401158644,0.7765
device-1,12462633500552010,12462633501271889,0.7199
device-1,12462633600716330,12462633601593658,0.8773
device-1,12462633700871764,12462633701761802,0.8900
device-1,12462633801033344,12462633801976874,0.9435
device-1,12462633901183665,12462633902074676,0.8910
device-1,12462634001372389,12462634002472704,1.1003
device-1,12462634101542422,12462634102419726,0.8773
device-1,12462634201725159,12462634202732430,1.0073
device-1,12462634301912079,12462634302714425,0.8023
device-1,12462634402085905,12462634402980894,0.8950
device-1,12462634502267058,12462634503206707,0.9396
device-1,12462634602440003,12462634603387762,0.9478
device-1,12462634702605697,12462634703625437,1.0197
device-1,12462634802771810,12462634803648691,0.8769
device-1,12462634902948856,12462634903861731,0.9129
device-1,12462635003125394,12462635003941437,0.8160
device-1,12462635103294950,12462635104236583,0.9416
device-1,12462635203464079,12462635204342767,0.8787
device-1,12462635303635149,12462635304568397,0.9332
device-1,12462635403806669,12462635404602266,0.7956
device-1,12462635503978111,12462635504892694,0.9146
device-1,12462635604170981,12462635604947960,0.7770
device-1,12462635704343791,12462635705178027,0.8342
device-1,12462635804506440,12462635805323158,0.8167
device-1,12462635904687910,12462635905482359,0.7944
device-1,12462636004862904,12462636005920682,1.0578
device-1,12462636105038461,12462636105756188,0.7177
device-1,12462636205211052,12462636206126772,0.9157
device-1,12462636305383358,12462636306150164,0.7668
device-1,12462636405549510,12462636406368010,0.8185
device-1,12462636505719038,12462636506468966,0.7499
device-1,12462636605892118,12462636606642969,0.7509
device-1,12462636706063509,12462636706897572,0.8341
device-1,12462636806224141,12462636807100672,0.8765
device-1,12462636906384420,12462636907412909,1.0285
device-1,12462637006554792,12462637007435812,0.8810
device-1,12462637106728087,12462637107722822,0.9947
device-1,12462637206896361,12462637207637271,0.7409
device-1,12462637307059889,12462637307963653,0.9038
device-1,12462637407239841,12462637408059303,0.8195
device-1,12462637507421659,12462637508400668,0.9790
device-1,12462637607590641,12462637608433386,0.8427
device-1,12462637707746623,12462637708596119,0.8495
device-1,12462637807917742,12462637808690621,0.7729
device-1,12462637908076910,12462637908842118,0.7652
device-1,12462638008237391,12462638009186515,0.9491
device-1,12462638108403418,12462638109239810,0.8364
device-1,12462638208565563,12462638209599862,1.0343
device-1,12462638308717273,12462638309513784,0.7965
device-1,12462638408862024,12462638409791173,0.9291
device-1,12462638509027971,12462638509835802,0.8078
device-1,12462638609178027,12462638610086759,0.9087
