device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,12465058692083362,12465058837700942,145.6176
device-1,12465058792473393,12465058956185524,163.7121
device-1,12465058892806069,12465059053775658,160.9696
device-1,12465058993073514,12465059163134967,170.0615
device-1,12465059093417422,12465059251208557,157.7911
device-1,12465059193769316,12465059356996563,163.2272
device-1,12465059294116426,12465059601660325,307.5439
device-1,12465059394565536,12465059625462190,230.8967
device-1,12465059494864776,12465059663189196,168.3244
device-1,12465059595289892,12465059742463348,147.1735
device-1,12465059695693126,12465059840017160,144.3240
device-1,12465059796041126,12465059953938744,157.8976
device-1,12465059896381017,12465060052625604,156.2446
device-1,12465059996724713,12465060154391603,157.6669
device-1,12465060097062421,12465060273142480,176.0801
device-1,12465060197410213,12465060391679188,194.2690
device-1,12465060297724121,12465060471084130,173.3600
device-1,12465060398062470,12465060556530233,158.4678
device-1,12465060498391489,12465060655820373,157.4289
device-1,12465060598683007,12465060773091122,174.4081
device-1,12465060698953583,12465060859504974,160.5514
device-1,12465060799323362,12465060933074397,133.7510
device-1,12465060899647333,12465061058045271,158.3979
device-1,12465060999969481,12465061171237039,171.2676
device-1,12465061100339705,12465061264391319,164.0516
device-1,12465061200653192,12465061350872482,150.2193
device-1,12465061300997797,12465061458776321,157.7785
device-1,12465061401335029,12465061560189418,158.8544
device-1,12465061501660536,12465061681461250,179.8007
device-1,12465061601951808,12465061771092162,169.1404
device-1,12465061702284074,12465061862515814,160.2317
device-1,12465061802590899,12465062000468212,197.8773
device-1,12465061902895609,12465062076122411,173.2268
device-1,12465062003247806,12465062147695823,144.4480
device-1,12465062103586637,12465062282011046,178.4244
device-1,12465062203850078,12465062365234398,161.3843
device-1,12465062304171591,12465062475538377,171.3668
device-1,12465062404493515,12465062583577431,179.0839
device-1,12465062504822518,12465062670027952,165.2054
device-1,12465062605175400,12465062787934869,182.7595
device-1,12465062705510173,12465062841494699,135.9845
device-1,12465062805875772,12465062940674139,134.7984
device-1,12465062906219448,12465063064165422,157.9460
device-1,12465063006572872,12465063189427892,182.8550
device-1,12465063106902336,12465063265611098,158.7088
device-1,12465063207261280,12465063348409234,141.1480
device-1,12465063307612244,12465063455438116,147.8259
device-1,12465063407938127,12465063722970532,315.0324
device-1,12465063508316688,12465063723130224,214.8135
device-1,12465063608638014,12465063826852407,218.2144
device-1,12465063708976939,12465063889886434,180.9095
device-1,12465063809297334,12465063964864493,155.5672
device-1,12465063909631051,12465064051734436,142.1034
device-1,12465064009955359,12465064172610817,162.6555
device-1,12465064110275595,12465064266727419,156.4518
device-1,12465064210608790,12465064375973853,165.3651
device-1,12465064310924745,12465064471943848,161.0191
device-1,12465064411245903,12465064577930508,166.6846
device-1,12465064511568619,12465064676792304,165.2237
device-1,12465064611868402,12465064779604052,167.7356
device-1,12465064712204299,12465064892363809,180.1595
device-1,12465064812505179,12465064938823076,126.3179
device-1,12465064912792762,12465065083315047,170.5223
device-1,12465065013092407,12465065164734082,151.6417
device-1,12465065113395214,12465065264625968,151.2308
device-1,12465065213716221,12465065368294572,154.5784
device-1,12465065314019042,12465065458653661,144.6346
device-1,12465065414320353,12465065576204987,161.8846
device-1,12465065514602216,12465065687212057,172.6098
device-1,12465065614903926,12465065774132967,159.2290
device-1,12465065715232015,12465065872340211,157.1082
device-1,12465065815527069,12465065965658978,150.1319
device-1,12465065915818730,12465066083021024,167.2023
device-1,12465066016122085,12465066169766047,153.6440
device-1,12465066116405644,12465066281392959,164.9873
device-1,12465066216706587,12465066390841270,174.1347
device-1,12465066316997372,12465066472075653,155.0783
device-1,12465066417283998,12465066582105241,164.8212
device-1,12465066517573015,12465066689720518,172.1475
device-1,12465066617869970,12465066796874638,179.0047
device-1,12465066718172312,12465066871751748,153.5794
device-1,12465066818445773,12465067226865710,408.4199
device-1,12465066918756675,12465067227058691,308.3020
device-1,12465067019058103,12465067227184228,208.1261
device-1,12465067119386617,12465067379273996,259.8874
device-1,12465067219680426,12465067393916588,174.2362
device-1,12465067319990336,12465067476380749,156.3904
device-1,12465067420317614,12465067589843222,169.5256
device-1,12465067520643790,12465067671009645,150.3659
device-1,12465067620944092,12465067748778994,127.8349
device-1,12465067721243388,12465067893886438,172.6430
device-1,12465067821531410,12465067997482269,175.9509
device-1,12465067921812909,12465068080294361,158.4815
device-1,12465068022100951,12465068163041829,140.9409
device-1,12465068122364877,12465068284600312,162.2354
device-1,12465068222653916,12465068380818945,158.1650
device-1,12465068322980663,12465068475306698,152.3260
device-1,12465068423325694,12465068594789293,171.4636
device-1,12465068523616125,12465068691315633,167.6995
device-1,12465068623916494,12465069011475863,387.5594
device-1,12465068724223863,12465069011697554,287.4737
device-1,12465068824533937,12465069011871098,187.3372
device-1,12465068924846695,12465069063736224,138.8895
device-1,12465069025163741,12465069190127336,164.9636
device-1,12465069125461730,12465069278583853,153.1221
device-1,12465069225755338,12465069388231633,162.4763
device-1,12465069326042682,12465069516396946,190.3543
device-1,12465069426326329,12465069589314372,162.9880
device-1,12465069526645776,12465069699942884,173.2971
device-1,12465069626950003,12465069802343547,175.3935
device-1,12465069727248316,12465069893306895,166.0586
device-1,12465069827561347,12465070186135420,358.5741
device-1,12465069927871032,12465070186333941,258.4629
device-1,12465070028179621,12465070252992531,224.8129
device-1,12465070128470280,12465070339584604,211.1143
device-1,12465070228760064,12465070406948637,178.1886
device-1,12465070329050602,12465070495389813,166.3392
device-1,12465070429326964,12465070587397307,158.0703
device-1,12465070529601043,12465070671047504,141.4465
device-1,12465070629880467,12465070790832457,160.9520
device-1,12465070730166453,12465070890759248,160.5928
device-1,12465070830464559,12465070984319421,153.8549
device-1,12465070930766592,12465071095012390,164.2458
device-1,12465071031067215,12465071195823146,164.7559
device-1,12465071131380764,12465071278540542,147.1598
device-1,12465071231671992,12465071372290652,140.6187
device-1,12465071331976862,12465071483288334,151.3115
device-1,12465071432289606,12465071590696192,158.4066
device-1,12465071532591090,12465071709115752,176.5247
device-1,12465071632891960,12465071778448526,145.5566
device-1,12465071733188515,12465071878234312,145.0458
device-1,12465071833460858,12465072000439389,166.9785
device-1,12465071933754094,12465072099260398,165.5063
device-1,12465072034045570,12465072173580901,139.5353
device-1,12465072134347192,12465072295748591,161.4014
device-1,12465072234646003,12465072399010134,164.3641
device-1,12465072334954057,12465072504071826,169.1178
device-1,12465072435250224,12465072610484916,175.2347
device-1,12465072535553034,12465072700541875,164.9888
device-1,12465072635849007,12465072821288772,185.4398
device-1,12465072736211904,12465072906728526,170.5166
device-1,12465072836532829,12465072998966056,162.4332
device-1,12465072936845702,12465073088503222,151.6575
device-1,12465073037140076,12465073213543898,176.4038
device-1,12465073137450323,12465073288719563,151.2692
device-1,12465073237740689,12465073404310207,166.5695
device-1,12465073338036634,12465073485118642,147.0820
device-1,12465073438337589,12465073609931153,171.5936
device-1,12465073538615177,12465073713508017,174.8928
device-1,12465073638898117,12465073785166958,146.2688
device-1,12465073739184148,12465073892105344,152.9212
device-1,12465073839479816,12465073999864481,160.3847
device-1,12465073939770058,12465074088133680,148.3636
device-1,12465074040064824,12465074195765812,155.7010
device-1,12465074140369002,12465074305294201,164.9252
device-1,12465074240695664,12465074421187813,180.4921
device-1,12465074341006514,12465074500607472,159.6010
device-1,12465074441282698,12465074618287367,177.0047
device-1,12465074541566036,12465074699733629,158.1676
device-1,12465074641841803,12465074812770252,170.9284
device-1,12465074742134103,12465074897521183,155.3871
device-1,12465074842419905,12465075017638772,175.2189
device-1,12465074942709569,12465075118754814,176.0452
device-1,12465075043004047,12465075185684520,142.6805
device-1,12465075143330719,12465075328730981,185.4003
device-1,12465075243621000,12465075399367592,155.7466
device-1,12465075343924604,12465075507747232,163.8226
device-1,12465075444243312,12465075580965006,136.7217
device-1,12465075544559972,12465075692222639,147.6627
device-1,12465075644847749,12465075818717101,173.8694
device-1,12465075745155962,12465075911102766,165.9468
device-1,12465075845458285,12465076003489003,158.0307
device-1,12465075945756664,12465076131204351,185.4477
device-1,12465076046069321,12465076198574975,152.5057
device-1,12465076146388597,12465076298145129,151.7565
device-1,12465076246684457,12465076406983666,160.2992
device-1,12465076346987970,12465076521558822,174.5709
device-1,12465076447306429,12465076593491428,146.1850
device-1,12465076547580962,12465076714573164,166.9922
device-1,12465076647867589,12465076830909014,183.0414
device-1,12465076748169375,12465076922160348,173.9910
device-1,12465076848457181,12465077004144158,155.6870
device-1,12465076948734670,12465077069827065,121.0924
device-1,12465077049016244,12465077231483234,182.4670
device-1,12465077149294637,12465077305361441,156.0668
device-1,12465077249583504,12465077571520701,321.9372
device-1,12465077349877755,12465077571751536,221.8738
device-1,12465077450163395,12465077676751369,226.5880
device-1,12465077550446107,12465077725086342,174.6402
device-1,12465077650725842,12465077810390577,159.6647
device-1,12465077751019006,12465077934863812,183.8448
device-1,12465077851325143,12465078022340604,171.0155
device-1,12465077951624366,12465078113008271,161.3839
device-1,12465078051917067,12465078222313797,170.3967
device-1,12465078152241826,12465078322717582,170.4758
device-1,12465078252601459,12465078401102987,148.5015
device-1,12465078352940366,12465078529108503,176.1681
device-1,12465078453267363,12465078587019785,133.7524
device-1,12465078553569616,12465078704764243,151.1946
device-1,12465078653863565,12465078835395399,181.5318
device-1,12465078754168681,12465078905212596,151.0439
device-1,12465078854469360,12465079019133127,164.6638
device-1,12465078954755997,12465079125102332,170.3463
device-1,12465079055052558,12465079232355377,177.3028
device-1,12465079155344267,12465079323176526,167.8323
device-1,12465079255639213,12465079396922811,141.2836
device-1,12465079355922027,12465079532904464,176.9824
device-1,12465079456232656,12465079608538663,152.3060
device-1,12465079556530594,12465079714241394,157.7108
device-1,12465079656826827,12465079820058163,163.2313
device-1,12465079757132865,12465079919831394,162.6985
device-1,12465079857435223,12465080019016839,161.5816
device-1,12465079957746066,12465080117903603,160.1575
device-1,12465080058072051,12465080230937157,172.8651
device-1,12465080158383329,12465080333880986,175.4977
