device_id,send_ts_ns,recv_ts_ns,latency_ms
device-5,12464147124274511,12464147127754519,3.4800
device-5,12464147324769798,12464147344194780,19.4250
device-5,12464147525247280,12464147546856726,21.6094
device-5,12464147725738231,12464147746511929,20.7737
device-5,12464147926210365,12464147948436312,22.2259
device-5,12464148126707162,12464148147632643,20.9255
device-5,12464148327199117,12464148348637964,21.4388
device-5,12464148527680929,12464148549023153,21.3422
device-5,12464148728077896,12464148768565382,40.4875
device-5,12464148928537986,12464148966176304,37.6383
device-5,12464149129013819,12464149171109889,42.0961
device-5,12464149329486628,12464149370045498,40.5589
device-5,12464149529967530,12464149570919793,40.9523
device-5,12464149730460840,12464149771055750,40.5949
device-5,12464149931010721,12464149973072090,42.0614
device-5,12464150131511032,12464150173503852,41.9928
device-5,12464150332046024,12464150374122831,42.0768
device-5,12464150532550760,12464150572169112,39.6184
device-5,12464150733035548,12464150775290241,42.2547
device-5,12464150933548185,12464150977654442,44.1063
device-5,12464151134041756,12464151176332218,42.2905
device-5,12464151334617418,12464151375035969,40.4186
device-5,12464151535113931,12464151579179776,44.0658
device-5,12464151735592154,12464151773660060,38.0679
device-5,12464151936073965,12464151978375480,42.3015
device-5,12464152136560890,12464152180185526,43.6246
device-5,12464152337008237,12464152378694283,41.6860
device-5,12464152537452178,12464152577320217,39.8680
device-5,12464152737932896,12464152779747694,41.8148
device-5,12464152938405262,12464152976813799,38.4085
device-5,12464153138841615,12464153179416634,40.5750
device-5,12464153339322496,12464153381788470,42.4660
device-5,12464153539813755,12464153579961046,40.1473
device-5,12464153740284137,12464153782875542,42.5914
device-5,12464153940735866,12464153981957356,41.2215
device-5,12464154141183317,12464154183667876,42.4846
device-5,12464154341651394,12464154382442789,40.7914
device-5,12464154542096910,12464154584248412,42.1515
device-5,12464154742546083,12464154785592083,43.0460
device-5,12464154943007503,12464154985165606,42.1581
device-5,12464155143468682,12464155185727463,42.2588
device-5,12464155343955114,12464155384357747,40.4026
device-5,12464155544238494,12464155583155006,38.9165
device-5,12464155744668463,12464155785067980,40.3995
device-5,12464155945131137,12464155987141362,42.0102
device-5,12464156145532529,12464156184871509,39.3390
device-5,12464156345918050,12464156388563456,42.6454
device-5,12464156546383968,12464156589800287,43.4163
device-5,12464156746876499,12464156786650563,39.7741
device-5,12464156947458990,12464156988519257,41.0603
device-5,12464157147918141,12464157188307899,40.3898
device-5,12464157348422233,12464157390793120,42.3709
device-5,12464157548879026,12464157591718899,42.8399
device-5,12464157749325178,12464157789645673,40.3205
device-5,12464157949791064,12464157989795284,40.0042
device-5,12464158150264616,12464158192167185,41.9026
device-5,12464158350778165,12464158394098569,43.3204
device-5,12464158551245324,12464158594095532,42.8502
device-5,12464158751726523,12464158792028617,40.3021
device-5,12464158952180454,12464158995801677,43.6212
device-5,12464159152622382,12464159192935469,40.3131
device-5,12464159353079596,12464159397304436,44.2248
device-5,12464159553531209,12464159595204234,41.6730
device-5,12464159754107919,12464159796143983,42.0361
device-5,12464159954550769,12464159997032292,42.4815
device-5,12464160155002684,12464160196938691,41.9360
device-5,12464160355443630,12464160397670164,42.2265
device-5,12464160555902224,12464160596982466,41.0802
device-5,12464160756361417,12464160800771036,44.4096
device-5,12464160956847849,12464160999892330,43.0445
device-5,12464161157319405,12464161200262763,42.9434
device-5,12464161357776331,12464161398348388,40.5721
device-5,12464161558245358,12464161600279292,42.0339
device-5,12464161758697499,12464161799340563,40.6431
device-5,12464161959199340,12464162001668885,42.4695
device-5,12464162159659974,12464162201864970,42.2050
device-5,12464162360111278,12464162403549522,43.4382
device-5,12464162560540378,12464162599671204,39.1308
device-5,12464162760976919,12464162801876934,40.9000
device-5,12464162961464250,12464163002047880,40.5836
device-5,12464163161913946,12464163203411247,41.4973
device-5,12464163362340331,12464163403287873,40.9475
device-5,12464163562808452,12464163603948274,41.1398
device-5,12464163763273173,12464163802852831,39.5797
device-5,12464163963753548,12464164004700973,40.9474
device-5,12464164164217473,12464164201813438,37.5960
device-5,12464164364718370,12464164406355668,41.6373
device-5,12464164565179966,12464164606225374,41.0454
device-5,12464164765644142,12464164809142575,43.4984
device-5,12464164966127019,12464165006765476,40.6385
device-5,12464165166597763,12464165207075598,40.4778
device-5,12464165367110554,12464165405972081,38.8615
device-5,12464165567548860,12464165611225867,43.6770
device-5,12464165767987685,12464165808976427,40.9887
device-5,12464165968447132,12464166009062152,40.6150
device-5,12464166168916164,12464166209897803,40.9816
device-5,12464166369367391,12464166410452714,41.0853
device-5,12464166569804504,12464166611152036,41.3475
device-5,12464166770252448,12464166812940112,42.6877
device-5,12464166970740468,12464167012880912,42.1404
device-5,12464167171212073,12464167207469870,36.2578
device-5,12464167371668815,12464167413045367,41.3766
device-5,12464167572064453,12464167616247599,44.1831
device-5,12464167772520125,12464167814041703,41.5216
device-5,12464167972964356,12464168014582860,41.6185
device-5,12464168173380591,12464168215611719,42.2311
device-5,12464168373852690,12464168416317088,42.4644
device-5,12464168574300995,12464168616529439,42.2284
device-5,12464168774751220,12464168813343094,38.5919
device-5,12464168975194307,12464169017187643,41.9933
device-5,12464169175669977,12464169215439405,39.7694
device-5,12464169376073197,12464169417977925,41.9047
device-5,12464169576616646,12464169617303193,40.6865
device-5,12464169777339384,12464169821244436,43.9051
device-5,12464169977761544,12464170020571487,42.8099
device-5,12464170178195659,12464170221321060,43.1254
device-5,12464170378633198,12464170418217125,39.5839
device-5,12464170579096193,12464170619062209,39.9660
device-5,12464170779573541,12464170821342912,41.7694
device-5,12464170980034098,12464171024695765,44.6617
device-5,12464171180494169,12464171220540048,40.0459
device-5,12464171380951641,12464171423020392,42.0688
device-5,12464171581399425,12464171621252243,39.8528
device-5,12464171781859211,12464171821411898,39.5527
device-5,12464171982314626,12464172023857196,41.5426
device-5,12464172182786982,12464172226939260,44.1523
device-5,12464172383277828,12464172423047777,39.7699
device-5,12464172583757773,12464172625768701,42.0109
device-5,12464172784245163,12464172827847510,43.6023
device-5,12464172984731663,12464173026888574,42.1569
device-5,12464173185194275,12464173226058346,40.8641
device-5,12464173385618987,12464173426688570,41.0696
device-5,12464173586063246,12464173625059582,38.9963
device-5,12464173786552806,12464173827559834,41.0070
device-5,12464173987005817,12464174030322096,43.3163
device-5,12464174187485104,12464174227241441,39.7563
device-5,12464174387953882,12464174427125717,39.1718
device-5,12464174588453230,12464174632250436,43.7972
device-5,12464174788932931,12464174831892695,42.9598
device-5,12464174989403022,12464175030629946,41.2269
device-5,12464175189870230,12464175232448833,42.5786
device-5,12464175390317789,12464175433032482,42.7147
device-5,12464175590784328,12464175631126627,40.3423
device-5,12464175791245188,12464175834333586,43.0884
device-5,12464175991692343,12464176031687720,39.9954
device-5,12464176192183108,12464176233621828,41.4387
device-5,12464176392631296,12464176432686683,40.0554
device-5,12464176593096856,12464176634171975,41.0751
device-5,12464176793571228,12464176833861840,40.2906
device-5,12464176994040563,12464177036665382,42.6248
device-7,12464147124350628,12464147126894425,2.5438
device-7,12464147324824721,12464147345454623,20.6299
device-7,12464147525307515,12464147547978600,22.6711
device-7,12464147725791549,12464147746406603,20.6151
device-7,12464147926268862,12464147948631813,22.3630
device-7,12464148126769873,12464148149379001,22.6091
device-7,12464148327259908,12464148347819631,20.5597
device-7,12464148527735983,12464148548512050,20.7761
device-7,12464148728134713,12464148748847699,20.7130
device-7,12464148928595914,12464148947142994,18.5471
device-7,12464149129074176,12464149151808803,22.7346
device-7,12464149329539910,12464149371570388,42.0305
device-7,12464149530025678,12464149570598086,40.5724
device-7,12464149730530150,12464149772331777,41.8016
device-7,12464149931069690,12464149972966329,41.8966
device-7,12464150131572866,12464150171582750,40.0099
device-7,12464150332123667,12464150372913972,40.7903
device-7,12464150532611956,12464150575466635,42.8547
device-7,12464150733110981,12464150773854930,40.7439
device-7,12464150933608293,12464150974865877,41.2576
device-7,12464151134113020,12464151173683512,39.5705
device-7,12464151334678226,12464151377222430,42.5442
device-7,12464151535170933,12464151577376173,42.2052
device-7,12464151735646291,12464151775631723,39.9854
device-7,12464151936130958,12464151976307769,40.1768
device-7,12464152136609414,12464152176753979,40.1446
device-7,12464152337052746,12464152378044261,40.9915
device-7,12464152537509143,12464152578628747,41.1196
device-7,12464152737990029,12464152780638373,42.6483
device-7,12464152938453204,12464152979810858,41.3577
device-7,12464153138898143,12464153178134693,39.2366
device-7,12464153339388269,12464153380316780,40.9285
device-7,12464153539859886,12464153581282211,41.4223
device-7,12464153740326432,12464153782457959,42.1315
device-7,12464153940777980,12464153982287562,41.5096
device-7,12464154141239115,12464154184520190,43.2811
device-7,12464154341688329,12464154382027946,40.3396
device-7,12464154542136192,12464154583170427,41.0342
device-7,12464154742592287,12464154785230720,42.6384
device-7,12464154943046123,12464154985716087,42.6700
device-7,12464155143521430,12464155183710864,40.1894
device-7,12464155344021890,12464155387205003,43.1831
device-7,12464155544287011,12464155584084767,39.7978
device-7,12464155744723440,12464155787570034,42.8466
device-7,12464155945167076,12464155988621926,43.4549
device-7,12464156145582019,12464156186436346,40.8543
device-7,12464156345967241,12464156386027959,40.0607
device-7,12464156546434526,12464156589019999,42.5855
device-7,12464156746939225,12464156788755840,41.8166
device-7,12464156947513667,12464156985496641,37.9830
device-7,12464157147959639,12464157187584701,39.6251
