device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,12704396430929456,12704396435814286,4.8848
device-1,12704396531278852,12704396535199626,3.9208
device-1,12704396631549236,12704396635868937,4.3197
device-1,12704396731865576,12704396735742498,3.8769
device-1,12704396832140708,12704396834621263,2.4806
device-1,12704396932346648,12704396935327128,2.9805
device-1,12704397032568000,12704397036675232,4.1072
device-1,12704397132821776,12704397135947698,3.1259
device-1,12704397233085008,12704397236229599,3.1446
device-1,12704397333334172,12704397337349413,4.0152
device-1,12704397433633336,12704397437719561,4.0862
device-1,12704397533877084,12704397538107242,4.2302
device-1,12704397634128560,12704397638369767,4.2412
device-1,12704397734352228,12704397737975315,3.6231
device-1,12704397834626216,12704397837738930,3.1127
device-1,12704397934905296,12704397938920394,4.0151
device-1,12704398035179168,12704398039508427,4.3293
device-1,12704398135442060,12704398139695281,4.2532
device-1,12704398235685968,12704398240024004,4.3380
device-1,12704398335918936,12704398339028406,3.1095
device-1,12704398436212652,12704398440235248,4.0226
device-1,12704398536491668,12704398540758123,4.2665
device-1,12704398636739590,12704398641195809,4.4562
device-1,12704398737025304,12704398740546477,3.5212
device-1,12704398837302968,12704398841540046,4.2371
device-1,12704398937558768,12704398939589342,2.0306
device-1,12704399037823888,12704399042245336,4.4214
device-1,12704399138101332,12704399142308011,4.2067
device-1,12704399238395896,12704399241829741,3.4338
device-1,12704399338672400,12704399342653512,3.9811
device-1,12704399438924616,12704399443258984,4.3344
device-1,12704399539170004,12704399543138540,3.9685
device-1,12704399639425316,12704399643821878,4.3966
device-1,12704399739702654,12704399743302073,3.5994
device-1,12704399839942316,12704399843998675,4.0564
device-1,12704399940223444,12704399944075994,3.8525
device-1,12704400040469796,12704400044490620,4.0208
device-1,12704400140717738,12704400144771121,4.0534
device-1,12704400240961924,12704400245255146,4.2932
device-1,12704400341204936,12704400345111317,3.9064
device-1,12704400441465044,12704400445533696,4.0687
device-1,12704400541692892,12704400545802021,4.1091
device-1,12704400641858212,12704400645612613,3.7544
device-1,12704400742123624,12704400746236639,4.1130
device-1,12704400842376972,12704400846657056,4.2801
device-1,12704400942624772,12704400946932656,4.3079
device-1,12704401042902392,12704401045344334,2.4419
device-1,12704401143170358,12704401147300465,4.1301
device-1,12704401243418268,12704401247065074,3.6468
device-1,12704401343661480,12704401347388806,3.7273
device-1,12704401443923180,12704401447752371,3.8292
device-1,12704401544166628,12704401547920275,3.7536
device-1,12704401644428460,12704401648630011,4.2016
device-1,12704401744679376,12704401748228333,3.5490
device-1,12704401844948704,12704401848908478,3.9598
device-1,12704401945185220,12704401948801920,3.6167
device-1,12704402045421996,12704402049675961,4.2540
device-1,12704402145661548,12704402148986411,3.3249
device-1,12704402245897276,12704402250064430,4.1672
device-1,12704402346137926,12704402349835714,3.6978
device-1,12704402446370648,12704402450351244,3.9806
device-1,12704402546569124,12704402550237044,3.6679
device-1,12704402646791000,12704402650509939,3.7189
device-1,12704402746969096,12704402749361091,2.3920
device-1,12704402847152636,12704402850053068,2.9004
device-1,12704402947383448,12704402950750392,3.3669
device-1,12704403047564784,12704403050643312,3.0785
device-1,12704403147766248,12704403152250895,4.4846
device-1,12704403248032032,12704403250700421,2.6684
device-1,12704403348325758,12704403352586070,4.2603
device-1,12704403448572868,12704403452411805,3.8389
device-1,12704403548830434,12704403552579000,3.7486
device-1,12704403649046254,12704403653106947,4.0607
device-1,12704403749277808,12704403753075035,3.7972
device-1,12704403849511684,12704403853447284,3.9356
device-1,12704403949750600,12704403953927221,4.1766
