device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,12710143251346704,12710143390951740,139.6050
device-1,12710143451527420,12710143620091220,168.5638
device-1,12710143651672890,12710143885081270,233.4084
device-1,12710143851859272,12710144025615787,173.7565
device-1,12710144052087334,12710144219066317,166.9790
device-1,12710144252406480,12710144438561604,186.1551
device-1,12710144452697552,12710144611509983,158.8124
device-1,12710144652991480,12710144815223146,162.2317
device-1,12710144853302922,12710145040777431,187.4745
device-1,12710145053559836,12710145259530335,205.9705
device-1,12710145253853048,12710145436695110,182.8421
device-1,12710145454096556,12710145620291265,166.1947
device-1,12710145654340608,12710145843103891,188.7633
device-1,12710145854582690,12710146022598229,168.0155
device-1,12710146054843918,12710146232213794,177.3699
device-1,12710146255113668,12710146425794392,170.6807
device-1,12710146455377532,12710146620690662,165.3131
device-1,12710146655657622,12710146824615297,168.9577
device-1,12710146855939068,12710147023824422,167.8854
device-1,12710147056209986,12710147239360732,183.1507
device-1,12710147256477144,12710147438633809,182.1567
device-1,12710147456718838,12710147642853678,186.1348
device-1,12710147656984400,12710147844582128,187.5977
device-1,12710147857217684,12710148033351714,176.1340
device-1,12710148057448350,12710148295105978,237.6576
device-1,12710148257741716,12710148424122863,166.3811
device-1,12710148457986122,12710148619263859,161.2777
device-1,12710148658223544,12710148837465197,179.2417
device-1,12710148858487312,12710149023776160,165.2888
device-1,12710149058745432,12710149240178558,181.4331
device-1,12710149258984744,12710149414493629,155.5089
device-1,12710149459168376,12710149634755072,175.5867
device-1,12710149659334108,12710149815074192,155.7401
device-1,12710149859634944,12710150017970226,158.3353
device-1,12710150059949890,12710150297332772,237.3829
device-1,12710150260225188,12710150429826550,169.6014
device-1,12710150460533514,12710150770797932,310.2644
device-1,12710150660943990,12710150857997265,197.0533
device-1,12710150861207934,12710151038989499,177.7816
device-1,12710151061474140,12710151231704937,170.2308
device-1,12710151261737456,12710151410088481,148.3510
device-1,12710151462019408,12710151632491804,170.4724
device-1,12710151662274906,12710151815902193,153.6273
device-1,12710151862584308,12710152023209840,160.6255
device-1,12710152062901372,12710152214533570,151.6322
device-1,12710152263194144,12710152398500153,135.3060
device-1,12710152463492604,12710152614708296,151.2157
device-1,12710152663778266,12710152824090961,160.3127
device-1,12710152864071436,12710153100778563,236.7071
device-1,12710153064376532,12710153213287864,148.9113
device-1,12710153264630560,12710153416801489,152.1709
device-1,12710153464884928,12710153643013409,178.1285
device-1,12710153665155396,12710153923545470,258.3901
device-1,12710153865424956,12710154043036963,177.6120
