device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,12708078152787332,12708078193472206,40.6849
device-1,12708078253555204,12708078294282687,40.7275
device-1,12708078354205446,12708078400725712,46.5203
device-1,12708078454878000,12708078496857591,41.9796
device-1,12708078555285748,12708078597028563,41.7428
device-1,12708078655642344,12708078697184900,41.5426
device-1,12708078755951506,12708078798719030,42.7675
device-1,12708078856351660,12708078898845120,42.4935
device-1,12708078956956080,12708079000891837,43.9358
device-1,12708079057383548,12708079097451799,40.0683
device-1,12708079158135392,12708079201886545,43.7512
device-1,12708079258787120,12708079302366503,43.5794
device-1,12708079359392036,12708079398846955,39.4549
device-1,12708079460035662,12708079504219827,44.1842
device-1,12708079560636184,12708079601023868,40.3877
device-1,12708079661280540,12708079705611774,44.3312
device-1,12708079761864480,12708079805177983,43.3135
device-1,12708079862484958,12708079905518600,43.0336
device-1,12708079963102934,12708080004360952,41.2580
device-1,12708080063738440,12708080107203629,43.4652
device-1,12708080164440280,12708080208216035,43.7758
device-1,12708080265067548,12708080307392337,42.3248
device-1,12708080365789146,12708080410188030,44.3989
device-1,12708080466421804,12708080507488002,41.0662
device-1,12708080567024808,12708080609879521,42.8547
device-1,12708080667584332,12708080708604686,41.0204
device-1,12708080768255862,12708080812684708,44.4288
device-1,12708080868794704,12708080908883012,40.0883
device-1,12708080969371136,12708081015095187,45.7241
device-1,12708081069930588,12708081116101640,46.1711
device-1,12708081170430100,12708081215849563,45.4195
device-1,12708081271004122,12708081317569987,46.5659
device-1,12708081371519300,12708081413336241,41.8169
device-1,12708081472158908,12708081512401522,40.2426
device-1,12708081572764642,12708081618897437,46.1328
device-1,12708081673379336,12708081718963016,45.5837
device-1,12708081773970056,12708081818701013,44.7310
device-1,12708081874579058,12708081916781015,42.2020
device-1,12708081975190252,12708082020386359,45.1961
device-1,12708082075828352,12708082118993992,43.1656
device-1,12708082176487292,12708082216620826,40.1335
device-1,12708082277085856,12708082318792603,41.7067
device-1,12708082377528612,12708082424446449,46.9178
device-1,12708082478091412,12708082519919440,41.8280
device-1,12708082578695696,12708082621616217,42.9205
device-1,12708082679181396,12708082720654064,41.4727
device-1,12708082779695580,12708082824313813,44.6182
device-1,12708082880233672,12708082922312250,42.0786
device-1,12708082980827360,12708083022644478,41.8171
device-1,12708083081375696,12708083126838081,45.4624
device-1,12708083182017996,12708083227236111,45.2181
device-1,12708083282505576,12708083326095910,43.5903
device-1,12708083383041176,12708083429626093,46.5849
device-1,12708083483731846,12708083529040734,45.3089
device-1,12708083584372656,12708083624513685,40.1410
device-1,12708083685005972,12708083731718247,46.7123
device-1,12708083785578700,12708083831536529,45.9578
device-1,12708083886111108,12708083926843134,40.7320
device-1,12708083986721700,12708084027613049,40.8913
device-1,12708084087495936,12708084128744968,41.2490
device-1,12708084187992930,12708084226982665,38.9897
device-1,12708084288480596,12708084328152725,39.6721
device-1,12708084388833818,12708084431123963,42.2901
device-1,12708084489153908,12708084529543795,40.3899
device-1,12708084589520476,12708084633998478,44.4780
device-1,12708084689974834,12708084730160632,40.1858
device-1,12708084790523140,12708084837858151,47.3350
device-1,12708084891171740,12708084931764780,40.5930
device-1,12708084991551484,12708085034542178,42.9907
device-1,12708085092155860,12708085134286646,42.1308
device-1,12708085192389620,12708085233175888,40.7863
device-1,12708085292636672,12708085337516555,44.8799
device-1,12708085393251940,12708085433209692,39.9578
device-1,12708085493827486,12708085538167332,44.3398
device-1,12708085594372760,12708085640252496,45.8797
device-1,12708085694978772,12708085737794200,42.8154
device-1,12708085795566580,12708085835518463,39.9519
device-1,12708085896159414,12708085941904081,45.7447
device-1,12708085996661744,12708086042633394,45.9716
device-1,12708086097277412,12708086139621595,42.3442
device-1,12708086197878426,12708086241956268,44.0778
device-1,12708086298513376,12708086342810325,44.2969
device-1,12708086399125978,12708086439792567,40.6666
device-1,12708086499764960,12708086538333327,38.5684
device-1,12708086600397326,12708086639943001,39.5457
device-1,12708086701004264,12708086742600650,41.5964
device-1,12708086801522050,12708086842164831,40.6428
device-1,12708086902111560,12708086947793626,45.6821
device-1,12708087002674312,12708087042490083,39.8158
device-1,12708087103319818,12708087148474896,45.1551
device-1,12708087203966640,12708087250993806,47.0272
device-1,12708087304549732,12708087350056099,45.5064
device-1,12708087405156424,12708087469510993,64.3546
device-1,12708087505717220,12708087551385385,45.6682
device-1,12708087606303040,12708087648697585,42.3945
device-1,12708087706838374,12708087746308634,39.4703
device-1,12708087807362752,12708087853630697,46.2679
device-1,12708087907949022,12708087949489215,41.5402
device-1,12708088008363108,12708088048918619,40.5555
device-1,12708088108920426,12708088155669297,46.7489
device-1,12708088209352000,12708088251266793,41.9148
device-1,12708088309737752,12708088356037226,46.2995
device-1,12708088410110760,12708088451994630,41.8839
device-1,12708088510710152,12708088555894909,45.1848
device-1,12708088611381982,12708088651999921,40.6179
device-1,12708088711936572,12708088759367488,47.4309
device-1,12708088812530800,12708088858979965,46.4492
device-1,12708088913045140,12708088959229001,46.1839
device-1,12708089013630580,12708089055387564,41.7570
device-1,12708089113958754,12708089153964283,40.0055
device-1,12708089214562460,12708089257222245,42.6598
device-1,12708089315162268,12708089355532996,40.3707
device-1,12708089415749200,12708089461478007,45.7288
device-1,12708089516409444,12708089559099022,42.6896
device-1,12708089616847588,12708089663353355,46.5058
device-1,12708089717236204,12708089761383653,44.1474
device-1,12708089817791400,12708089860359082,42.5677
device-1,12708089918396470,12708089963542927,45.1465
device-1,12708090018989288,12708090065808184,46.8189
device-1,12708090119523080,12708090164887246,45.3642
device-1,12708090220224796,12708090260452370,40.2276
device-1,12708090320640396,12708090365008920,44.3685
