device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,12470412710231826,12470412711452799,1.2210
device-1,12470412911573645,12470412957047565,45.4739
device-1,12470413112554601,12470413157197324,44.6427
device-1,12470413313354691,12470413357658030,44.3033
device-1,12470413514114241,12470413557005516,42.8913
device-1,12470413714932131,12470413756890582,41.9585
device-1,12470413915460291,12470413961668170,46.2079
device-1,12470414116360808,12470414161317463,44.9567
device-1,12470414317223131,12470414361282752,44.0596
device-1,12470414517983722,12470414560922776,42.9391
device-1,12470414718576633,12470414761030099,42.4535
device-1,12470414919377586,12470414964505183,45.1276
device-1,12470415120289563,12470415164891389,44.6018
device-1,12470415321399798,12470415364866672,43.4669
device-1,12470415522172665,12470415565007948,42.8353
device-1,12470415722895371,12470415765403981,42.5086
device-1,12470415923647098,12470415968782744,45.1356
device-1,12470416124371365,12470416168726985,44.3556
device-1,12470416325140339,12470416368699543,43.5592
device-1,12470416525821491,12470416568693694,42.8722
device-1,12470416726575018,12470416768536545,41.9615
device-1,12470416927018174,12470416968819535,41.8014
device-1,12470417127803124,12470417172780690,44.9776
device-1,12470417328541289,12470417372759165,44.2179
device-1,12470417529278680,12470417572666565,43.3879
device-1,12470417730069899,12470417772850341,42.7804
device-1,12470417930869646,12470417973034121,42.1645
device-1,12470418131690689,12470418176652765,44.9621
device-1,12470418332633853,12470418376842986,44.2091
device-1,12470418533233923,12470418577092150,43.8582
device-1,12470418733957940,12470418776945661,42.9877
device-1,12470418934884529,12470418976781269,41.8967
device-1,12470419135620899,12470419180819478,45.1986
device-1,12470419336380556,12470419384365674,47.9851
device-1,12470419537133262,12470419580765257,43.6320
device-1,12470419737832844,12470419780794610,42.9618
device-1,12470419938528456,12470419980911205,42.3827
device-1,12470420139213916,12470420180581577,41.3677
device-1,12470420339923179,12470420384661792,44.7386
device-1,12470420540744010,12470420584540572,43.7966
device-1,12470420741507018,12470420784973717,43.4667
device-1,12470420942273359,12470420984916774,42.6434
device-1,12470421143064118,12470421184876978,41.8129
device-1,12470421343822366,12470421388868946,45.0466
device-1,12470421544578714,12470421588517429,43.9387
device-1,12470421745523675,12470421788667501,43.1438
device-1,12470421946151886,12470421988628332,42.4764
device-1,12470422146887398,12470422188455216,41.5678
device-1,12470422347631216,12470422392658064,45.0268
device-1,12470422548361459,12470422592732294,44.3708
device-1,12470422749095397,12470422792578669,43.4833
device-1,12470422950008878,12470422992814260,42.8054
device-1,12470423150777061,12470423192689327,41.9123
device-1,12470423351821880,12470423396874056,45.0522
device-1,12470423552569188,12470423596790682,44.2215
device-1,12470423753191679,12470423796882232,43.6906
device-1,12470423953823339,12470423996663972,42.8406
device-1,12470424154527056,12470424196901296,42.3742
device-1,12470424355251894,12470424397258316,42.0064
device-1,12470424555978473,12470424600754422,44.7759
device-1,12470424756688939,12470424800841520,44.1526
device-1,12470424957440709,12470425000772165,43.3315
device-1,12470425158167501,12470425201019632,42.8521
device-1,12470425358976993,12470425400686311,41.7093
device-1,12470425559743281,12470425604793241,45.0500
device-1,12470425760513836,12470425804509614,43.9958
device-1,12470425961283659,12470426004698616,43.4150
device-1,12470426162034074,12470426204889492,42.8554
device-1,12470426362814734,12470426405086885,42.2722
device-1,12470426563617882,12470426609006042,45.3882
device-1,12470426764401518,12470426808724558,44.3230
device-1,12470426965139952,12470427008831352,43.6914
device-1,12470427165835252,12470427208949814,43.1146
device-1,12470427366587822,12470427409119481,42.5317
device-1,12470427567320154,12470427612939997,45.6198
device-1,12470427768280422,12470427812871998,44.5916
device-1,12470427968897833,12470428012689200,43.7914
device-1,12470428169595421,12470428212796598,43.2012
device-1,12470428370411875,12470428413359130,42.9473
device-1,12470428571254539,12470428616807385,45.5528
device-1,12470428772050498,12470428816922953,44.8725
device-1,12470428972824622,12470429016694420,43.8698
device-1,12470429173644104,12470429216916833,43.2727
device-1,12470429374353178,12470429416833098,42.4799
device-1,12470429575037507,12470429616684509,41.6470
device-1,12470429775843468,12470429821277499,45.4340
device-1,12470429976739714,12470430020876179,44.1365
device-1,12470430177510376,12470430220631023,43.1206
device-1,12470430378256897,12470430420840821,42.5839
device-1,12470430578940452,12470430620738463,41.7980
device-1,12470430779711334,12470430825306168,45.5948
device-1,12470430980501401,12470431025139613,44.6382
device-1,12470431181309870,12470431224709323,43.3995
device-1,12470431382127325,12470431425192092,43.0648
device-1,12470431582881891,12470431624753507,41.8716
device-1,12470431783649493,12470431829206862,45.5574
device-1,12470431984406509,12470431987052426,2.6459
device-1,12470432186894909,12470432228582882,41.6880
device-1,12470432387788347,12470432432517785,44.7294
device-1,12470432588828534,12470432632976286,44.1478
device-1,12470432789636809,12470432833052966,43.4162
device-1,12470432990443709,12470433033471530,43.0278
device-1,12470433191179289,12470433236732525,45.5532
device-1,12470433391998059,12470433437311915,45.3139
device-1,12470433592855709,12470433636682900,43.8272
device-1,12470433793626571,12470433837073975,43.4474
device-1,12470433994201570,12470434036805180,42.6036
device-1,12470434194789105,12470434236797436,42.0083
device-1,12470434395314127,12470434440328344,45.0142
device-1,12470434596469156,12470434640783827,44.3147
device-1,12470434797220280,12470434841162467,43.9422
device-1,12470434997918087,12470435040968876,43.0508
device-1,12470435198649644,12470435240654003,42.0044
device-1,12470435399392352,12470435444890872,45.4985
device-1,12470435600060216,12470435644646310,44.5861
device-1,12470435800893303,12470435844984518,44.0912
device-1,12470436001567290,12470436044509141,42.9419
device-1,12470436202381610,12470436244948193,42.5666
device-1,12470436403085304,12470436448782875,45.6976
device-1,12470436604087163,12470436649306858,45.2197
device-1,12470436804819972,12470436848893478,44.0735
device-1,12470437005605958,12470437049222109,43.6162
device-1,12470437206353418,12470437248885994,42.5326
device-1,12470437407103205,12470437448672218,41.5690
device-1,12470437607855404,12470437653145478,45.2901
device-1,12470437808628098,12470437853394184,44.7661
device-1,12470438009357037,12470438052845881,43.4888
device-1,12470438210034983,12470438252273290,42.2383
device-1,12470438410881710,12470438452554105,41.6724
device-1,12470438611618244,12470438657199196,45.5810
device-1,12470438812056925,12470438856806710,44.7498
device-1,12470439012789499,12470439057007140,44.2176
device-1,12470439213460908,12470439256638214,43.1773
device-1,12470439414189690,12470439456608769,42.4191
device-1,12470439614935161,12470439656616228,41.6811
device-1,12470439815784779,12470439860705971,44.9212
device-1,12470440016553069,12470440060907198,44.3541
device-1,12470440217326815,12470440260948346,43.6215
device-1,12470440418071473,12470440460838951,42.7675
device-1,12470440618795288,12470440661034538,42.2392
device-1,12470440819537775,12470440864800849,45.2631
device-1,12470441020469882,12470441064686704,44.2168
device-1,12470441221231114,12470441264703351,43.4722
device-1,12470441421972540,12470441464663743,42.6912
device-1,12470441622696627,12470441664639436,41.9428
device-1,12470441823397618,12470441868805785,45.4082
device-1,12470442024050829,12470442068738561,44.6877
device-1,12470442224820390,12470442271093392,46.2730
device-1,12470442425630594,12470442468322544,42.6919
device-1,12470442626556699,12470442669053054,42.4964
device-2,12470412710564249,12470412752184631,41.6204
device-2,12470412911810130,12470412956830423,45.0203
device-2,12470413112801818,12470413156765868,43.9641
device-2,12470413313583113,12470413356863942,43.2808
device-2,12470413514370629,12470413556805592,42.4350
device-2,12470413715073041,12470413757131974,42.0589
device-2,12470413915724163,12470413961165591,45.4414
device-2,12470414116623813,12470414160854008,44.2302
device-2,12470414317443234,12470414361057459,43.6142
device-2,12470414518157596,12470414561115799,42.9582
device-2,12470414718810870,12470414760834908,42.0240
device-2,12470414919616983,12470414964710074,45.0931
device-2,12470415120538927,12470415165144913,44.6060
device-2,12470415321610314,12470415365089693,43.4794
device-2,12470415522374740,12470415564792025,42.4173
device-2,12470415723111245,12470415764757266,41.6460
device-2,12470415923840002,12470415968996818,45.1568
device-2,12470416124592654,12470416169124450,44.5318
device-2,12470416325302841,12470416368893722,43.5909
device-2,12470416526031869,12470416568882402,42.8505
device-2,12470416726673788,12470416768708592,42.0348
device-2,12470416927213897,12470416969086454,41.8726
device-2,12470417127991577,12470417172999556,45.0080
device-2,12470417328730212,12470417373165007,44.4348
device-2,12470417529483124,12470417573255871,43.7727
device-2,12470417730283961,12470417773559522,43.2756
device-2,12470417931103551,12470417973514873,42.4113
device-2,12470418131925714,12470418177143177,45.2175
device-2,12470418332808371,12470418377068544,44.2602
device-2,12470418533424066,12470418576872708,43.4486
device-2,12470418734149444,12470418777181193,43.0317
device-2,12470418935072282,12470418977433035,42.3608
device-2,12470419135804595,12470419181548490,45.7439
device-2,12470419336559485,12470419384489246,47.9298
device-2,12470419537304066,12470419580977874,43.6738
device-2,12470419738025773,12470419781578768,43.5530
device-2,12470419938699563,12470419981442918,42.7434
device-2,12470420139406070,12470420180789164,41.3831
device-2,12470420340135497,12470420384872611,44.7371
device-2,12470420540952091,12470420584650379,43.6983
device-2,12470420741726555,12470420785261633,43.5351
device-2,12470420942499739,12470420985152094,42.6524
device-2,12470421143281797,12470421185126542,41.8447
device-2,12470421344039727,12470421389134384,45.0947
device-2,12470421544780531,12470421588670764,43.8902
device-2,12470421745658113,12470421788860817,43.2027
device-2,12470421946352389,12470421988824250,42.4719
device-2,12470422147085565,12470422188571488,41.4859
device-2,12470422347817972,12470422392847698,45.0297
device-2,12470422548567432,12470422592936321,44.3689
device-2,12470422749326275,12470422792762694,43.4364
device-2,12470422950223111,12470422993047187,42.8241
device-2,12470423151007987,12470423192892705,41.8847
device-2,12470423352038960,12470423396651544,44.6126
device-2,12470423552729872,12470423597014496,44.2846
device-2,12470423753366601,12470423796696343,43.3297
device-2,12470423953998823,12470423997024430,43.0256
device-2,12470424154744922,12470424197501541,42.7566
device-2,12470424355440007,12470424396848120,41.4081
device-2,12470424556160096,12470424601761091,45.6010
device-2,12470424756894207,12470424801933191,45.0390
device-2,12470424957627517,12470425001407764,43.7802
device-2,12470425158401805,12470425200808507,42.4067
device-2,12470425359186972,12470425400922525,41.7356
device-2,12470425559927411,12470425604998485,45.0711
device-2,12470425760723013,12470425804637398,43.9144
device-2,12470425961465659,12470426004898281,43.4326
device-2,12470426162247552,12470426204700299,42.4527
device-2,12470426363043271,12470426404674754,41.6315
device-2,12470426563834791,12470426608799817,44.9650
device-2,12470426764590988,12470426809148398,44.5574
device-2,12470426965336404,12470427009039078,43.7027
device-2,12470427166018707,12470427209189223,43.1705
device-2,12470427366781640,12470427409328262,42.5466
device-2,12470427567505820,12470427613156371,45.6506
device-2,12470427768448390,12470427813115676,44.6673
device-2,12470427969078827,12470428012906065,43.8272
device-2,12470428169833872,12470428213331478,43.4976
device-2,12470428370618873,12470428413078091,42.4592
device-2,12470428571480149,12470428617019645,45.5395
device-2,12470428772271544,12470428816724025,44.4525
device-2,12470428973026735,12470429016904003,43.8773
device-2,12470429173825011,12470429216715693,42.8907
device-2,12470429374547218,12470429417322047,42.7748
device-2,12470429575271634,12470429616873843,41.6022
device-2,12470429776156180,12470429821466928,45.3107
device-2,12470429976950908,12470430021094041,44.1431
device-2,12470430177712839,12470430220846390,43.1336
device-2,12470430378417470,12470430421425000,43.0075
device-2,12470430579149659,12470430621194225,42.0446
device-2,12470430779928173,12470430825051973,45.1238
device-2,12470430980731306,12470431025410622,44.6793
device-2,12470431181540944,12470431224786655,43.2457
device-2,12470431382327497,12470431425542215,43.2147
device-2,12470431583095547,12470431625232081,42.1365
device-2,12470431783846883,12470431829733675,45.8868
device-2,12470431984623173,12470431987850040,3.2269
device-2,12470432187133409,12470432228827944,41.6945
device-2,12470432388066037,12470432432306134,44.2401
device-2,12470432589058050,12470432632767735,43.7097
device-2,12470432789866128,12470432832839256,42.9731
device-2,12470432990673345,12470433032872939,42.1996
device-2,12470433191413492,12470433237199866,45.7864
device-2,12470433392238491,12470433436764097,44.5256
device-2,12470433593083499,12470433636886792,43.8033
device-2,12470433793853180,12470433836827790,42.9746
device-2,12470433994371993,12470434037357057,42.9851
device-2,12470434194922385,12470434237582804,42.6604
device-2,12470434395616349,12470434440559729,44.9434
device-2,12470434596685797,12470434641252489,44.5667
device-2,12470434797417098,12470434840886007,43.4689
device-2,12470434998111136,12470435040761270,42.6501
device-2,12470435198858223,12470435241081028,42.2228
device-2,12470435399605644,12470435444680862,45.0752
device-2,12470435600289216,12470435645069488,44.7803
device-2,12470435801076583,12470435844759274,43.6827
device-2,12470436001749731,12470436044723928,42.9742
device-2,12470436202554160,12470436244750583,42.1964
device-2,12470436403277366,12470436449291314,46.0139
device-2,12470436604275552,12470436649027682,44.7521
device-2,12470436805038249,12470436848689546,43.6513
device-2,12470437005817161,12470437048972295,43.1551
device-2,12470437206568929,12470437248673887,42.1050
device-2,12470437407312077,12470437449132255,41.8202
device-2,12470437608053465,12470437652895787,44.8423
device-2,12470437808832113,12470437853101863,44.2698
device-2,12470438009519462,12470438053111845,43.5924
device-2,12470438210239738,12470438252373452,42.1337
device-2,12470438411046635,12470438452727150,41.6805
device-2,12470438611737875,12470438656738686,45.0008
device-2,12470438812261625,12470438857065700,44.8041
device-2,12470439012956756,12470439056760078,43.8033
device-2,12470439213655117,12470439256878181,43.2231
device-2,12470439414387849,12470439456845491,42.4576
device-2,12470439615165508,12470439656854929,41.6894
device-2,12470439815997663,12470439860911331,44.9137
device-2,12470440016770074,12470440060708267,43.9382
device-2,12470440217526603,12470440261208373,43.6818
device-2,12470440418249462,12470440461093728,42.8443
device-2,12470440619000129,12470440660774218,41.7741
device-2,12470440819687871,12470440865050687,45.3628
device-2,12470441020676076,12470441064897389,44.2213
device-2,12470441221430975,12470441265160413,43.7294
device-2,12470441422172078,12470441464864487,42.6924
device-2,12470441622879889,12470441664846091,41.9662
device-2,12470441823566970,12470441869045519,45.4785
device-2,12470442024268516,12470442068965159,44.6966
device-2,12470442225062173,12470442269981635,44.9195
device-2,12470442425852183,12470442468564914,42.7127
device-2,12470442626677640,12470442669346551,42.6689
device-3,12470412710737367,12470412752384401,41.6470
device-3,12470412911958380,12470412957324770,45.3664
device-3,12470413112892447,12470413157372046,44.4796
device-3,12470413313668175,12470413357298836,43.6307
device-3,12470413514474712,12470413557412842,42.9381
device-3,12470413715132038,12470413757638884,42.5068
device-3,12470413915816904,12470413961860624,46.0437
device-3,12470414116729467,12470414161503050,44.7736
device-3,12470414317530987,12470414361494935,43.9639
device-3,12470414518211347,12470414561349756,43.1384
device-3,12470414718905755,12470414761464131,42.5584
device-3,12470414919752011,12470414965281448,45.5294
device-3,12470415120664319,12470415164662683,43.9984
device-3,12470415321701685,12470415365566571,43.8649
device-3,12470415522454609,12470415565268936,42.8143
device-3,12470415723202224,12470415764963716,41.7615
device-3,12470415923919944,12470415969460588,45.5406
device-3,12470416124685055,12470416169296519,44.6115
device-3,12470416325378467,12470416369129928,43.7515
device-3,12470416526130050,12470416569108845,42.9788
device-3,12470416726709217,12470416769073661,42.3644
device-3,12470416927299646,12470416969360574,42.0609
device-3,12470417128096461,12470417173268586,45.1721
device-3,12470417328822836,12470417373340931,44.5181
device-3,12470417529578021,12470417572853799,43.2758
device-3,12470417730381563,12470417773347963,42.9664
device-3,12470417931203183,12470417972812938,41.6098
device-3,12470418132071413,12470418177010826,44.9394
device-3,12470418332867482,12470418377717460,44.8500
device-3,12470418533515816,12470418577350706,43.8349
device-3,12470418734239142,12470418776744003,42.5049
device-3,12470418935164603,12470418976989725,41.8251
device-3,12470419135900353,12470419181050205,45.1499
device-3,12470419336667205,12470419384630520,47.9633
device-3,12470419537391062,12470419581420174,44.0291
device-3,12470419738107903,12470419781408221,43.3003
device-3,12470419938780180,12470419981155345,42.3752
device-3,12470420139487974,12470420181380204,41.8922
device-3,12470420340281230,12470420385289138,45.0079
device-3,12470420541047174,12470420584440473,43.3933
device-3,12470420741811573,12470420785476520,43.6649
device-3,12470420942594949,12470420985334140,42.7392
device-3,12470421143368849,12470421185843583,42.4747
device-3,12470421344129245,12470421389423577,45.2943
device-3,12470421544938419,12470421588855653,43.9172
device-3,12470421745720438,12470421789107774,43.3873
device-3,12470421946446036,12470421989229977,42.7839
device-3,12470422147177882,12470422188801025,41.6231
device-3,12470422347899448,12470422393076003,45.1766
device-3,12470422548654670,12470422593378527,44.7239
device-3,12470422749426955,12470422793159554,43.7326
device-3,12470422950314610,12470422993539725,43.2251
device-3,12470423151106464,12470423193338765,42.2323
device-3,12470423352125815,12470423397360424,45.2346
device-3,12470423552795594,12470423597291725,44.4961
device-3,12470423753427203,12470423797106296,43.6791
device-3,12470423954077636,12470423996826103,42.7485
device-3,12470424154823862,12470424196695689,41.8718
device-3,12470424355525180,12470424396655894,41.1307
device-3,12470424556239394,12470424600957484,44.7181
device-3,12470424756984068,12470424801082916,44.0988
device-3,12470424957711453,12470425000980874,43.2694
device-3,12470425158500461,12470425201267613,42.7672
device-3,12470425359282629,12470425401186878,41.9042
device-3,12470425560046982,12470425605245277,45.1983
device-3,12470425760822603,12470425804772498,43.9499
