device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,12472666116615325,12472666268451485,151.8362
device-1,12472666217049919,12472666476751960,259.7020
device-1,12472666317385018,12472666639773011,322.3880
device-1,12472666417680558,12472666733021226,315.3407
device-1,12472666517948253,12472666818998832,301.0506
device-1,12472666618155924,12472666978344937,360.1890
device-1,12472666718547155,12472667071126844,352.5797
device-1,12472666819075207,12472667165630697,346.5555
device-1,12472666919427345,12472667316490194,397.0628
device-1,12472667019743760,12472667396809571,377.0658
device-1,12472667120044480,12472667480848957,360.8045
device-1,12472667220333748,12472667571267297,350.9335
device-1,12472667320626906,12472667649712363,329.0855
device-1,12472667420897448,12472667746812861,325.9154
device-1,12472667521152985,12472667832429470,311.2765
device-1,12472667621448055,12472667976656520,355.2085
device-1,12472667721736764,12472668060263129,338.5264
device-1,12472667821989376,12472668154632447,332.6431
device-1,12472667922254854,12472668242290210,320.0354
device-1,12472668022534912,12472668379713840,357.1789
device-1,12472668122829592,12472668474963601,352.1340
device-1,12472668223205532,12472668542341983,319.1365
device-1,12472668323525346,12472668643834191,320.3088
device-1,12472668423874142,12472668805876791,382.0026
device-1,12472668524211268,12472668884301358,360.0901
device-1,12472668624520628,12472668969445940,344.9253
device-1,12472668724840914,12472669055175727,330.3348
device-1,12472668825169442,12472669137129673,311.9602
device-1,12472668925466699,12472669286094038,360.6273
device-1,12472669025785069,12472669382559534,356.7745
device-1,12472669126080857,12472669470867129,344.7863
device-1,12472669226392424,12472669549358299,322.9659
device-1,12472669326727753,12472669696595522,369.8678
device-1,12472669427037540,12472669767160534,340.1230
device-1,12472669527349633,12472669842919649,315.5700
device-1,12472669627661399,12472669927841645,300.1802
device-1,12472669727970455,12472670080786595,352.8161
device-1,12472669828269317,12472670172749572,344.4803
device-1,12472669928559537,12472670264844069,336.2845
device-1,12472670028847668,12472670441690798,412.8431
device-1,12472670129145965,12472670530600140,401.4542
device-1,12472670229439127,12472670610080583,380.6415
device-1,12472670329664418,12472670695473939,365.8095
device-1,12472670429984237,12472670756196083,326.2118
device-1,12472670530334685,12472670833011421,302.6767
device-1,12472670630666558,12472671014892350,384.2258
device-1,12472670731019416,12472671074475270,343.4559
device-1,12472670831375557,12472671149016605,317.6410
device-1,12472670931720128,12472671214883971,283.1638
device-1,12472671032174201,12472671370194254,338.0201
device-1,12472671132480398,12472671450109450,317.6291
device-1,12472671232727594,12472671536107748,303.3802
device-1,12472671332965586,12472671677371422,344.4058
device-1,12472671433199933,12472671769512151,336.3122
device-1,12472671533448002,12472671850048715,316.6007
device-1,12472671633687322,12472671932081451,298.3941
device-1,12472671733964880,12472672100923126,366.9582
device-1,12472671834258480,12472672186526936,352.2685
device-1,12472671934745127,12472672271093507,336.3484
device-1,12472672035043114,12472672424787835,389.7447
device-1,12472672135333892,12472672493082239,357.7483
device-1,12472672235641190,12472672575520098,339.8789
device-1,12472672335916817,12472672666622747,330.7059
device-1,12472672436230255,12472672745222277,308.9920
device-1,12472672536531509,12472672912014854,375.4833
device-1,12472672636880447,12472672994107978,357.2275
device-1,12472672737244790,12472673072712236,335.4674
device-1,12472672837576312,12472673147641742,310.0654
device-1,12472672937914156,12472673343114666,405.2005
device-1,12472673038324297,12472673434129235,395.8049
device-1,12472673138757745,12472673434359715,295.6020
device-1,12472673239060036,12472673523491841,284.4318
device-1,12472673339378068,12472673609956545,270.5785
device-1,12472673439649402,12472673780955967,341.3066
device-1,12472673539900164,12472673947748377,407.8482
device-1,12472673640165896,12472674048835006,408.6691
device-1,12472673740475115,12472674130709143,390.2340
device-1,12472673840780822,12472674130865264,290.0844
device-1,12472673941083533,12472674235054225,293.9707
device-1,12472674041395931,12472674292301611,250.9057
device-1,12472674141621137,12472674448209064,306.5879
device-1,12472674241907753,12472674588158019,346.2503
device-1,12472674342196897,12472674741587737,399.3908
device-1,12472674442515791,12472674741883052,299.3673
device-1,12472674542823566,12472674827454616,284.6311
device-1,12472674643144391,12472674913845225,270.7008
device-1,12472674743481192,12472675134068281,390.5871
device-1,12472674843799755,12472675303538010,459.7383
device-1,12472674944056412,12472675303766602,359.7102
device-1,12472675044398650,12472675364612107,320.2135
device-1,12472675144729403,12472675491755365,347.0260
device-1,12472675245061626,12472675567104871,322.0432
device-1,12472675345373080,12472675567281914,221.9088
device-1,12472675445616355,12472675829241711,383.6254
device-1,12472675545923698,12472675907940027,362.0163
device-1,12472675646180108,12472675908139956,261.9598
device-1,12472675746491952,12472675992055967,245.5640
device-1,12472675846790972,12472676137945610,291.1546
device-1,12472675947071766,12472676225791930,278.7202
device-1,12472676047396125,12472676310306666,262.9105
device-1,12472676147652454,12472676452113237,304.4608
device-1,12472676247977969,12472676609861835,361.8839
device-1,12472676348269936,12472676701754372,353.4844
device-1,12472676448606048,12472676786321883,337.7158
device-1,12472676548982709,12472676877131679,328.1490
device-1,12472676649290223,12472676962517508,313.2273
device-1,12472676749629306,12472677037740790,288.1115
device-1,12472676849992511,12472677108890190,258.8977
device-1,12472676950338843,12472677198704070,248.3652
device-1,12472677050602840,12472677348765160,298.1623
device-1,12472677150891720,12472677518285683,367.3940
device-1,12472677251264946,12472677606464748,355.1998
device-1,12472677351600203,12472677691860696,340.2605
device-1,12472677451840357,12472677861431850,409.5915
device-1,12472677552101236,12472677943605938,391.5047
device-1,12472677652348073,12472678020656879,368.3088
device-1,12472677752594894,12472678091131874,338.5370
device-1,12472677852820755,12472678182669461,329.8487
device-1,12472677953056713,12472678262602630,309.5459
device-1,12472678053307825,12472678442566417,389.2586
device-1,12472678153643031,12472678522654959,369.0119
device-1,12472678253971352,12472678623366839,369.3955
device-1,12472678354300527,12472678720076808,365.7763
device-1,12472678454581656,12472678720260907,265.6793
device-1,12472678554855990,12472679032500116,477.6441
device-1,12472678655122987,12472679356859868,701.7369
device-1,12472678755384090,12472679501785837,746.4017
device-1,12472678855629935,12472679501993400,646.3635
device-1,12472678955887074,12472679502173375,546.2863
device-1,12472679056178667,12472679502314263,446.1356
device-1,12472679156482438,12472679502553474,346.0710
device-1,12472679256791333,12472679580736209,323.9449
device-1,12472679357121372,12472679744265780,387.1444
device-1,12472679457404955,12472679821810824,364.4059
device-1,12472679557722878,12472679901823160,344.1003
device-1,12472679658015824,12472679979910769,321.8949
device-1,12472679758326176,12472680542608017,784.2818
device-1,12472679858622649,12472680542885025,684.2624
device-1,12472679958909041,12472680612696381,653.7873
device-1,12472680059169844,12472680612913588,553.7437
device-1,12472680159435505,12472680613132412,453.6969
device-1,12472680259699909,12472680613334698,353.6348
device-1,12472680359975381,12472680698943456,338.9681
device-1,12472680460257922,12472680779439468,319.1815
device-1,12472680560506787,12472680867584089,307.0773
device-1,12472680660775786,12472681022181469,361.4057
device-1,12472680761128311,12472681170153180,409.0249
device-1,12472680861460266,12472681464434319,602.9741
device-1,12472680961784683,12472681464667752,502.8831
device-1,12472681062072009,12472681464820441,402.7484
device-1,12472681162377491,12472681722584192,560.2067
device-1,12472681262647741,12472681887460302,624.8126
device-1,12472681362953397,12472681887692112,524.7387
device-1,12472681463237737,12472681887877714,424.6400
device-1,12472681563500569,12472681888038895,324.5383
device-1,12472681663762063,12472681964489566,300.7275
device-1,12472681764036410,12472682054641510,290.6051
device-1,12472681864349135,12472682203224223,338.8751
device-1,12472681964707668,12472682290751086,326.0434
device-1,12472682065048958,12472682458775250,393.7263
device-1,12472682165347837,12472682544151734,378.8039
device-1,12472682265584089,12472682640337983,374.7539
device-1,12472682365930206,12472682711759758,345.8296
device-1,12472682466271138,12472682787170200,320.8991
device-1,12472682566613980,12472682946522703,379.9087
device-1,12472682666934857,12472683039418295,372.4834
device-1,12472682767214146,12472683129899060,362.6849
device-1,12472682867488254,12472683268849304,401.3610
device-1,12472682967763103,12472683418829654,451.0666
device-1,12472683068038416,12472683419063236,351.0248
device-1,12472683168378446,12472683495829483,327.4510
device-1,12472683268989691,12472683578531224,309.5415
device-1,12472683369376490,12472683716207554,346.8311
device-1,12472683469735672,12472683804350596,334.6149
device-1,12472683569943974,12472683804563807,234.6198
device-1,12472683670293680,12472684044593654,374.3000
device-1,12472683770608492,12472684134874309,364.2658
device-1,12472683870930612,12472684213582240,342.6516
device-1,12472683971246710,12472684281969518,310.7228
device-1,12472684071557598,12472684361639955,290.0824
device-1,12472684171861712,12472684506172438,334.3107
device-1,12472684272163944,12472684598692352,326.5284
device-1,12472684372469807,12472684671885127,299.4153
device-1,12472684472803578,12472684847900560,375.0970
device-1,12472684573108671,12472684929396089,356.2874
device-1,12472684673394823,12472685012850700,339.4559
device-1,12472684773686835,12472685180974242,407.2874
device-1,12472684873920213,12472685260237152,386.3169
device-1,12472684974152225,12472685340049891,365.8977
device-1,12472685074462315,12472685401734421,327.2721
device-1,12472685174783625,12472685494720722,319.9371
device-1,12472685275093351,12472685569170185,294.0768
device-1,12472685375325612,12472685728445855,353.1202
device-1,12472685475668328,12472685798389410,322.7211
device-1,12472685575941535,12472685881526232,305.5847
device-1,12472685676327091,12472686110751855,434.4248
device-1,12472685776687445,12472686110974764,334.2873
device-1,12472685877048489,12472686195551553,318.5031
device-1,12472685977378639,12472686284450307,307.0717
device-1,12472686077661584,12472686459008910,381.3473
device-1,12472686177924728,12472686536762271,358.8375
device-1,12472686278245289,12472686636169825,357.9245
device-1,12472686378527191,12472686721716509,343.1893
