device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,12472298756268971,12472298761863475,5.5945
device-1,12472298961554011,12472298969767668,8.2137
device-1,12472299164603289,12472299169094215,4.4909
device-1,12472299368021513,12472299375682084,7.6606
device-1,12472299570825271,12472299579721937,8.8967
device-1,12472299773446348,12472299781391685,7.9453
device-1,12472299976536455,12472299984093640,7.5572
device-1,12472300179317204,12472300187796545,8.4793
device-1,12472300383406367,12472300391943902,8.5375
device-1,12472300586238952,12472300592921796,6.6828
device-1,12472300788851330,12472300797399258,8.5479
device-1,12472300991683072,12472301017660715,25.9776
device-1,12472301193672269,12472301243557755,49.8855
device-1,12472301396524014,12472301440295412,43.7714
device-1,12472301598756221,12472301646249726,47.4935
device-1,12472301801215009,12472301849675071,48.4601
device-1,12472302003277517,12472302047416373,44.1389
device-1,12472302206166366,12472302251252795,45.0864
device-1,12472302409008487,12472302457260162,48.2517
device-1,12472302611205617,12472302656734255,45.5286
device-1,12472302813157264,12472302861374456,48.2172
device-1,12472303016330788,12472303063029004,46.6982
device-1,12472303218200059,12472303265526062,47.3260
device-1,12472303420065890,12472303465553700,45.4878
device-1,12472303622888232,12472303731574993,108.6868
device-1,12472303825341014,12472303874596432,49.2554
device-1,12472304027762607,12472304073916353,46.1537
device-1,12472304229696556,12472304274917156,45.2206
device-1,12472304432556750,12472304480029445,47.4727
device-1,12472304634624761,12472304696924558,62.2998
device-1,12472304837234003,12472304879526403,42.2924
device-1,12472305039815424,12472305085979243,46.1638
device-1,12472305242602227,12472305287833196,45.2310
device-1,12472305444839214,12472305489135531,44.2963
device-1,12472305647339786,12472305692314790,44.9750
device-1,12472305849752957,12472305902399280,52.6463
device-1,12472306051857040,12472306095116730,43.2597
device-1,12472306254785165,12472306298864905,44.0797
device-1,12472306457361338,12472306503836205,46.4749
device-1,12472306659645078,12472306703969053,44.3240
device-1,12472306862302089,12472306924116678,61.8146
device-1,12472307064639984,12472307109308444,44.6685
device-1,12472307266864927,12472307310979123,44.1142
device-1,12472307468681593,12472307516294856,47.6133
device-1,12472307671278771,12472307736086258,64.8075
device-1,12472307873482460,12472307919860937,46.3785
device-1,12472308075898460,12472308123298111,47.3997
device-1,12472308278265243,12472308339660353,61.3951
device-1,12472308480601811,12472308544025576,63.4238
device-1,12472308682953273,12472308728791086,45.8378
device-1,12472308885482443,12472308929755714,44.2733
device-1,12472309087716835,12472309131108777,43.3919
device-1,12472309290224404,12472309336120117,45.8957
device-1,12472309492308590,12472309554344946,62.0364
device-1,12472309694768014,12472309739855173,45.0872
device-1,12472309896963776,12472309941018759,44.0550
device-1,12472310099413768,12472310143955884,44.5421
device-1,12472310301990507,12472310345722249,43.7317
device-1,12472310504970846,12472310551877668,46.9068
device-1,12472310707566969,12472310768313778,60.7468
device-1,12472310910424280,12472310957154173,46.7299
device-1,12472311113362177,12472311160161711,46.7995
device-1,12472311315804095,12472311360913023,45.1089
device-1,12472311518913343,12472311564236219,45.3229
device-1,12472311720992667,12472311765758705,44.7660
device-1,12472311923056183,12472311969367585,46.3114
device-1,12472312125790989,12472312170537394,44.7464
device-1,12472312328053013,12472312373515745,45.4627
device-1,12472312530544718,12472312577048991,46.5043
device-1,12472312733319299,12472312779433755,46.1145
device-1,12472312935861949,12472312978543576,42.6816
device-1,12472313138375898,12472313185943047,47.5671
device-1,12472313341016905,12472313385656470,44.6396
device-1,12472313543458167,12472313588071242,44.6131
device-1,12472313746340253,12472313810380741,64.0405
device-1,12472313948519610,12472313994473728,45.9541
device-1,12472314149713563,12472314194748171,45.0346
device-1,12472314352045509,12472314396750328,44.7048
device-1,12472314554481129,12472314601243550,46.7624
device-1,12472314757066962,12472314803465115,46.3982
device-1,12472314958255859,12472315003459923,45.2041
device-1,12472315160626336,12472315207243171,46.6168
device-1,12472315363528506,12472315409155723,45.6272
device-1,12472315566086104,12472315611667420,45.5813
device-1,12472315768601569,12472315816575503,47.9739
device-1,12472315970969995,12472316018135660,47.1657
device-1,12472316172032293,12472316217666047,45.6338
device-1,12472316373449746,12472316418509641,45.0599
device-1,12472316575934506,12472316620213443,44.2789
device-1,12472316778008418,12472316824135851,46.1274
device-1,12472316980615422,12472317039814259,59.1988
device-1,12472317183168103,12472317229492337,46.3242
device-1,12472317386067402,12472317430404924,44.3375
device-1,12472317588418399,12472317633876457,45.4581
device-1,12472317790648805,12472317836080000,45.4312
device-1,12472317993011644,12472318038666112,45.6545
device-1,12472318195606077,12472318242278340,46.6723
device-1,12472318397929020,12472318446124338,48.1953
device-1,12472318600438421,12472318686500317,86.0619
device-1,12472318802802219,12472318848251671,45.4495
device-1,12472319005568855,12472319051770433,46.2016
device-1,12472319207884182,12472319253349185,45.4650
device-1,12472319410576711,12472319455887232,45.3105
device-1,12472319613031635,12472319657216093,44.1845
device-1,12472319815638377,12472319862204600,46.5662
device-1,12472320018125274,12472320084766140,66.6409
device-1,12472320220645876,12472320267015197,46.3693
device-1,12472320422988392,12472320468523142,45.5348
device-1,12472320625638531,12472320671087192,45.4487
device-1,12472320827804198,12472320874459051,46.6549
device-1,12472321030498259,12472321076307377,45.8091
device-1,12472321233019560,12472321278736046,45.7165
device-1,12472321435282811,12472321481591235,46.3084
device-1,12472321637683742,12472321681835962,44.1522
device-1,12472321840623650,12472321891682738,51.0591
device-1,12472322042986879,12472322090171549,47.1847
