device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,12475211493394681,12475211494277035,0.8824
device-1,12475211693836612,12475211694590232,0.7536
device-1,12475211894212422,12475211894831046,0.6186
device-1,12475212094591907,12475212095392285,0.8004
device-1,12475212294978961,12475212295681713,0.7028
device-1,12475212495377758,12475212496178922,0.8012
device-1,12475212695773704,12475212696563515,0.7898
device-1,12475212896141778,12475212896842798,0.7010
device-1,12475213096532056,12475213097108620,0.5766
device-1,12475213296882580,12475213297465547,0.5830
device-1,12475213497283859,12475213497807144,0.5233
device-1,12475213697674603,12475213698307605,0.6330
device-1,12475213898038287,12475213898559086,0.5208
device-1,12475214098382454,12475214098909914,0.5275
device-1,12475214298732075,12475214299260181,0.5281
device-1,12475214499121263,12475214499736810,0.6155
device-1,12475214699521785,12475214700219305,0.6975
device-1,12475214899937746,12475214900668742,0.7310
device-1,12475215100354929,12475215101007218,0.6523
device-1,12475215300750087,12475215301397515,0.6474
device-1,12475215501146412,12475215501851626,0.7052
device-1,12475215701548817,12475215702215579,0.6668
device-1,12475215901954652,12475215902635668,0.6810
device-1,12475216102337088,12475216103086242,0.7492
device-1,12475216302730103,12475216303499621,0.7695
device-1,12475216503095461,12475216503908958,0.8135
device-1,12475216703520836,12475216704351252,0.8304
device-1,12475216903931324,12475216904764934,0.8336
device-1,12475217104340603,12475217105040634,0.7000
device-1,12475217304721185,12475217305305293,0.5841
device-1,12475217505099335,12475217505923861,0.8245
device-1,12475217705451421,12475217706201534,0.7501
device-1,12475217905824812,12475217906570371,0.7456
device-1,12475218106214233,12475218107171042,0.9568
device-1,12475218306624486,12475218307592079,0.9676
device-1,12475218507016574,12475218507728963,0.7124
device-1,12475218707379165,12475218708316899,0.9377
device-1,12475218907762260,12475218908495837,0.7336
device-1,12475219108040441,12475219108658410,0.6180
device-1,12475219308375105,12475219309161851,0.7867
device-1,12475219508741812,12475219509423766,0.6820
device-1,12475219709098558,12475219709777206,0.6786
device-1,12475219909436254,12475219910098391,0.6621
device-1,12475220109746412,12475220110526291,0.7799
device-1,12475220310071125,12475220310736350,0.6652
device-1,12475220510430311,12475220511124355,0.6940
device-1,12475220710815025,12475220711448707,0.6337
device-1,12475220911169562,12475220911776139,0.6066
device-1,12475221111494008,12475221112306375,0.8124
device-1,12475221311847344,12475221312526023,0.6787
device-1,12475221512191976,12475221512870725,0.6787
device-1,12475221712500372,12475221713214099,0.7137
device-1,12475221912789196,12475221913705591,0.9164
device-1,12475222113169062,12475222113964004,0.7949
device-1,12475222313555708,12475222314302316,0.7466
device-1,12475222513930122,12475222514690727,0.7606
device-1,12475222714320871,12475222715040651,0.7198
device-1,12475222914679428,12475222915359719,0.6803
device-1,12475223115050953,12475223115859877,0.8089
device-1,12475223315441369,12475223316150263,0.7089
device-1,12475223515736230,12475223516508551,0.7723
device-1,12475223716132890,12475223716949774,0.8169
device-1,12475223916525343,12475223917274921,0.7496
device-1,12475224116900001,12475224117685231,0.7852
device-1,12475224317285959,12475224318100658,0.8147
device-1,12475224517666414,12475224518382886,0.7165
device-1,12475224718009897,12475224718751459,0.7416
