device_id,send_ts_ns,recv_ts_ns,latency_ms
device-3,12479355384716843,12479355385593476,0.8766
device-3,12479355588628077,12479355589192529,0.5645
device-3,12479355791587632,12479355792254870,0.6672
device-3,12479355993882685,12479355994459132,0.5764
device-3,12479356195391040,12479356196071846,0.6808
device-3,12479356397579955,12479356398509957,0.9300
device-3,12479356599536562,12479356683805949,84.2694
device-3,12479356800839933,12479356885848773,85.0088
device-3,12479357002308175,12479357078624114,76.3159
device-3,12479357203728331,12479357283052618,79.3243
device-3,12479357405040905,12479357482508682,77.4678
device-3,12479357606363548,12479357795961355,189.5978
device-3,12479357807784213,12479357988050518,180.2663
device-3,12479358009021401,12479358160621689,151.6003
device-3,12479358210275146,12479358343552157,133.2770
device-3,12479358411510452,12479358580115795,168.6053
device-3,12479358613364209,12479358794597995,181.2338
device-3,12479358814862178,12479358966770407,151.9082
device-3,12479359016148827,12479359195937549,179.7887
device-3,12479359217403857,12479359359223956,141.8201
device-3,12479359419448900,12479359567390258,147.9414
device-3,12479359621334184,12479359787496634,166.1625
device-3,12479359823008582,12479359963999675,140.9911
device-3,12479360024624536,12479360190895223,166.2707
device-3,12479360225625469,12479360387843340,162.2179
device-3,12479360427487212,12479360606686322,179.1991
device-3,12479360628815254,12479360774935709,146.1205
device-3,12479360830015506,12479360976409990,146.3945
device-3,12479361031221123,12479361190298485,159.0774
device-3,12479361232490686,12479361397470989,164.9803
device-3,12479361433712123,12479361598225809,164.5137
device-3,12479361635438932,12479361791632543,156.1936
device-3,12479361837071942,12479362006390536,169.3186
device-3,12479362039010747,12479362211866778,172.8560
device-3,12479362240950933,12479362386202251,145.2513
device-3,12479362442901591,12479362588327093,145.4255
device-3,12479362644552118,12479362812521931,167.9698
device-3,12479362845729431,12479362999233917,153.5045
device-3,12479363047102823,12479363188281605,141.1788
device-3,12479363248833637,12479363420367483,171.5338
device-3,12479363450742525,12479363628055433,177.3129
device-3,12479363652591095,12479363819113832,166.5227
device-3,12479363854530892,12479364014896818,160.3659
device-3,12479364055809150,12479364192262772,136.4536
device-3,12479364256820676,12479364450291897,193.4712
device-3,12479364458022103,12479364638471210,180.4491
device-3,12479364659621103,12479364860576564,200.9555
device-3,12479364861399486,12479365364388118,502.9886
device-3,12479365063084163,12479365364448741,301.3646
device-3,12479365264684976,12479365529928870,265.2439
device-3,12479365466291546,12479365613937965,147.6464
device-3,12479365668251526,12479365843579600,175.3281
device-3,12479365869669286,12479366043473096,173.8038
device-3,12479366071028889,12479366212256170,141.2273
device-3,12479366271982466,12479366423675591,151.6931
device-3,12479366473216371,12479366960378530,487.1622
device-3,12479366674465165,12479366966092414,291.6272
device-3,12479366875591468,12479367121797114,246.2056
device-3,12479367076633486,12479367218276944,141.6435
device-3,12479367277636320,12479367426479575,148.8433
device-3,12479367478395790,12479367655752813,177.3570
device-3,12479367679704337,12479367840018646,160.3143
device-3,12479367880474349,12479368016482687,136.0083
device-3,12479368081784127,12479368221998400,140.2143
device-3,12479368283596263,12479368427594019,143.9978
device-3,12479368485405137,12479368651152932,165.7478
device-3,12479368687242960,12479368835346986,148.1040
device-3,12479368889107927,12479369056828122,167.7202
device-3,12479369090666846,12479369260706411,170.0396
device-3,12479369291819332,12479369468273325,176.4540
device-3,12479369493137037,12479369657503865,164.3668
device-3,12479369694373393,12479369867702617,173.3292
device-3,12479369895673071,12479370058594741,162.9217
device-3,12479370097065690,12479370241568806,144.5031
device-3,12479370298321944,12479370473810856,175.4889
device-3,12479370499414399,12479370656984907,157.5705
device-3,12479370700736963,12479370838158723,137.4218
device-3,12479370902206376,12479371050922603,148.7162
device-3,12479371103516778,12479371262243804,158.7270
device-3,12479371304787280,12479371499775484,194.9882
device-3,12479371505860623,12479371698104380,192.2438
device-3,12479371706840180,12479371871904925,165.0647
device-3,12479371908145207,12479372075587730,167.4425
device-3,12479372109357234,12479372264289578,154.9323
device-3,12479372310725430,12479372468227368,157.5019
device-3,12479372513556826,12479372673101921,159.5451
device-3,12479372714948368,12479372908406285,193.4579
device-3,12479372916277832,12479373078345097,162.0673
device-3,12479373117637020,12479373271620961,153.9839
device-3,12479373318809753,12479373477923879,159.1141
device-3,12479373520099601,12479374031501491,511.4019
device-3,12479373721324290,12479374031598391,310.2741
device-3,12479373922643259,12479374177256599,254.6133
device-3,12479374123568545,12479374304922875,181.3543
device-3,12479374324838278,12479374468472966,143.6347
device-3,12479374526113667,12479374678804491,152.6908
device-3,12479374727333220,12479374891001116,163.6679
device-3,12479374928589905,12479375086764728,158.1748
device-3,12479375129631998,12479375284762321,155.1303
device-3,12479375330589952,12479375510762116,180.1722
device-3,12479375531811958,12479375696107699,164.2957
device-3,12479375733110797,12479375865199439,132.0886
device-3,12479375933855361,12479376088624366,154.7690
device-3,12479376135128695,12479376320547825,185.4191
device-3,12479376336424157,12479376520857552,184.4334
device-3,12479376537594470,12479376693572734,155.9783
device-3,12479376738819759,12479376886645422,147.8257
device-3,12479376940083331,12479377098997302,158.9140
device-3,12479377141325964,12479377312955208,171.6292
device-3,12479377342550138,12479377507302492,164.7524
device-3,12479377543795137,12479377708237878,164.4427
device-3,12479377745047373,12479377892860548,147.8132
device-3,12479377946288697,12479378104112605,157.8239
device-3,12479378147560510,12479378314317513,166.7570
device-3,12479378348907465,12479378509117798,160.2103
device-3,12479378550222772,12479378697590288,147.3675
device-3,12479378751609852,12479378923014368,171.4045
device-3,12479378952958023,12479379111813738,158.8557
device-3,12479379154224593,12479379302661937,148.4373
device-3,12479379355643672,12479379531436047,175.7924
device-3,12479379556898871,12479379723548773,166.6499
device-3,12479379758354985,12479379923318863,164.9639
device-3,12479379959723732,12479380122818589,163.0949
device-3,12479380161143146,12479380312756456,151.6133
device-3,12479380362489280,12479380520056940,157.5677
device-3,12479380563787940,12479380716668462,152.8805
device-3,12479380765115866,12479380926370166,161.2543
device-3,12479380966379809,12479381130654545,164.2747
device-3,12479381167696089,12479381341113827,173.4177
device-3,12479381369013226,12479381548798865,179.7856
device-3,12479381569921734,12479381716292063,146.3703
device-3,12479381771124852,12479381938373517,167.2487
device-3,12479381972334425,12479382148720314,176.3859
device-3,12479382173474303,12479382336159080,162.6848
device-3,12479382374614637,12479382517062622,142.4480
device-3,12479382575987038,12479382714588642,138.6016
device-3,12479382777402327,12479382961475062,184.0727
device-3,12479382978769145,12479383156516318,177.7472
device-3,12479383180036102,12479383353718557,173.6825
device-3,12479383381077802,12479383571678255,190.6005
device-3,12479383581809227,12479383759168640,177.3594
device-3,12479383783150931,12479384325840969,542.6900
device-3,12479383984446004,12479384325904834,341.4588
device-3,12479384185145879,12479384454334602,269.1887
device-3,12479384386431384,12479384554569383,168.1380
device-3,12479384587167168,12479384735347813,148.1806
device-3,12479384788534730,12479384927757581,139.2229
device-3,12479384989885497,12479385125631061,135.7456
device-3,12479385191211005,12479385354336081,163.1251
device-4,12479355384789846,12479355385750877,0.9610
device-4,12479355588665698,12479355589292344,0.6266
device-4,12479355791634535,12479355792356943,0.7224
device-4,12479355993915481,12479355994519925,0.6044
device-4,12479356195434251,12479356196158483,0.7242
device-4,12479356397619327,12479356398386380,0.7671
device-4,12479356599575535,12479356703685716,104.1102
device-4,12479356800884726,12479356888568678,87.6840
device-4,12479357002352648,12479357076342992,73.9903
device-4,12479357203771047,12479357284500930,80.7299
device-4,12479357405082719,12479357477999951,72.9172
device-4,12479357606399342,12479357687180118,80.7808
device-4,12479357807823838,12479357897400793,89.5770
device-4,12479358009060588,12479358177190119,168.1295
device-4,12479358210313365,12479358376755554,166.4422
device-4,12479358411549738,12479358559739915,148.1902
device-4,12479358613415311,12479358770027582,156.6123
device-4,12479358814904073,12479358974489276,159.5852
device-4,12479359016187875,12479359147391945,131.2041
device-4,12479359217449587,12479359385060477,167.6109
device-4,12479359419497198,12479359537665715,118.1685
device-4,12479359621380524,12479359777146566,155.7660
device-4,12479359823049806,12479359967051492,144.0017
device-4,12479360024662879,12479360157300990,132.6381
device-4,12479360225673872,12479360398212514,172.5386
device-4,12479360427532534,12479360606625924,179.0934
device-4,12479360628858408,12479360800124118,171.2657
device-4,12479360830053865,12479360976941716,146.8879
device-4,12479361031264616,12479361200505338,169.2407
device-4,12479361232539904,12479361396697475,164.1576
device-4,12479361433758989,12479361590826286,157.0673
device-4,12479361635492416,12479361791976708,156.4843
device-4,12479361837120997,12479362362039406,524.9184
device-4,12479362039057071,12479362371517679,332.4606
device-4,12479362240997478,12479362504968160,263.9707
device-4,12479362442941113,12479362599548862,156.6077
device-4,12479362644607657,12479363139485793,494.8781
device-4,12479362845771341,12479363139517485,293.7461
device-4,12479363047147336,12479363220999748,173.8524
device-4,12479363248879473,12479363414978066,166.0986
device-4,12479363450787537,12479363608735174,157.9476
device-4,12479363652638866,12479363818148966,165.5101
device-4,12479363854571682,12479364019047461,164.4758
device-4,12479364055840255,12479364203471992,147.6317
device-4,12479364256856243,12479364405310509,148.4543
device-4,12479364458059131,12479364632705370,174.6462
device-4,12479364659663214,12479364805748382,146.0852
device-4,12479364861437631,12479365009322221,147.8846
device-4,12479365063121381,12479365229717431,166.5960
device-4,12479365264722374,12479365420251775,155.5294
device-4,12479365466335609,12479365607979043,141.6434
device-4,12479365668301937,12479365821704834,153.4029
device-4,12479365869714903,12479366036356956,166.6421
device-4,12479366071058219,12479366240653009,169.5948
device-4,12479366272031193,12479366416444890,144.4137
device-4,12479366473261764,12479366641390471,168.1287
device-4,12479366674498587,12479366838287625,163.7890
device-4,12479366875625943,12479367053561069,177.9351
device-4,12479367076668680,12479367231080151,154.4115
device-4,12479367277660634,12479367419840218,142.1796
device-4,12479367478440019,12479367603932408,125.4924
device-4,12479367679726540,12479367867607582,187.8810
device-4,12479367880515396,12479368032844796,152.3294
device-4,12479368081830524,12479368252211409,170.3809
device-4,12479368283640438,12479368457340273,173.6998
device-4,12479368485450497,12479368655201580,169.7511
device-4,12479368687287715,12479368868543558,181.2558
device-4,12479368889148184,12479369059612720,170.4645
device-4,12479369090693855,12479369239885883,149.1920
device-4,12479369291867795,12479369468452200,176.5844
device-4,12479369493176155,12479369683647886,190.4717
device-4,12479369694418894,12479369856656853,162.2380
device-4,12479369895712366,12479370051909653,156.1973
device-4,12479370097105640,12479370225016048,127.9104
device-4,12479370298357439,12479370448840685,150.4832
device-4,12479370499452710,12479370650101107,150.6484
device-4,12479370700785148,12479370864149269,163.3641
device-4,12479370902253604,12479371069116720,166.8631
device-4,12479371103556415,12479371265641874,162.0855
device-4,12479371304822843,12479371468520978,163.6981
device-4,12479371505890076,12479371652363217,146.4731
device-4,12479371706880755,12479372233489619,526.6089
device-4,12479371908188800,12479372233555958,325.3672
device-4,12479372109395400,12479372377258532,267.8631
device-4,12479372310787007,12479372469879114,159.0921
device-4,12479372513606556,12479372686184219,172.5777
device-4,12479372714990725,12479372878870768,163.8800
device-4,12479372916322259,12479373088928216,172.6060
device-4,12479373117671378,12479373287546195,169.8748
device-4,12479373318851560,12479373495873402,177.0218
device-4,12479373520139666,12479373698237333,178.0977
device-4,12479373721368704,12479373870344296,148.9756
device-4,12479373922665116,12479374082477714,159.8126
device-4,12479374123602310,12479374272031261,148.4290
device-4,12479374324873377,12479374481090206,156.2168
device-4,12479374526143596,12479374672508060,146.3645
device-4,12479374727361532,12479374892833634,165.4721
device-4,12479374928620900,12479375065639741,137.0188
device-4,12479375129652643,12479375302214062,172.5614
device-4,12479375330620324,12479375467744012,137.1237
device-4,12479375531839812,12479375691345092,159.5053
device-4,12479375733151806,12479375889804417,156.6526
device-4,12479375933887189,12479376092377928,158.4907
device-4,12479376135163481,12479376326462219,191.2987
device-4,12479376336453954,12479376510650114,174.1962
device-4,12479376537627137,12479376674069790,136.4427
device-4,12479376738848416,12479376867952477,129.1041
device-4,12479376940116949,12479377086729313,146.6124
device-4,12479377141356028,12479377311527043,170.1710
device-4,12479377342579186,12479377501689346,159.1102
device-4,12479377543826143,12479377698301651,154.4755
device-4,12479377745076410,12479377893331639,148.2552
device-4,12479377946320567,12479378113460578,167.1400
device-4,12479378147599143,12479378307623400,160.0243
device-4,12479378348951030,12479378493468862,144.5178
device-4,12479378550260831,12479378704014000,153.7532
device-4,12479378751651009,12479378916152740,164.5017
device-4,12479378952996059,12479379093887280,140.8912
device-4,12479379154298557,12479379310964056,156.6655
device-4,12479379355683993,12479379510531297,154.8473
device-4,12479379556939104,12479379728069623,171.1305
device-4,12479379758393675,12479379919025198,160.6315
device-4,12479379959764050,12479380104573258,144.8092
device-4,12479380161182037,12479380347701827,186.5198
device-4,12479380362525307,12479380539744363,177.2191
device-4,12479380563821829,12479380727060026,163.2382
device-4,12479380765146359,12479380911406619,146.2603
device-4,12479380966410821,12479381108894490,142.4837
device-4,12479381167736287,12479381331588904,163.8526
device-4,12479381369042123,12479381537497570,168.4554
device-4,12479381569970314,12479381740136328,170.1660
device-4,12479381771173315,12479381953168878,181.9956
device-4,12479381972375004,12479382162976102,190.6011
device-4,12479382173516851,12479382338502619,164.9858
device-4,12479382374656751,12479382531312474,156.6557
device-4,12479382576047417,12479382754096994,178.0496
device-4,12479382777447777,12479382923266906,145.8191
device-4,12479382978807196,12479383161345500,182.5383
device-4,12479383180080988,12479383314269053,134.1881
device-4,12479383381100328,12479383536387355,155.2870
device-4,12479383581849525,12479383759016634,177.1671
device-4,12479383783186111,12479383954929178,171.7431
device-4,12479383984464922,12479384161122515,176.6576
device-4,12479384185180855,12479384335897577,150.7167
device-4,12479384386451660,12479384572547031,186.0954
device-4,12479384587207594,12479384750094553,162.8870
device-4,12479384788573650,12479384955563578,166.9899
device-4,12479384989921033,12479385164390208,174.4692
device-4,12479385191247356,12479385337201944,145.9546
device-5,12479355384858318,12479355385809724,0.9514
device-5,12479355588693917,12479355589590853,0.8969
device-5,12479355791671130,12479355792393444,0.7223
device-5,12479355993933077,12479355994537694,0.6046
device-5,12479356195459080,12479356196226850,0.7678
device-5,12479356397640991,12479356398475544,0.8346
device-5,12479356599597335,12479356689797513,90.2002
device-5,12479356800908631,12479356869934340,69.0257
device-5,12479357002375501,12479357077459703,75.0842
device-5,12479357203792859,12479357289753375,85.9605
device-5,12479357405106246,12479357488218874,83.1126
device-5,12479357606422929,12479357676147984,69.7251
device-5,12479357807846944,12479357893251333,85.4044
device-5,12479358009082363,12479358113857261,104.7749
device-5,12479358210341523,12479358352276731,141.9352
device-5,12479358411581450,12479358582671675,171.0902
device-5,12479358613442523,12479358754948142,141.5056
device-5,12479358814926087,12479359005496871,190.5708
device-5,12479359016208925,12479359183196648,166.9877
device-5,12479359217486807,12479359360219246,142.7324
device-5,12479359419532314,12479359582036543,162.5042
device-5,12479359621411735,12479359793664810,172.2531
device-5,12479359823078875,12479359973584573,150.5057
device-5,12479360024682894,12479360202781448,178.0986
device-5,12479360225699058,12479360370578115,144.8791
device-5,12479360427563537,12479360583402491,155.8390
device-5,12479360628879834,12479360809177223,180.2974
device-5,12479360830075503,12479360994543805,164.4683
device-5,12479361031285306,12479361200117907,168.8326
device-5,12479361232561491,12479361391922389,159.3609
device-5,12479361433789196,12479361588689112,154.8999
device-5,12479361635521411,12479361787824684,152.3033
device-5,12479361837156008,12479361977568562,140.4126
device-5,12479362039092820,12479362210391608,171.2988
device-5,12479362241032103,12479362384439748,143.4076
device-5,12479362442970477,12479362626211698,183.2412
device-5,12479362644627737,12479362811614178,166.9864
device-5,12479362845794883,12479363013267519,167.4726
device-5,12479363047184549,12479363219293012,172.1085
device-5,12479363248917753,12479363389254729,140.3370
device-5,12479363450819699,12479364016253121,565.4334
device-5,12479363652674569,12479364016336914,363.6623
device-5,12479363854594162,12479364137827679,283.2335
device-5,12479364055856091,12479364203803275,147.9472
device-5,12479364256876689,12479364408856226,151.9795
device-5,12479364458081295,12479364636233316,178.1520
device-5,12479364659695292,12479364823441345,163.7461
device-5,12479364861466247,12479365011603460,150.1372
device-5,12479365063149375,12479365227029472,163.8801
device-5,12479365264750869,12479365407543117,142.7922
device-5,12479365466371554,12479365618298133,151.9266
device-5,12479365668328225,12479365830097658,161.7694
device-5,12479365869739185,12479366016632623,146.8934
device-5,12479366071073345,12479366233255556,162.1822
device-5,12479366272052505,12479366452648636,180.5961
device-5,12479366473285772,12479366630056662,156.7709
device-5,12479366674517649,12479366824464651,149.9470
device-5,12479366875644214,12479367032240888,156.5967
device-5,12479367076686952,12479367266608708,189.9218
device-5,12479367277672259,12479367429693644,152.0214
device-5,12479367478464205,12479367633270281,154.8061
device-5,12479367679737156,12479367839216939,159.4798
device-5,12479367880538127,12479368031139983,150.6019
device-5,12479368081863792,12479368229469190,147.6054
device-5,12479368283674437,12479368449904007,166.2296
device-5,12479368485483281,12479368656182226,170.6989
device-5,12479368687320993,12479368862417119,175.0961
device-5,12479368889175535,12479369049182576,160.0070
device-5,12479369090713149,12479369219877507,129.1644
device-5,12479369291893872,12479369448249719,156.3558
device-5,12479369493196908,12479369667267767,174.0709
device-5,12479369694442237,12479369881386820,186.9446
device-5,12479369895734898,12479370054325977,158.5911
device-5,12479370097128207,12479370248990647,151.8624
device-5,12479370298375983,12479370468014211,169.6382
device-5,12479370499473328,12479370690020745,190.5474
device-5,12479370700835175,12479370854621032,153.7859
device-5,12479370902277847,12479371068400739,166.1229
device-5,12479371103577164,12479371250290272,146.7131
device-5,12479371304841080,12479371477591430,172.7503
device-5,12479371505905366,12479371679349002,173.4436
device-5,12479371706903726,12479371888324465,181.4207
device-5,12479371908223003,12479372079779716,171.5567
device-5,12479372109416448,12479372249790175,140.3737
device-5,12479372310823308,12479372463795816,152.9725
device-5,12479372513631570,12479372664748797,151.1172
device-5,12479372715013933,12479372892925403,177.9115
device-5,12479372916346457,12479373081780770,165.4343
device-5,12479373117691703,12479373274471680,156.7800
device-5,12479373318874360,12479373474681573,155.8072
device-5,12479373520160189,12479373670508375,150.3482
device-5,12479373721393225,12479373900848571,179.4553
device-5,12479373922679388,12479374102286868,179.6075
device-5,12479374123622761,12479374283871975,160.2492
device-5,12479374324895247,12479374478726534,153.8313
device-5,12479374526164595,12479374661818181,135.6536
device-5,12479374727382484,12479374883262023,155.8795
device-5,12479374928642308,12479375077183782,148.5415
device-5,12479375129667656,12479375303594850,173.9272
device-5,12479375330641108,12479375500904476,170.2634
device-5,12479375531860705,12479375699562374,167.7017
device-5,12479375733176354,12479376257425723,524.2494
device-5,12479375933909211,12479376257482473,323.5733
device-5,12479376135185518,12479376422184936,286.9994
device-5,12479376336473180,12479376513418381,176.9452
device-5,12479376537648663,12479376674373051,136.7244
device-5,12479376738869692,12479376919915136,181.0454
device-5,12479376940138710,12479377102562258,162.4235
device-5,12479377141377263,12479377283436726,142.0595
device-5,12479377342600084,12479377503363373,160.7633
device-5,12479377543847996,12479377704629586,160.7816
device-5,12479377745097836,12479377915901514,170.8037
device-5,12479377946341682,12479378093046629,146.7049
device-5,12479378147621877,12479378310973004,163.3511
device-5,12479378348974610,12479378477280718,128.3061
device-5,12479378550284074,12479378713434429,163.1504
device-5,12479378751673532,12479378892121640,140.4481
device-5,12479378953017026,12479379122825579,169.8086
device-5,12479379154325356,12479379305337461,151.0121
device-5,12479379355705711,12479379501267301,145.5616
device-5,12479379556962960,12479379713961548,156.9986
device-5,12479379758416798,12479379898745959,140.3292
device-5,12479379959787591,12479380119914967,160.1274
device-5,12479380161205103,12479380321147018,159.9419
device-5,12479380362547532,12479380532939991,170.3925
device-5,12479380563843919,12479380718279002,154.4351
device-5,12479380765167823,12479380954357666,189.1898
device-5,12479380966432132,12479381137319062,170.8869
device-5,12479381167759877,12479381306031288,138.2714
device-5,12479381369055425,12479381539281111,170.2257
device-5,12479381569995813,12479381730693567,160.6978
device-5,12479381771211211,12479381920058182,148.8470
device-5,12479381972392311,12479382495380234,522.9879
