device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,12477743380154280,12477743400625013,20.4707
device-1,12477743482096454,12477743504257176,22.1607
device-1,12477743583023933,12477743623420069,40.3961
device-1,12477743684401239,12477743725640330,41.2391
device-1,12477743785054179,12477743825679370,40.6252
device-1,12477743886794073,12477743926644533,39.8505
device-1,12477743987972345,12477744030492852,42.5205
device-1,12477744089172611,12477744129801657,40.6290
device-1,12477744190491741,12477744228202348,37.7106
device-1,12477744291666080,12477744334702511,43.0364
device-1,12477744392903106,12477744431960035,39.0569
device-1,12477744494278982,12477744535305900,41.0269
device-1,12477744595561014,12477744637470012,41.9090
device-1,12477744696918243,12477744740265850,43.3476
device-1,12477744798279119,12477744838894927,40.6158
device-1,12477744898879549,12477744938057548,39.1780
device-1,12477745000376563,12477745039776253,39.3997
device-1,12477745101515638,12477745140499047,38.9834
device-1,12477745202484644,12477745242308873,39.8242
device-1,12477745303596541,12477745346389263,42.7927
device-1,12477745404825703,12477745446370279,41.5446
device-1,12477745505604193,12477745545501082,39.8969
device-1,12477745606582368,12477745647373775,40.7914
device-1,12477745707890898,12477745749820470,41.9296
device-1,12477745808798770,12477745846790564,37.9918
device-1,12477745909758296,12477745950900956,41.1427
device-1,12477746010703043,12477746051909992,41.2069
device-1,12477746111706783,12477746153111303,41.4045
device-1,12477746213045919,12477746252653384,39.6075
device-1,12477746314332618,12477746354454949,40.1223
device-1,12477746415375580,12477746455051551,39.6760
device-1,12477746516761761,12477746557099388,40.3376
device-1,12477746617938190,12477746659946729,42.0085
device-1,12477746719050334,12477746757211414,38.1611
device-1,12477746820431965,12477746859887966,39.4560
device-1,12477746921278126,12477746963901967,42.6238
device-1,12477747022388207,12477747064650326,42.2621
device-1,12477747123711280,12477747162893770,39.1825
device-1,12477747224664723,12477747263018642,38.3539
device-1,12477747326036794,12477747367886034,41.8492
device-1,12477747427220269,12477747468181460,40.9612
device-1,12477747528410845,12477747570549472,42.1386
device-1,12477747629366764,12477747670683643,41.3169
device-1,12477747730716515,12477747776230320,45.5138
device-1,12477747831954697,12477747871780303,39.8256
device-1,12477747933475445,12477747973440104,39.9647
device-1,12477748034834655,12477748075282703,40.4480
device-1,12477748136840578,12477748175643697,38.8031
device-1,12477748238022814,12477748276193744,38.1709
device-1,12477748339056108,12477748380809388,41.7533
device-1,12477748440406234,12477748480103668,39.6974
device-1,12477748541575181,12477748580040924,38.4657
device-1,12477748642829311,12477748683827260,40.9979
device-1,12477748743806835,12477748784774116,40.9673
device-1,12477748845064571,12477748884235059,39.1705
device-1,12477748945907982,12477748986453051,40.5451
device-1,12477749047056612,12477749088086393,41.0298
device-1,12477749147729782,12477749186995997,39.2662
device-1,12477749249082852,12477749288572777,39.4899
device-1,12477749349995009,12477749390897444,40.9024
device-1,12477749451155619,12477749491087919,39.9323
device-1,12477749552415879,12477749593320377,40.9045
device-1,12477749653658630,12477749693162152,39.5035
device-1,12477749754863284,12477749796041792,41.1785
device-1,12477749856063687,12477749897130672,41.0670
device-1,12477749957283464,12477749996141144,38.8577
device-1,12477750058367003,12477750098273280,39.9063
device-1,12477750159550027,12477750198334633,38.7846
device-1,12477750260765789,12477750300129878,39.3641
device-1,12477750361920796,12477750402831337,40.9105
device-1,12477750462985643,12477750500720399,37.7348
device-1,12477750564123398,12477750604697598,40.5742
device-1,12477750665310683,12477750703754495,38.4438
device-1,12477750766510321,12477750806423375,39.9131
device-1,12477750867676481,12477750906930981,39.2545
device-1,12477750968898477,12477751010642750,41.7443
device-1,12477751070050100,12477751109053464,39.0034
device-1,12477751171269161,12477751212024528,40.7554
device-1,12477751272255828,12477751313882655,41.6268
device-1,12477751373375217,12477751415595972,42.2208
device-1,12477751474593830,12477751513262185,38.6684
device-1,12477751575737651,12477751617125631,41.3880
device-1,12477751676933262,12477751717088651,40.1554
device-1,12477751778106213,12477751819913675,41.8075
device-1,12477751879382953,12477751921596237,42.2133
device-1,12477751980636333,12477752024158343,43.5220
device-1,12477752081814263,12477752122572016,40.7578
device-1,12477752182994743,12477752226533237,43.5385
device-1,12477752284174711,12477752325797706,41.6230
device-1,12477752385286164,12477752427026483,41.7403
device-1,12477752486445927,12477752527352222,40.9063
device-1,12477752587457635,12477752627452419,39.9948
device-1,12477752688558818,12477752728933344,40.3745
device-1,12477752789714031,12477752828359935,38.6459
device-1,12477752890903667,12477752934025804,43.1221
device-1,12477752992074310,12477753033923036,41.8487
device-1,12477753093252398,12477753131862742,38.6103
