device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,12465914542851641,12465914543569393,0.7178
device-1,12465914743480440,12465914744256412,0.7760
device-1,12465914943964386,12465914944597347,0.6330
device-1,12465915144423981,12465915145023803,0.5998
device-1,12465915344843937,12465915345320168,0.4762
device-1,12465915545223508,12465915545755647,0.5321
device-1,12465915745656465,12465915746318256,0.6618
device-1,12465915946110774,12465915946768786,0.6580
device-1,12465916146548318,12465916147111750,0.5634
device-1,12465916347004806,12465916347562018,0.5572
device-1,12465916547456773,12465916547925847,0.4691
device-1,12465916747918453,12465916748637353,0.7189
device-1,12465916948395727,12465916949112800,0.7171
device-1,12465917148841005,12465917149407614,0.5666
device-1,12465917349307934,12465917349970971,0.6630
device-1,12465917549779701,12465917550403674,0.6240
device-1,12465917750218320,12465917750764326,0.5460
device-1,12465917950657572,12465917951241483,0.5839
device-1,12465918151109845,12465918151970046,0.8602
device-1,12465918351572041,12465918352332360,0.7603
device-1,12465918552031507,12465918552845532,0.8140
device-1,12465918752329283,12465918752979222,0.6499
device-1,12465918952807285,12465918953328801,0.5215
device-1,12465919153246759,12465919153736349,0.4896
device-1,12465919353643460,12465919354158467,0.5150
device-1,12465919554065053,12465919554598316,0.5333
device-1,12465919754528566,12465919755127243,0.5987
device-1,12465919955029144,12465919955631490,0.6023
device-1,12465920155413058,12465920156024443,0.6114
device-1,12465920355859569,12465920356591011,0.7314
device-1,12465920556285206,12465920557005412,0.7202
device-1,12465920756751531,12465920757338212,0.5867
device-1,12465920957166105,12465920957922177,0.7561
device-1,12465921157622852,12465921158256415,0.6336
device-1,12465921358123215,12465921358737453,0.6142
device-1,12465921558556058,12465921559114964,0.5589
device-1,12465921758971781,12465921759683301,0.7115
device-1,12465921959408444,12465921959892720,0.4843
device-1,12465922159885375,12465922160508880,0.6235
device-1,12465922360386052,12465922360953094,0.5670
device-1,12465922560790032,12465922561316802,0.5268
device-1,12465922761245803,12465922761806026,0.5602
device-1,12465922961732445,12465922962331783,0.5993
device-1,12465923162187931,12465923162768111,0.5802
device-1,12465923362614545,12465923363188730,0.5742
device-1,12465923563088763,12465923563601607,0.5128
device-1,12465923763554354,12465923764158679,0.6043
device-1,12465923964034550,12465923964655377,0.6208
device-1,12465924164485015,12465924165003450,0.5184
device-1,12465924364923645,12465924365543535,0.6199
device-1,12465924565379388,12465924565875547,0.4962
device-1,12465924765857979,12465924766584933,0.7270
device-1,12465924966323596,12465924966960754,0.6372
device-1,12465925166761879,12465925167457061,0.6952
device-1,12465925367167128,12465925367987228,0.8201
device-1,12465925567645689,12465925568357671,0.7120
device-1,12465925768115249,12465925768781664,0.6664
device-1,12465925968592653,12465925969271950,0.6793
device-1,12465926169077433,12465926169677700,0.6003
device-1,12465926369549912,12465926370150041,0.6001
device-1,12465926570031060,12465926570592925,0.5619
device-1,12465926770490560,12465926771180946,0.6904
device-1,12465926970945401,12465926971493244,0.5478
device-1,12465927171392077,12465927171981329,0.5893
device-1,12465927371845769,12465927372482722,0.6370
device-1,12465927572301064,12465927572921537,0.6205
device-1,12465927772740741,12465927773345676,0.6049
device-1,12465927973207244,12465927973955677,0.7484
device-1,12465928173686410,12465928174344186,0.6578
device-1,12465928374157803,12465928374758531,0.6007
device-1,12465928574622804,12465928575167652,0.5448
device-1,12465928775034443,12465928775667878,0.6334
device-1,12465928975503925,12465928976035073,0.5311
device-1,12465929175974692,12465929176530642,0.5560
device-1,12465929376444799,12465929377000748,0.5559
device-1,12465929576904970,12465929577547406,0.6424
device-1,12465929777359818,12465929778006839,0.6470
device-1,12465929977803609,12465929978440123,0.6365
device-1,12465930178257845,12465930178954412,0.6966
device-1,12465930378730674,12465930379744280,1.0136
device-1,12465930579193914,12465930579905695,0.7118
device-1,12465930779658531,12465930780559001,0.9005
device-1,12465930980140638,12465930980942284,0.8016
device-1,12465931180621224,12465931181369304,0.7481
device-1,12465931381064888,12465931381847659,0.7828
device-1,12465931581517676,12465931582097961,0.5803
device-1,12465931781979385,12465931782526693,0.5473
device-1,12465931982438023,12465931983041260,0.6032
device-1,12465932182904995,12465932183589225,0.6842
device-1,12465932383363507,12465932384152675,0.7892
device-1,12465932583805720,12465932584420871,0.6152
device-1,12465932784241704,12465932785055323,0.8136
device-1,12465932984722412,12465932985519427,0.7970
device-1,12465933185171482,12465933185947457,0.7760
device-1,12465933385618012,12465933386270698,0.6527
device-1,12465933586056306,12465933587046018,0.9897
device-1,12465933786538778,12465933787361970,0.8232
device-1,12465933987054533,12465933987816226,0.7617
device-1,12465934187535033,12465934188223406,0.6884
device-1,12465934387993868,12465934388661800,0.6679
device-1,12465934588455501,12465934589120968,0.6655
device-1,12465934788911849,12465934789658399,0.7466
device-1,12465934989374837,12465934990015453,0.6406
device-1,12465935189830595,12465935190652502,0.8219
device-1,12465935390246868,12465935390971960,0.7251
device-1,12465935590685364,12465935591387293,0.7019
device-1,12465935791148307,12465935791880087,0.7318
device-1,12465935991616131,12465935992277562,0.6614
device-1,12465936192095532,12465936192778295,0.6828
device-1,12465936392540059,12465936393215305,0.6752
device-1,12465936593010098,12465936593544430,0.5343
device-1,12465936793454092,12465936794165719,0.7116
device-1,12465936993926992,12465936994567238,0.6402
device-1,12465937194383506,12465937195176171,0.7927
device-1,12465937394841057,12465937395822475,0.9814
device-1,12465937595308480,12465937596098910,0.7904
device-1,12465937795747632,12465937796533265,0.7856
device-1,12465937996045455,12465937996713231,0.6678
device-1,12465938196498252,12465938197230661,0.7324
device-1,12465938396985786,12465938397731413,0.7456
device-1,12465938597461445,12465938598150874,0.6894
device-1,12465938797940266,12465938798628966,0.6887
device-1,12465938998460104,12465938999144505,0.6844
device-1,12465939198923344,12465939199769041,0.8457
device-1,12465939399385033,12465939400313469,0.9284
device-1,12465939599840502,12465939600817284,0.9768
device-1,12465939800294623,12465939801111233,0.8166
device-1,12465940000719591,12465940001590829,0.8712
device-1,12465940201179196,12465940201901329,0.7221
device-1,12465940401680362,12465940402426900,0.7465
device-1,12465940602152507,12465940602928940,0.7764
device-1,12465940802618742,12465940803262498,0.6438
device-1,12465941003053583,12465941003731354,0.6778
device-1,12465941203516751,12465941204195872,0.6791
device-1,12465941403975091,12465941404686901,0.7118
device-1,12465941604446406,12465941604987305,0.5409
device-1,12465941804907904,12465941805551267,0.6434
device-1,12465942005369760,12465942006095660,0.7259
device-1,12465942205853431,12465942206418677,0.5652
device-1,12465942406287431,12465942406909471,0.6220
device-1,12465942606652271,12465942607448450,0.7962
device-1,12465942807045649,12465942807703806,0.6582
device-1,12465943007525059,12465943008314814,0.7898
device-1,12465943207995428,12465943208654752,0.6593
device-1,12465943408417964,12465943409100841,0.6829
device-1,12465943608815789,12465943609492803,0.6770
device-1,12465943809266795,12465943809965384,0.6986
device-1,12465944009715417,12465944010366359,0.6509
device-1,12465944210177776,12465944210897784,0.7200
device-1,12465944410612415,12465944411336389,0.7240
device-2,12465914543032923,12465914543691838,0.6589
device-2,12465914743603145,12465914744281534,0.6784
device-2,12465914944089614,12465914944678454,0.5888
device-2,12465915144523770,12465915145096207,0.5724
device-2,12465915344906933,12465915345426195,0.5193
device-2,12465915545306417,12465915545808616,0.5022
device-2,12465915745770980,12465915746418148,0.6472
device-2,12465915946204512,12465915946838133,0.6336
device-2,12465916146652453,12465916147196639,0.5442
device-2,12465916347112772,12465916347634326,0.5216
device-2,12465916547568006,12465916548023882,0.4559
device-2,12465916748051834,12465916748699527,0.6477
device-2,12465916948506161,12465916949056095,0.5499
device-2,12465917148957037,12465917149524695,0.5677
device-2,12465917349432706,12465917350150000,0.7173
device-2,12465917549889390,12465917550376907,0.4875
device-2,12465917750332617,12465917750804349,0.4717
device-2,12465917950772500,12465917951295467,0.5230
device-2,12465918151234491,12465918151939449,0.7050
device-2,12465918351695954,12465918352359788,0.6638
device-2,12465918552144201,12465918552960869,0.8167
device-2,12465918752454024,12465918753047885,0.5939
device-2,12465918952919469,12465918953394999,0.4755
device-2,12465919153335626,12465919153814170,0.4785
device-2,12465919353743450,12465919354241231,0.4978
device-2,12465919554175216,12465919554716878,0.5417
device-2,12465919754679552,12465919755169786,0.4902
device-2,12465919955109766,12465919955712001,0.6022
device-2,12465920155530823,12465920156111816,0.5810
device-2,12465920355956381,12465920356494708,0.5383
device-2,12465920556407340,12465920556946555,0.5392
device-2,12465920756824350,12465920757400006,0.5757
device-2,12465920957280367,12465920957849685,0.5693
device-2,12465921157768689,12465921158331796,0.5631
device-2,12465921358221893,12465921358653430,0.4315
device-2,12465921558644758,12465921559059901,0.4151
device-2,12465921759062288,12465921759755877,0.6936
device-2,12465921959521875,12465921959947137,0.4253
device-2,12465922160034180,12465922160599730,0.5655
device-2,12465922360478378,12465922360999267,0.5209
device-2,12465922560899563,12465922561368318,0.4688
device-2,12465922761372756,12465922761860763,0.4880
device-2,12465922961853311,12465922962415316,0.5620
device-2,12465923162283840,12465923162852011,0.5682
