device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,12469566464142556,12469566614810330,150.6678
device-1,12469566665905430,12469566810990535,145.0851
device-1,12469566867384599,12469567026285656,158.9011
device-1,12469567068771378,12469567226366127,157.5947
device-1,12469567270251722,12469567441018190,170.7665
device-1,12469567471683115,12469567615423950,143.7408
device-1,12469567673034130,12469567846228446,173.1943
device-1,12469567874671310,12469568034764869,160.0936
device-1,12469568075995736,12469568254485193,178.4895
device-1,12469568277450259,12469568430154083,152.7038
device-1,12469568478294567,12469568626956006,148.6614
device-1,12469568679368122,12469568866814818,187.4467
device-1,12469568880520092,12469569045872906,165.3528
device-1,12469569081643663,12469569254120567,172.4769
device-1,12469569282975869,12469569433889824,150.9140
device-1,12469569484692426,12469569639564484,154.8721
device-1,12469569685810914,12469569858592040,172.7811
device-1,12469569887062566,12469570056762050,169.6995
device-1,12469570088377984,12469570254862669,166.4847
device-1,12469570289814215,12469570454060752,164.2465
device-1,12469570490927079,12469570654355971,163.4289
device-1,12469570691656329,12469570855649352,163.9930
device-1,12469570893020693,12469571056610022,163.5893
device-1,12469571093704861,12469571259603736,165.8989
device-1,12469571295055751,12469571453285146,158.2294
device-1,12469571496459272,12469571664088829,167.6296
device-1,12469571697799674,12469571858034213,160.2345
device-1,12469571899147245,12469572057103659,157.9564
device-1,12469572100534419,12469572241687471,141.1531
device-1,12469572301913110,12469572439065542,137.1524
device-1,12469572503223091,12469572660555244,157.3322
device-1,12469572704502197,12469572846100323,141.5981
device-1,12469572905862107,12469573060076268,154.2142
device-1,12469573107224008,12469573253517292,146.2933
device-1,12469573308602712,12469573481517869,172.9152
device-1,12469573509951364,12469573667290257,157.3389
device-1,12469573711253770,12469573860449840,149.1961
device-1,12469573912617757,12469574070475444,157.8577
device-1,12469574113914419,12469574257856675,143.9423
device-1,12469574315296652,12469574465517573,150.2209
device-1,12469574516620204,12469574683874358,167.2542
device-1,12469574717931391,12469574889084312,171.1529
device-1,12469574919319648,12469575074009435,154.6898
device-1,12469575120738856,12469575296274065,175.5352
device-1,12469575322130076,12469575493172385,171.0423
device-1,12469575523510248,12469575685336156,161.8259
device-1,12469575724802483,12469575874433295,149.6308
device-1,12469575926177151,12469576115900741,189.7236
device-1,12469576127468412,12469576305647874,178.1795
device-1,12469576328792452,12469576477423145,148.6307
device-1,12469576530105617,12469576686385806,156.2802
device-1,12469576730929255,12469576902735434,171.8062
device-1,12469576932145809,12469577083062021,150.9162
device-1,12469577133538333,12469577296524911,162.9866
device-1,12469577334852334,12469577502349430,167.4971
device-1,12469577535588478,12469577670500703,134.9122
device-1,12469577736982711,12469577883545068,146.5624
device-1,12469577938371657,12469578107006531,168.6349
device-1,12469578139767032,12469578298083651,158.3166
device-1,12469578340871546,12469578492304081,151.4325
device-1,12469578542274835,12469578734635549,192.3607
device-1,12469578743615364,12469578926565184,182.9498
device-1,12469578945000859,12469579116891900,171.8910
device-1,12469579146324889,12469579325191915,178.8670
device-1,12469579347701096,12469579521154768,173.4537
device-1,12469579548996128,12469579702190524,153.1944
device-1,12469579750344750,12469579943307819,192.9631
device-1,12469579951699276,12469580116364061,164.6648
device-1,12469580153011539,12469580312061268,159.0497
device-1,12469580354374109,12469580519434984,165.0609
device-1,12469580555723379,12469580720165826,164.4424
device-1,12469580757085849,12469581250768172,493.6823
device-1,12469580958390183,12469581250845373,292.4552
device-1,12469581159684697,12469581431759185,272.0745
device-1,12469581361011177,12469581514681708,153.6705
device-1,12469581562314728,12469581709578621,147.2639
device-1,12469581763615845,12469581932748641,169.1328
device-1,12469581964927622,12469582127232611,162.3050
device-1,12469582166251101,12469582316884799,150.6337
device-1,12469582367595279,12469582538305561,170.7103
device-1,12469582568832684,12469582702267081,133.4344
device-1,12469582770137474,12469582923911825,153.7744
device-1,12469582971419191,12469583117135418,145.7162
device-1,12469583172736102,12469583322186921,149.4508
device-1,12469583374058999,12469583534430097,160.3711
device-1,12469583575386337,12469583724444081,149.0577
device-1,12469583776704007,12469583940895465,164.1915
device-1,12469583978021612,12469584155268820,177.2472
device-1,12469584179378273,12469584360053234,180.6750
device-1,12469584380746205,12469584554986921,174.2407
device-1,12469584582098866,12469584743774351,161.6755
device-1,12469584783439747,12469584920643713,137.2040
device-1,12469584984602489,12469585151173088,166.5706
device-1,12469585185743634,12469585341991617,156.2480
device-1,12469585387134761,12469585550903169,163.7684
device-1,12469585588495901,12469585740469114,151.9732
device-1,12469585789816464,12469585958578148,168.7617
device-1,12469585991131162,12469586171817866,180.6867
device-1,12469586192321987,12469586350764257,158.4423
device-1,12469586393648353,12469586565613476,171.9651
device-1,12469586594925997,12469586740852015,145.9260
device-1,12469586796264084,12469586959029953,162.7659
device-1,12469586997634348,12469587162866073,165.2317
device-1,12469587198818998,12469587380659237,181.8402
device-1,12469587399928298,12469587569415314,169.4870
device-1,12469587601126302,12469587759213553,158.0873
device-1,12469587802224014,12469587977443448,175.2194
device-1,12469588003469459,12469588164858428,161.3890
device-1,12469588204677040,12469588342586940,137.9099
device-1,12469588405411809,12469588574233132,168.8213
device-1,12469588606673371,12469588739621715,132.9483
device-1,12469588807907472,12469588958863952,150.9565
device-1,12469589009231263,12469589156259419,147.0282
device-1,12469589210424732,12469589378773402,168.3487
device-1,12469589411719696,12469589596685348,184.9657
device-1,12469589613046106,12469589756149702,143.1036
device-1,12469589814186006,12469589947650130,133.4641
device-1,12469590015542873,12469590167041121,151.4982
device-1,12469590216873031,12469590389941448,173.0684
device-1,12469590418147313,12469590584236149,166.0888
device-1,12469590619500289,12469590779672762,160.1725
device-1,12469590820808131,12469590973477402,152.6693
device-1,12469591022086662,12469591205488201,183.4015
device-1,12469591223271348,12469591390293275,167.0219
device-1,12469591424584483,12469591591384310,166.7998
device-1,12469591625895071,12469591807256124,181.3611
device-1,12469591827182596,12469591968370172,141.1876
device-1,12469592028427799,12469592181971334,153.5435
device-1,12469592229746038,12469592383967262,154.2212
device-1,12469592431039698,12469592590494524,159.4548
device-1,12469592632036946,12469592791651394,159.6144
device-1,12469592833344454,12469592999417328,166.0729
device-1,12469593034609456,12469593173156205,138.5467
device-1,12469593235785042,12469593433169482,197.3844
device-1,12469593437082732,12469593609742418,172.6597
device-1,12469593638370448,12469593811207693,172.8372
device-1,12469593839579110,12469594010536812,170.9577
device-1,12469594040943986,12469594196539607,155.5956
device-1,12469594242157897,12469594394892295,152.7344
device-1,12469594443457053,12469594599580252,156.1232
device-1,12469594645125746,12469594790621274,145.4955
device-1,12469594846773480,12469595008137542,161.3641
device-1,12469595048128713,12469595210092547,161.9638
device-1,12469595249301051,12469595429568158,180.2671
device-1,12469595450644306,12469595609684754,159.0404
device-1,12469595651928268,12469595831984766,180.0565
device-1,12469595853245298,12469596015936287,162.6910
device-1,12469596054529199,12469596217066534,162.5373
device-1,12469596255460021,12469596427603374,172.1434
device-1,12469596456903599,12469596619849637,162.9460
device-2,12469566464355501,12469566627766422,163.4109
device-2,12469566666088337,12469566813678727,147.5904
device-2,12469566867527109,12469567016926054,149.3989
device-2,12469567068933581,12469567224016642,155.0831
device-2,12469567270391268,12469567438179120,167.7879
device-2,12469567471821989,12469567629884803,158.0628
device-2,12469567673239518,12469567854395913,181.1564
device-2,12469567874817231,12469568058421387,183.6042
device-2,12469568076184212,12469568238560417,162.3762
device-2,12469568277549032,12469568447495376,169.9463
device-2,12469568478420854,12469568603892484,125.4716
device-2,12469568679499320,12469568846745887,167.2466
device-2,12469568880644253,12469569036860352,156.2161
device-2,12469569081780248,12469569235199009,153.4188
device-2,12469569283143572,12469569444973805,161.8302
device-2,12469569484818652,12469569647564077,162.7454
device-2,12469569685950547,12469569821306899,135.3564
