device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,12468097788110091,12468097808323980,20.2139
device-1,12468097889425811,12468097930262522,40.8367
device-1,12468097990514512,12468098027783656,37.2691
device-1,12468098091849832,12468098132014209,40.1644
device-1,12468098193279189,12468098235938277,42.6591
device-1,12468098294495810,12468098335223611,40.7278
device-1,12468098395532422,12468098438769969,43.2375
device-1,12468098496962298,12468098533802939,36.8406
device-1,12468098598004387,12468098636170719,38.1663
device-1,12468098698725072,12468098739403211,40.6781
device-1,12468098800044476,12468098840602762,40.5583
device-1,12468098901187122,12468098944048252,42.8611
device-1,12468099002599862,12468099042439065,39.8392
device-1,12468099103740631,12468099144860894,41.1203
device-1,12468099204899977,12468099244608579,39.7086
device-1,12468099306262893,12468099347620295,41.3574
device-1,12468099407410685,12468099450545480,43.1348
device-1,12468099508598652,12468099550479922,41.8813
device-1,12468099609499863,12468099647508742,38.0089
device-1,12468099710687465,12468099752530828,41.8434
device-1,12468099812047820,12468099853962327,41.9145
device-1,12468099912911465,12468099953019166,40.1077
device-1,12468100014052244,12468100053853988,39.8017
device-1,12468100115123344,12468100155484728,40.3614
device-1,12468100216060905,12468100256943629,40.8827
device-1,12468100316716290,12468100359917949,43.2017
device-1,12468100417950163,12468100460961147,43.0110
device-1,12468100519156756,12468100560768354,41.6116
device-1,12468100620061374,12468100660387128,40.3258
device-1,12468100721206419,12468100763425680,42.2193
device-1,12468100822356426,12468100862572512,40.2161
device-1,12468100923519348,12468100962082497,38.5631
device-1,12468101024808479,12468101066191564,41.3831
device-1,12468101125874359,12468101166705321,40.8310
device-1,12468101227015614,12468101268591538,41.5759
device-1,12468101328177276,12468101368812990,40.6357
device-1,12468101429306331,12468101469630109,40.3238
device-1,12468101530377749,12468101568904212,38.5265
device-1,12468101631655726,12468101672630323,40.9746
device-1,12468101733031330,12468101772856696,39.8254
device-1,12468101834110786,12468101876731419,42.6206
device-1,12468101935444068,12468101974638408,39.1943
device-1,12468102036596490,12468102075918708,39.3222
device-1,12468102137827419,12468102175146982,37.3196
device-1,12468102238885454,12468102281702649,42.8172
device-1,12468102340043395,12468102379072017,39.0286
device-1,12468102441189376,12468102483504249,42.3149
device-1,12468102542348116,12468102580388745,38.0406
device-1,12468102643565257,12468102684948957,41.3837
device-1,12468102744817498,12468102785122094,40.3046
device-1,12468102845834616,12468102886387599,40.5530
device-1,12468102946980685,12468102985580266,38.5996
device-1,12468103048068458,12468103089295786,41.2273
