device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,20900406458899,20900408044057,1.5852
device-1,20900608551033,20900614834883,6.2839
device-1,20900811791090,20900817263419,5.4723
device-1,20901019709516,20901026755856,7.0463
device-1,20901226685657,20901233415942,6.7303
device-1,20901433787902,20901440905634,7.1177
device-1,20901641092012,20901645121088,4.0291
device-1,20901848062295,20901853110132,5.0478
device-1,20902055427939,20902060236702,4.8088
device-1,20902263269411,20902270050530,6.7811
device-1,20902468903203,20902475515735,6.6125
device-1,20902677611008,20902682522509,4.9115
device-1,20902884445428,20902890336612,5.8912
device-1,20903090463583,20903096442201,5.9786
device-1,20903298207458,20903300484593,2.2771
device-1,20903502343459,20903507578947,5.2355
device-1,20903710512588,20903717388469,6.8759
device-1,20903918362542,20903922816964,4.4544
device-1,20904126494338,20904132913427,6.4191
device-1,20904332891054,20904339618110,6.7271
device-1,20904536926666,20904541872032,4.9454
device-1,20904743578107,20904749300315,5.7222
device-1,20904950393264,20904956862133,6.4689
device-1,20905158697863,20905164581978,5.8841
device-1,20905363360065,20905367154038,3.7940
device-1,20905570738886,20905576209205,5.4703
device-1,20905778599630,20905783296639,4.6970
device-1,20905984884004,20905991554026,6.6700
device-1,20906195671693,20906201887720,6.2160
device-1,20906402567770,20906408572361,6.0046
device-1,20906610619731,20906616958570,6.3388
device-1,20906817412234,20906823459205,6.0470
device-1,20907024974033,20907031018319,6.0443
device-1,20907231486048,20907237551954,6.0659
device-1,20907437711955,20907444755641,7.0437
device-1,20907643261394,20907649396507,6.1351
device-1,20907849756823,20907858092335,8.3355
device-1,20908055996257,20908062295582,6.2993
device-1,20908263466671,20908268755822,5.2892
device-1,20908471888451,20908476893633,5.0052
device-1,20908677930532,20908680083095,2.1526
device-1,20908881630507,20908887458490,5.8280
device-1,20909088501541,20909094491188,5.9896
device-1,20909296048739,20909300246176,4.1974
device-1,20909502340808,20909509108068,6.7673
device-1,20909707450036,20909712924101,5.4741
device-1,20909914772896,20909921015807,6.2429
device-1,20910120415377,20910126670118,6.2547
device-1,20910323398675,20910325781748,2.3831
device-1,20910526776572,20910529455767,2.6792
device-1,20910729324065,20910735495608,6.1715
device-1,20910937281408,20910944308147,7.0267
device-1,20911142436755,20911149119892,6.6831
device-1,20911349311391,20911354262330,4.9509
device-1,20911556921120,20911563926279,7.0052
device-1,20911765500364,20911771547242,6.0469
device-1,20911972550252,20911977779963,5.2297
device-1,20912179582616,20912185795896,6.2133
device-1,20912384155417,20912389329670,5.1743
device-1,20912591541315,20912597966576,6.4253
device-1,20912798800338,20912804217207,5.4169
device-1,20913005813610,20913010936014,5.1224
device-1,20913213100627,20913218691479,5.5909
device-1,20913421121977,20913427274927,6.1529
device-1,20913628165365,20913634146672,5.9813
device-1,20913834393277,20913840679268,6.2860
device-1,20914041390250,20914046818592,5.4283
device-1,20914247474464,20914249807042,2.3326
device-1,20914449667536,20914455147663,5.4801
device-1,20914655213130,20914662565875,7.3527
device-1,20914862595468,20914868248800,5.6533
device-1,20915068765941,20915075278923,6.5130
device-1,20915274797896,20915281611504,6.8136
device-1,20915481006644,20915487048604,6.0420
device-1,20915686397774,20915692142357,5.7446
device-1,20915890572716,20915896560721,5.9880
device-1,20916096846025,20916102983829,6.1378
device-1,20916303175341,20916304885738,1.7104
device-1,20916506527037,20916511844532,5.3175
device-1,20916713157215,20916718516537,5.3593
device-1,20916920507504,20916926432191,5.9247
device-1,20917128215271,20917134152750,5.9375
device-1,20917334671679,20917338045730,3.3741
device-1,20917538854843,20917545991232,7.1364
device-1,20917745218755,20917751450255,6.2315
device-1,20917952985679,20917958057154,5.0715
device-1,20918159725705,20918162653853,2.9281
device-1,20918362440192,20918369388271,6.9481
device-1,20918571000349,20918575451012,4.4507
device-1,20918779135776,20918785446417,6.3106
device-1,20918985232424,20918992800115,7.5677
device-1,20919191859523,20919194523152,2.6636
device-1,20919398671857,20919405409579,6.7377
device-1,20919603390854,20919610508855,7.1180
device-1,20919810743168,20919817589014,6.8458
device-1,20920017951510,20920023780738,5.8292
device-1,20920224775438,20920231194066,6.4186
device-1,20920431304460,20920432733309,1.4288
device-1,20920634132540,20920640818257,6.6857
device-1,20920842383232,20920848106729,5.7235
device-1,20921048285145,20921054481065,6.1959
device-1,20921255144667,20921261682115,6.5374
device-1,20921459515876,20921464893249,5.3774
