device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,23598801783780,23598977716513,175.9327
device-1,23599005874074,23599182302739,176.4287
device-1,23599209981335,23599367942859,157.9615
device-1,23599413923340,23599552248699,138.3254
device-1,23599616844012,23599786307929,169.4639
device-1,23599820964712,23599995733024,174.7683
device-1,23600024968905,23600205804990,180.8361
device-1,23600228772436,23600385919305,157.1469
device-1,23600432108232,23600591599900,159.4917
device-1,23600636923661,23600804930452,168.0068
device-1,23600846630063,23600994813414,148.1834
device-1,23601051045725,23601226230411,175.1847
device-1,23601254977284,23601406554445,151.5772
device-1,23601458714428,23601625186439,166.4720
device-1,23601661668201,23601802295361,140.6272
device-1,23601876967622,23602049444741,172.4771
device-1,23602091347136,23602266502261,175.1551
device-1,23602307857307,23602461615579,153.7583
device-1,23602519671655,23602696568497,176.8968
device-1,23602731782328,23602880937540,149.1552
device-1,23602937667391,23603088912451,151.2451
device-1,23603153662427,23603339870411,186.2080
device-1,23603367707410,23603535580137,167.8727
device-1,23603579078309,23603743155532,164.0772
device-1,23603792063994,23603971517689,179.4537
device-1,23604001339366,23604168924818,167.5855
device-1,23604215544981,23604381960141,166.4152
device-1,23604420343196,23604592089189,171.7460
device-1,23604631212389,23604793033664,161.8213
device-1,23604846486927,23604996810663,150.3237
device-1,23605062416007,23605244539391,182.1234
device-1,23605278714772,23605454494834,175.7801
device-1,23605494602594,23605646372224,151.7696
device-1,23605709299728,23605855292711,145.9930
device-1,23605924929380,23606108651121,183.7217
device-1,23606140194667,23606299880216,159.6855
device-1,23606354665211,23606511585141,156.9199
device-1,23606568910173,23606714552883,145.6427
device-1,23606784221916,23606916836905,132.6150
device-1,23607002145229,23607202108063,199.9628
device-1,23607216518240,23607375447473,158.9292
device-1,23607431004170,23607587764704,156.7605
device-1,23607648159372,23607787832497,139.6731
device-1,23607861313336,23608027129767,165.8164
device-1,23608077314265,23608639906279,562.5920
device-1,23608293074672,23608640157698,347.0830
device-1,23608510142592,23608702540293,192.3977
device-1,23608713941903,23608885984864,172.0430
device-1,23608918103148,23609083906793,165.8036
device-1,23609122625241,23609284695224,162.0700
device-1,23609326614917,23609479002817,152.3879
device-1,23609541160631,23609725886465,184.7258
device-1,23609756846630,23609917741393,160.8948
device-1,23609971440669,23610131328882,159.8882
device-1,23610186950625,23610361179429,174.2288
device-1,23610402446580,23610566560439,164.1139
device-1,23610618401548,23610780386380,161.9848
device-1,23610834153244,23610972091622,137.9384
device-1,23611048997415,23611204492251,155.4948
device-1,23611263375876,23611403301835,139.9260
device-1,23611480324228,23611659144316,178.8201
device-1,23611696370433,23611853705224,157.3348
device-1,23611913756801,23612068848493,155.0917
device-1,23612125851000,23612286372380,160.5214
device-1,23612341407043,23612509112726,167.7057
device-1,23612558072792,23612747492009,189.4192
device-1,23612776146123,23613288381539,512.2354
device-1,23612986497606,23613288900719,302.4031
device-1,23613204155233,23613480157581,276.0023
device-1,23613419671440,23613584342978,164.6715
device-1,23613636292194,23613808879848,172.5877
device-1,23613851000884,23614026370365,175.3695
device-1,23614067388932,23614234416260,167.0273
device-1,23614273266555,23614448424621,175.1581
device-1,23614489378170,23614654258911,164.8807
device-1,23614705518534,23614846075148,140.5566
device-1,23614921729784,23615081096066,159.3663
device-1,23615126220977,23615306680690,180.4597
device-1,23615331324001,23615489346740,158.0227
device-1,23615547658769,23615696496150,148.8374
device-1,23615764282038,23615941802148,177.5201
device-1,23615980877605,23616169838490,188.9609
device-1,23616194610850,23616362384193,167.7733
device-1,23616408479849,23616560984390,152.5045
device-1,23616627756736,23616774756344,146.9996
device-1,23616843011290,23617017998137,174.9868
device-1,23617049796498,23617207919548,158.1231
device-1,23617254949140,23617836206775,581.2576
device-1,23617461475013,23618091194532,629.7195
device-1,23617665974375,23618093843539,427.8692
device-1,23617871369302,23618094434449,223.0651
device-1,23618076254896,23618248262844,172.0079
device-1,23618293047068,23618466590612,173.5435
device-1,23618508256627,23618683476997,175.2204
device-1,23618724750543,23618881119094,156.3686
device-1,23618940843823,23619102603344,161.7595
device-1,23619157388507,23619318899199,161.5107
device-1,23619375309575,23619537497361,162.1878
device-1,23619586910533,23619740702718,153.7922
device-1,23619801317141,23619977374526,176.0574
device-1,23620009759798,23620190256143,180.4963
device-1,23620227299367,23620406523776,179.2244
device-1,23620445783681,23620628695812,182.9121
device-1,23620662846464,23620813107336,150.2609
device-1,23620878283714,23621026013379,147.7297
device-1,23621083746348,23621224553181,140.8068
device-1,23621298663746,23621468874187,170.2104
device-1,23621515136396,23621670529588,155.3932
device-1,23621732939027,23621910398665,177.4596
device-1,23621950717036,23622104681029,153.9640
device-1,23622162464239,23622296077031,133.6128
device-1,23622380141836,23622567852873,187.7110
device-1,23622598429103,23622751564146,153.1350
device-1,23622817163251,23622984739826,167.5766
device-1,23623035661299,23623218483438,182.8221
device-1,23623251614740,23623406942646,155.3279
device-1,23623463155097,23623639965337,176.8102
device-1,23623680281786,23623867851803,187.5700
device-1,23623895375236,23624058040817,162.6656
device-1,23624112818654,23624280409599,167.5909
device-1,23624330181361,23624473735014,143.5537
device-1,23624546266239,23624709349163,163.0829
