device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,22281768784771,22281809104375,40.3196
device-1,22281972889084,22282016176257,43.2872
device-1,22282186484425,22282225963865,39.4794
device-1,22282390336980,22282432378845,42.0419
device-1,22282594084206,22282631425715,37.3415
device-1,22282798041893,22282838304958,40.2631
device-1,22283002502316,22283043005165,40.5028
device-1,22283206754732,22283246787695,40.0330
device-1,22283410540928,22283451873879,41.3330
device-1,22283615436305,22283658821083,43.3848
device-1,22283819299081,22283860505056,41.2060
device-1,22284023173819,22284065154916,41.9811
device-1,22284226980039,22284269505682,42.5256
device-1,22284431692152,22284472323663,40.6315
device-1,22284635726207,22284680209226,44.4830
device-1,22284844612413,22284885414243,40.8018
device-1,22285056490624,22285100149904,43.6593
device-1,22285272430239,22285316196898,43.7667
device-1,22285486156125,22285530313232,44.1571
device-1,22285702501783,22285744318390,41.8166
device-1,22285918294859,22285962788267,44.4934
device-1,22286134629276,22286179809078,45.1798
device-1,22286350356295,22286393141468,42.7852
device-1,22286566720237,22286609525258,42.8050
device-1,22286784964828,22286826605417,41.6406
device-1,22287002762955,22287047277485,44.5145
device-1,22287220546148,22287264826307,44.2802
device-1,22287438423385,22287481102223,42.6788
device-1,22287648182401,22287690003490,41.8211
device-1,22287854795443,22287895637521,40.8421
device-1,22288060909406,22288102309705,41.4003
device-1,22288267985955,22288309193046,41.2071
device-1,22288482621177,22288522897636,40.2765
device-1,22288690576086,22288730396205,39.8201
device-1,22288899619499,22288943944048,44.3245
device-1,22289115966069,22289157781270,41.8152
device-1,22289324080763,22289365093260,41.0125
device-1,22289537774359,22289580209405,42.4350
device-1,22289754810565,22289798068720,43.2582
device-1,22289970945568,22290018766257,47.8207
device-1,22290188067343,22290230847908,42.7806
device-1,22290405604728,22290448375932,42.7712
device-1,22290616704701,22290658140300,41.4356
device-1,22290832912491,22290871728400,38.8159
device-1,22291041861461,22291085096276,43.2348
device-1,22291258571836,22291301045684,42.4738
device-1,22291468061207,22291512351288,44.2901
device-1,22291683673273,22291724895556,41.2223
device-1,22291887471065,22291931261030,43.7900
device-1,22292104690638,22292147383749,42.6931
device-1,22292318151074,22292359105761,40.9547
device-1,22292523964156,22292563908437,39.9443
device-1,22292739834914,22292783574467,43.7396
device-1,22292953308449,22292999792205,46.4838
device-1,22293166637000,22293208406077,41.7691
