device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,56393740276861,56393749160387,8.8835
device-1,56393940463364,56393949798698,9.3353
device-1,56394140680803,56394143924224,3.2434
device-1,56394341007694,56394345387536,4.3798
device-1,56394541234336,56394545906996,4.6727
device-1,56394741638862,56394747250870,5.6120
device-1,56394941905545,56394949178032,7.2725
device-1,56395142137179,56395144780670,2.6435
device-1,56395342351584,56395348268354,5.9168
device-1,56395542602896,56395550576444,7.9735
device-1,56395742943200,56395746986266,4.0431
device-1,56395943103563,56395946398283,3.2947
device-1,56396143378763,56396148024501,4.6457
device-1,56396343634873,56396347270480,3.6356
device-1,56396543874340,56396550965712,7.0914
device-1,56396744034018,56396749446409,5.4124
device-1,56396944351609,56396949088099,4.7365
device-1,56397144588236,56397147997695,3.4095
device-1,56397344829857,56397350767088,5.9372
device-1,56397545107798,56397550591949,5.4842
device-1,56397745376145,56397749212643,3.8365
device-1,56397945554131,56397950630921,5.0768
device-1,56398145824436,56398151716046,5.8916
device-1,56398346103944,56398352412901,6.3090
device-1,56398546416835,56398553617366,7.2005
device-1,56398746727573,56398751588984,4.8614
device-1,56398946982214,56398955285390,8.3032
device-1,56399147587434,56399153936335,6.3489
device-1,56399347849614,56399352628005,4.7784
device-1,56399548299271,56399560674492,12.3752
device-1,56399748703972,56399752408759,3.7048
device-1,56399949071487,56399957264323,8.1928
device-1,56400149781006,56400156615515,6.8345
device-1,56400350085875,56400353418705,3.3328
device-1,56400550513392,56400567146906,16.6335
device-1,56400751155274,56400758104796,6.9495
device-1,56400951583280,56400958101431,6.5182
device-1,56401151975559,56401158868113,6.8926
device-1,56401352350121,56401356643187,4.2931
device-1,56401552624255,56401557081667,4.4574
device-1,56401752857963,56401759418693,6.5607
device-1,56401953223716,56401957606345,4.3826
device-1,56402153478371,56402158589057,5.1107
device-1,56402353884452,56402360118740,6.2343
device-1,56402554275067,56402563056867,8.7818
device-1,56402754808396,56402767909593,13.1012
device-1,56402955385870,56402959973663,4.5878
device-1,56403155580523,56403162184908,6.6044
device-1,56403356025267,56403362468047,6.4428
device-1,56403556254766,56403560179693,3.9249
device-1,56403756641172,56403765612279,8.9711
device-1,56403957279139,56403967856805,10.5777
device-1,56404157681010,56404165016976,7.3360
device-1,56404358211892,56404361497053,3.2852
device-1,56404558677584,56404566768817,8.0912
device-1,56404758977950,56404763474418,4.4965
device-1,56404959266375,56404966909303,7.6429
device-1,56405159737940,56405169231548,9.4936
device-1,56405360358189,56405365038090,4.6799
device-1,56405560694577,56405565960212,5.2656
device-1,56405761079221,56405764953542,3.8743
device-1,56405961451042,56405970483914,9.0329
device-1,56406162171133,56406170087155,7.9160
device-1,56406362776504,56406371479313,8.7028
device-1,56406563327843,56406567494052,4.1662
device-1,56406763505660,56406767584753,4.0791
device-1,56406964128650,56406974153276,10.0246
device-1,56407164663349,56407167356120,2.6928
device-1,56407364972134,56407366700754,1.7286
device-1,56407565184112,56407569384678,4.2006
device-1,56407765391912,56407774136035,8.7441
device-1,56407965746821,56407976325956,10.5791
device-1,56408166168856,56408170598210,4.4294
device-1,56408366397047,56408370374032,3.9770
device-1,56408566637567,56408570942943,4.3054
device-1,56408766774854,56408773566445,6.7916
device-1,56408966954119,56408972978357,6.0242
device-1,56409167224387,56409176362363,9.1380
device-1,56409367752982,56409375086182,7.3332
