device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,1456823186117,1456827641859,4.4557
device-1,1456923408645,1456927464980,4.0563
device-1,1457023582268,1457027627842,4.0456
device-1,1457123853606,1457128314824,4.4612
device-1,1457224081610,1457229049558,4.9679
device-1,1457324305099,1457330449459,6.1444
device-1,1457424550495,1457429458200,4.9077
device-1,1457524729979,1457528189268,3.4593
device-1,1457624953564,1457629122889,4.1693
device-1,1457725161488,1457732835740,7.6743
device-1,1457825405826,1457829899616,4.4938
device-1,1457925655834,1457933969119,8.3133
device-1,1458025878842,1458029503102,3.6243
device-1,1458126034498,1458129977649,3.9432
device-1,1458226240789,1458289638186,63.3974
device-1,1458326421041,1458414804508,88.3835
device-1,1458426750892,1458549030374,122.2795
device-1,1458527088717,1458634443218,107.3545
device-1,1458627547892,1458701295580,73.7477
device-1,1458727938561,1458908440342,180.5018
device-1,1458828288300,1459000523492,172.2352
device-1,1458929721829,1459084551429,154.8296
device-1,1459030264786,1459214326261,184.0615
device-1,1459130478187,1459301582989,171.1048
device-1,1459230722333,1459449287918,218.5656
device-1,1459330959562,1459476877582,145.9180
device-1,1459431232821,1459598842400,167.6096
device-1,1459531470145,1459717836499,186.3664
device-1,1459631628876,1459904713906,273.0850
device-1,1459731881285,1459907556453,175.6752
device-1,1459832192400,1460038890675,206.6983
device-1,1459932437315,1460113327454,180.8901
device-1,1460032650907,1460195030047,162.3791
device-1,1460132796955,1460304300204,171.5032
device-1,1460233072424,1460398205716,165.1333
device-1,1460334141231,1460504728927,170.5877
device-1,1460434319562,1460680924564,246.6050
device-1,1460534481463,1460703338938,168.8575
device-1,1460634679587,1460824867646,190.1881
device-1,1460734872618,1460917810910,182.9383
device-1,1460835052967,1461027369406,192.3164
device-1,1460935577957,1461100216626,164.6387
device-1,1461035791934,1461195635024,159.8431
device-1,1461136394173,1461352777131,216.3830
device-1,1461236665703,1461393926374,157.2607
device-1,1461336859791,1461507182426,170.3226
device-1,1461437050892,1461622415574,185.3647
device-1,1461537298213,1461787602598,250.3044
device-1,1461637555699,1461818992656,181.4370
device-1,1461737741071,1461892562748,154.8217
device-1,1461837944471,1462065394058,227.4496
device-1,1461938171366,1462128147802,189.9764
device-1,1462038508446,1462205655113,167.1467
device-1,1462138961177,1462314938177,175.9770
device-1,1462239217704,1462483704917,244.4872
