device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,57978932990529,57978942892345,9.9018
device-1,57979033427895,57979038166782,4.7389
device-1,57979133718771,57979142566829,8.8481
device-1,57979234076056,57979240395679,6.3196
device-1,57979334346130,57979339602228,5.2561
device-1,57979434583976,57979445845717,11.2617
device-1,57979535220180,57979550335806,15.1156
device-1,57979635767219,57979647598811,11.8316
device-1,57979736300098,57979748169679,11.8696
device-1,57979837125471,57979850758316,13.6328
device-1,57979937659131,57979941997316,4.3382
device-1,57980037921783,57980046501566,8.5798
device-1,57980138125155,57980142544007,4.4189
device-1,57980238447575,57980250147617,11.7000
device-1,57980338912872,57980346862940,7.9501
device-1,57980439179040,57980470702051,31.5230
device-1,57980539407608,57980566612357,27.2047
device-1,57980639721532,57980665375820,25.6543
device-1,57980740069148,57980762457175,22.3880
device-1,57980840373501,57980861985712,21.6122
device-1,57980940826591,57980963787398,22.9608
device-1,57981041109752,57981063140731,22.0310
device-1,57981141409124,57981183362491,41.9534
device-1,57981241613375,57981284324979,42.7116
device-1,57981341907180,57981383264524,41.3573
device-1,57981442139167,57981484768834,42.6297
device-1,57981542360606,57981587136464,44.7759
device-1,57981642645719,57981687559279,44.9136
device-1,57981742856904,57981784734389,41.8775
device-1,57981843116919,57981886505117,43.3882
device-1,57981943330057,57981986655263,43.3252
device-1,57982043536065,57982086604131,43.0681
device-1,57982143682696,57982184540408,40.8577
device-1,57982243901303,57982286729417,42.8281
device-1,57982344243255,57982386718033,42.4748
device-1,57982444482176,57982485752016,41.2698
device-1,57982544652538,57982586189871,41.5373
device-1,57982644894193,57982687234003,42.3398
device-1,57982745168954,57982789913854,44.7449
device-1,57982845359142,57982890798995,45.4399
device-1,57982945546595,57982989981911,44.4353
device-1,57983045789129,57983091772757,45.9836
device-1,57983146060179,57983184907156,38.8470
device-1,57983246305057,57983291870014,45.5650
device-1,57983346640856,57983386802150,40.1613
device-1,57983447048827,57983490048336,42.9995
device-1,57983547428672,57983591292575,43.8639
device-1,57983647685073,57983687918343,40.2333
device-1,57983747830435,57983788092710,40.2623
device-1,57983848145823,57983891323855,43.1780
device-1,57983948369216,57983991113244,42.7440
device-1,57984048597393,57984094522425,45.9250
device-1,57984148914832,57984192561441,43.6466
device-1,57984249119962,57984289996620,40.8767
device-1,57984349353218,57984390740739,41.3875
device-1,57984449565184,57984491646291,42.0811
device-1,57984549800198,57984594697058,44.8969
device-1,57984649959036,57984692591731,42.6327
device-1,57984750152447,57984792541576,42.3891
device-1,57984850396933,57984893529846,43.1329
device-1,57984950683805,57984990983582,40.2998
device-1,57985050836979,57985092060138,41.2232
device-1,57985151042011,57985191871109,40.8291
device-1,57985251255247,57985292202709,40.9475
device-1,57985351458228,57985393510428,42.0522
device-1,57985451625270,57985497064733,45.4395
device-1,57985551821805,57985595299949,43.4781
device-1,57985652016095,57985693601379,41.5853
device-1,57985752234311,57985794828332,42.5940
device-1,57985852491005,57985896178049,43.6870
device-1,57985952705853,57985995804882,43.0990
device-1,57986052997658,57986093888528,40.8909
device-1,57986153255645,57986195579669,42.3240
device-1,57986253535267,57986294019727,40.4845
device-1,57986353730879,57986402408931,48.6781
device-1,57986453999294,57986495775786,41.7765
device-1,57986554238081,57986597218598,42.9805
device-1,57986654582904,57986697094540,42.5116
device-1,57986754848883,57986797833786,42.9849
device-1,57986855117785,57986895711400,40.5936
device-1,57986955402963,57986997560427,42.1575
device-1,57987055675276,57987099834674,44.1594
device-1,57987155953437,57987199107921,43.1545
device-1,57987256289392,57987300112357,43.8230
device-1,57987356557416,57987399630424,43.0730
device-1,57987456795326,57987502850037,46.0547
device-1,57987557059842,57987599771077,42.7112
device-1,57987657285375,57987697675103,40.3897
device-1,57987757487809,57987801158638,43.6708
device-1,57987857715972,57987902290747,44.5748
device-1,57987957953979,57988000511032,42.5571
device-1,57988058177465,57988102400115,44.2227
device-1,57988158374831,57988197680800,39.3060
device-1,57988258584770,57988301375629,42.7909
device-1,57988358875113,57988401505650,42.6305
device-1,57988459094310,57988505005462,45.9112
device-1,57988559261951,57988600220750,40.9588
device-1,57988659450838,57988699868830,40.4180
device-1,57988759614093,57988801532877,41.9188
device-1,57988859817697,57988901668356,41.8507
device-1,57988960032703,57989002967219,42.9345
device-1,57989060240010,57989102828055,42.5880
device-1,57989160484157,57989200338341,39.8542
device-1,57989260733080,57989302990149,42.2571
device-1,57989360934442,57989405784445,44.8500
device-1,57989461147597,57989504823787,43.6762
device-1,57989561520392,57989605820036,44.2996
device-1,57989661767658,57989706610156,44.8425
device-1,57989762009076,57989807762439,45.7534
device-1,57989862213362,57989903317377,41.1040
device-1,57989962417745,57990004579498,42.1618
device-1,57990062673782,57990104656208,41.9824
device-1,57990162921730,57990206277178,43.3554
device-1,57990263140928,57990304678739,41.5378
device-1,57990363307301,57990404842871,41.5356
device-1,57990463541995,57990505623830,42.0818
device-1,57990563735755,57990607517689,43.7819
device-1,57990664052412,57990713847750,49.7953
device-1,57990764564381,57990808134534,43.5702
device-1,57990864799854,57990908206371,43.4065
device-1,57990965074604,57991008270801,43.1962
device-1,57991065271970,57991110948047,45.6761
device-1,57991165591064,57991209128178,43.5371
device-1,57991265869322,57991310152690,44.2834
device-1,57991366198747,57991410039937,43.8412
device-1,57991466456344,57991506714695,40.2584
device-1,57991566726903,57991610898971,44.1721
device-1,57991666974948,57991706266883,39.2919
device-1,57991767132063,57991809550624,42.4186
device-1,57991867364515,57991912391213,45.0267
device-1,57991967745692,57992010640736,42.8950
device-1,57992068034476,57992111912408,43.8779
device-1,57992168279207,57992219785657,51.5065
device-1,57992268549474,57992309334599,40.7851
device-1,57992368823541,57992410414469,41.5909
device-1,57992469082795,57992511800267,42.7175
device-1,57992569239325,57992610381642,41.1423
device-1,57992669555885,57992714028132,44.4722
device-1,57992769764654,57992814880724,45.1161
device-1,57992870001297,57992910966626,40.9653
device-1,57992970230045,57993010784579,40.5545
device-1,57993070418835,57993113924956,43.5061
device-1,57993170670584,57993212479530,41.8089
device-1,57993270946211,57993313839989,42.8938
device-1,57993371155467,57993411364699,40.2092
device-1,57993471421835,57993515992517,44.5707
device-1,57993571626316,57993612702165,41.0758
device-1,57993671883913,57993713452619,41.5687
device-1,57993772183125,57993817854621,45.6715
device-1,57993872373084,57993917557657,45.1846
device-1,57993972585119,57994013846159,41.2610
