device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,28999462313391,28999505083401,42.7700
device-1,28999563776541,28999608605625,44.8291
device-1,28999667264917,28999712633255,45.3683
device-1,28999770552815,28999816692829,46.1400
device-1,28999873856934,28999920389797,46.5329
device-1,28999977038883,29000020579169,43.5403
device-1,29000078046097,29000124621219,46.5751
device-1,29000181336516,29000228645427,47.3089
device-1,29000284398583,29000332419049,48.0205
device-1,29000387472340,29000436506887,49.0345
device-1,29000490836134,29000536482552,45.6464
device-1,29000593768818,29000640530026,46.7612
device-1,29000696993138,29000744566810,47.5737
device-1,29000799825314,29000848498788,48.6735
device-1,29000902926846,29000949154437,46.2276
device-1,29001004674804,29001048454215,43.7794
device-1,29001106942092,29001152521598,45.5795
device-1,29001210308775,29001256492752,46.1840
device-1,29001313257425,29001360388427,47.1310
device-1,29001416408681,29001464343428,47.9347
device-1,29001519311765,29001564404040,45.0923
device-1,29001621218767,29001668405305,47.1865
device-1,29001724159340,29001772384735,48.2254
device-1,29001827481496,29001876414517,48.9330
device-1,29001930791587,29001976443322,45.6517
device-1,29002034103173,29002080308088,46.2049
device-1,29002137523406,29002184515694,46.9923
device-1,29002241080619,29002288416589,47.3360
device-1,29002344748013,29002392342565,47.5946
device-1,29002447898640,29002492290966,44.3923
device-1,29002549926452,29002596322347,46.3959
device-1,29002653102260,29002700413645,47.3114
device-1,29002756365556,29002804403024,48.0375
device-1,29002859539473,29002908401161,48.8617
device-1,29002962667208,29003008361505,45.6943
device-1,29003065825001,29003112446932,46.6219
device-1,29003169183721,29003216378615,47.1949
device-1,29003272679634,29003320538666,47.8590
device-1,29003376058382,29003424440635,48.3823
device-1,29003479146452,29003524471665,45.3252
device-1,29003582360036,29003628492489,46.1325
device-1,29003685788637,29003732435285,46.6466
device-1,29003788956187,29003836374584,47.4184
device-1,29003892153844,29003940352138,48.1983
device-1,29003995380416,29004044511327,49.1309
device-1,29004098564162,29004100181188,1.6170
device-1,29004199833983,29004248503691,48.6697
device-1,29004302919268,29004348477003,45.5577
device-1,29004406340339,29004452402249,46.0619
device-1,29004511355997,29004556522676,45.1667
device-1,29004613394134,29004660389278,46.9951
device-1,29004716673905,29004764396982,47.7231
device-1,29004819861890,29004868329869,48.4680
device-1,29004923187008,29004972472523,49.2855
device-1,29005026495853,29005072316541,45.8207
device-1,29005129854025,29005176360198,46.5062
device-1,29005233170771,29005280400541,47.2298
device-1,29005336522304,29005384529686,48.0074
device-1,29005439726957,29005484285135,44.5582
device-1,29005542099289,29005588402883,46.3036
device-1,29005645603451,29005692976930,47.3735
device-1,29005748874606,29005796439069,47.5645
device-1,29005852143086,29005900346209,48.2031
device-1,29005955241692,29006004367127,49.1254
device-1,29006058773505,29006104343491,45.5700
device-1,29006162073175,29006208409847,46.3367
device-1,29006265839147,29006312278983,46.4398
device-1,29006369074546,29006416270293,47.1957
device-1,29006472183119,29006520311106,48.1280
device-1,29006575294265,29006624334493,49.0402
device-1,29006678492240,29006724380217,45.8880
device-1,29006782014658,29006828309153,46.2945
device-1,29006885436881,29006932434814,46.9979
device-1,29006988607233,29007036350681,47.7434
device-1,29007091660462,29007140369312,48.7088
device-1,29007194820017,29007240315309,45.4953
device-1,29007297958511,29007344454630,46.4961
device-1,29007401144881,29007444766812,43.6219
device-1,29007501810192,29007548439352,46.6292
device-1,29007605071638,29007652423970,47.3523
device-1,29007708295794,29007756541134,48.2453
device-1,29007811471679,29007860389743,48.9181
device-1,29007915014342,29007960400827,45.3865
device-1,29008018184984,29008064171985,45.9870
device-1,29008121785711,29008168453793,46.6681
device-1,29008223969768,29008268822685,44.8529
device-1,29008324912998,29008372440427,47.5274
device-1,29008428087557,29008476423072,48.3355
device-1,29008531134617,29008576435956,45.3013
device-1,29008634267665,29008680487292,46.2196
device-1,29008737543730,29008784520937,46.9772
device-1,29008840877613,29008888371042,47.4934
device-1,29008944076980,29008992465076,48.3881
device-1,29009047409480,29009097181976,49.7725
device-1,29009150538694,29009196326219,45.7875
device-1,29009252594116,29009300497430,47.9033
device-1,29009355910201,29009404333425,48.4232
device-1,29009459180854,29009508470561,49.2897
device-1,29009562338516,29009608367626,46.0291
device-1,29009665554550,29009712566294,47.0117
device-1,29009769056219,29009816372955,47.3167
device-1,29009872179116,29009920653797,48.4747
device-1,29009975276234,29010024576707,49.3005
device-1,29010078772668,29010128462997,49.6903
device-1,29010182160794,29010228445045,46.2843
device-1,29010285326126,29010332310009,46.9839
device-1,29010388373998,29010433311991,44.9380
device-1,29010490255652,29010536304488,46.0488
device-1,29010593466883,29010640347321,46.8804
device-1,29010696521071,29010744388771,47.8677
device-1,29010799418612,29010848509878,49.0913
device-1,29010902608424,29010948419673,45.8112
device-1,29011005744440,29011052310202,46.5658
device-1,29011108912634,29011156451606,47.5390
device-1,29011211982342,29011260496549,48.5142
device-1,29011315489131,29011364445799,48.9567
device-1,29011418620740,29011464553779,45.9330
device-1,29011521855837,29011568614408,46.7586
device-1,29011625000173,29011672469739,47.4696
device-1,29011728136860,29011776442046,48.3052
device-1,29011831311082,29011880449005,49.1379
device-1,29011934476031,29011980563149,46.0871
device-1,29012037608133,29012084623868,47.0157
device-1,29012139841572,29012188380976,48.5394
device-1,29012243053828,29012288492985,45.4392
device-1,29012346266872,29012392975647,46.7088
device-1,29012448097603,29012496409842,48.3122
device-1,29012551127160,29012596384014,45.2569
device-1,29012654331527,29012700967342,46.6358
device-1,29012757565277,29012804440580,46.8753
device-1,29012860903143,29012908481040,47.5779
device-1,29012963921164,29013012697593,48.7764
device-1,29013067231030,29013116375713,49.1447
device-1,29013171475228,29013220568826,49.0936
device-1,29013274693569,29013320318024,45.6245
device-1,29013377847454,29013424500135,46.6527
device-1,29013481287543,29013528511549,47.2240
device-1,29013584724775,29013632528088,47.8033
device-1,29013688155107,29013736475540,48.3204
device-1,29013791235175,29013836450921,45.2157
device-1,29013894270301,29013940386941,46.1166
device-1,29013997376781,29014044302953,46.9262
device-1,29014100461185,29014148421467,47.9603
device-1,29014203576722,29014252448293,48.8716
device-1,29014306593327,29014352318672,45.7253
device-1,29014409333683,29014456285303,46.9516
device-1,29014512689097,29014560431239,47.7421
device-1,29014615799000,29014664363781,48.5648
device-1,29014719447511,29014764539867,45.0924
device-1,29014822361951,29014868512310,46.1504
device-1,29014925435205,29014972325151,46.8899
device-1,29015028642248,29015076382420,47.7402
device-1,29015131787359,29015180498436,48.7111
device-1,29015234990794,29015280387139,45.3963
device-1,29015338252534,29015385048205,46.7957
device-1,29015441275144,29015488517657,47.2425
device-1,29015544521125,29015592499349,47.9782
device-1,29015647618980,29015696417515,48.7985
device-1,29015750816604,29015796338916,45.5223
device-1,29015854343869,29015900422248,46.0784
device-1,29015957535190,29016004400197,46.8650
device-1,29016060621916,29016108427489,47.8056
device-1,29016163559362,29016212431460,48.8721
device-1,29016266565532,29016308386416,41.8209
device-1,29016367405453,29016416415003,49.0095
device-1,29016470584619,29016516354101,45.7695
device-1,29016573661189,29016620456343,46.7952
device-1,29016676814559,29016724457662,47.6431
device-1,29016778983413,29016824415369,45.4320
device-1,29016882219392,29016928351802,46.1324
device-1,29016985727616,29017032484764,46.7571
device-1,29017089071804,29017136407904,47.3361
device-1,29017192186087,29017240466574,48.2805
device-1,29017295395734,29017341020276,45.6245
device-1,29017396532383,29017440434662,43.9023
device-1,29017497348815,29017544527490,47.1787
device-1,29017600597738,29017648486542,47.8888
device-1,29017703888104,29017752427580,48.5395
device-1,29017807036325,29017852349116,45.3128
device-1,29017910267825,29017956281787,46.0140
device-1,29018013454634,29018060372253,46.9176
device-1,29018116987943,29018164689364,47.7014
