device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,31413884080951,31414043778165,159.6972
device-1,31414085049072,31414322034223,236.9852
device-1,31414285791646,31414471625813,185.8342
device-1,31414487728523,31414734467527,246.7390
device-1,31414689678482,31414895887794,206.2093
device-1,31414891586305,31415135580209,243.9939
device-1,31415095769254,31415273701182,177.9319
device-1,31415297429986,31415588982598,291.5526
device-1,31415498673101,31415865680655,367.0076
device-1,31415700799796,31416190353819,489.5540
device-1,31415902626879,31416334488622,431.8617
device-1,31416104855335,31416582714507,477.8592
device-1,31416306407302,31416811039123,504.6318
device-1,31416508292945,31416964403706,456.1108
device-1,31416710132228,31417106367652,396.2354
device-1,31416912188342,31417180479165,268.2908
device-1,31417113979690,31417303499533,189.5198
device-1,31417314885996,31417535472778,220.5868
device-1,31417515611377,31417707804641,192.1933
device-1,31417717590936,31417982213431,264.6225
device-1,31417919227662,31418140389941,221.1623
device-1,31418121076543,31418372953493,251.8769
device-1,31418323073223,31418589501976,266.4288
device-1,31418525043547,31418811551112,286.5076
device-1,31418727039043,31419115479917,388.4409
device-1,31418928860797,31419328552704,399.6919
device-1,31419130785163,31419514237403,383.4522
device-1,31419332719268,31419701643203,368.9239
device-1,31419534807835,31420385050239,850.2424
device-1,31419736874172,31420385192178,648.3180
device-1,31419938587285,31420385329691,446.7424
device-1,31420140420992,31420454887273,314.4663
device-1,31420342544675,31420607259032,264.7144
device-1,31420544663877,31420836607608,291.9437
device-1,31420746563385,31421084994222,338.4308
device-1,31420948203353,31421233693479,285.4901
device-1,31421148930650,31421523708957,374.7783
device-1,31421350573961,31421685170918,334.5970
device-1,31421552662353,31422007734257,455.0719
device-1,31421754369403,31422221197987,466.8286
device-1,31421956753898,31422469939608,513.1857
device-1,31422158561144,31422703952467,545.3913
device-1,31422360855523,31422946031511,585.1760
device-1,31422563028784,31423123367177,560.3384
device-1,31422766315098,31423729491000,963.1759
device-1,31422968881703,31423729768458,760.8868
device-1,31423172096611,31423729941051,557.8444
device-1,31423373695152,31423896385738,522.6906
device-1,31423575773995,31424041247915,465.4739
device-1,31423777768639,31424124570623,346.8020
device-1,31423980647630,31424315716361,335.0687
device-1,31424182797679,31424474863771,292.0661
device-1,31424384954911,31424683801294,298.8464
device-1,31424587339531,31424930993316,343.6538
device-1,31424789753753,31425149579798,359.8260
device-1,31424993785638,31425401372545,407.5869
device-1,31425196306248,31425547096134,350.7899
device-1,31425399500073,31425754383792,354.8837
device-1,31425601646766,31425972477163,370.8304
device-1,31425803918223,31426074221914,270.3037
device-1,31426006214106,31426316758784,310.5447
device-1,31426208197421,31426488307759,280.1103
device-1,31426410378006,31426645988928,235.6109
device-1,31426612724583,31426961808725,349.0841
device-1,31426814982818,31427256327198,441.3444
device-1,31427017005912,31427418687987,401.6821
device-1,31427219489495,31427780752004,561.2625
device-1,31427421966740,31427989469522,567.5028
device-1,31427624646362,31428147464635,522.8183
device-1,31427827125044,31428460660293,633.5352
device-1,31428029365252,31428644810051,615.4448
device-1,31428231495985,31428751289761,519.7938
device-1,31428433925621,31429002745863,568.8202
device-1,31428636143216,31429278897365,642.7541
device-1,31428838196983,31429448940916,610.7439
device-1,31429040295595,31429593882715,553.5871
device-1,31429242438349,31429677732969,435.2946
device-1,31429444906297,31429840406039,395.4997
device-1,31429646974865,31430016470871,369.4960
device-1,31429849216040,31430078214522,228.9985
device-1,31430051261493,31430319459051,268.1976
device-1,31430253552000,31430493726760,240.1748
device-1,31430455100809,31430758822999,303.7222
device-1,31430657012082,31430974333687,317.3216
device-1,31430859011110,31431210977978,351.9669
device-1,31431061189141,31431427728495,366.5394
device-1,31431263188269,31431540832235,277.6440
device-1,31431464981121,31431757971085,292.9900
device-1,31431666652320,31431927451189,260.7989
device-1,31431868773568,31432089705901,220.9323
device-1,31432070675221,31432391606557,320.9313
device-1,31432271369106,31432598484186,327.1151
device-1,31432473261066,31432806299737,333.0387
device-1,31432675253533,31432976449973,301.1964
device-1,31432877176600,31433143762767,266.5862
device-1,31433079007680,31433363706822,284.6991
device-1,31433280908101,31433532532940,251.6248
device-1,31433482667304,31433704336370,221.6691
device-1,31433684688075,31434228415167,543.7271
device-1,31433888897653,31434307926880,419.0292
device-1,31434090766942,31434857560994,766.7941
device-1,31434292684209,31434857850457,565.1662
device-1,31434494590533,31434921655965,427.0654
device-1,31434696491730,31435199438799,502.9471
device-1,31434898370508,31435426002987,527.6325
device-1,31435100161297,31435626683875,526.5226
device-1,31435301144702,31436111879635,810.7349
device-1,31435503084716,31436287111248,784.0265
device-1,31435705155925,31436436876664,731.7207
device-1,31435906939301,31436677948792,771.0095
device-1,31436108918265,31436890268080,781.3498
device-1,31436310259635,31437038427178,728.1675
device-1,31436511985603,31437196860082,684.8745
device-1,31436713730483,31437370317695,656.5872
device-1,31436915260380,31437519030983,603.7706
device-1,31437117427804,31437573149807,455.7220
device-1,31437319793882,31437893139062,573.3452
device-1,31437521679361,31438058983883,537.3045
device-1,31437723445832,31438334100939,610.6551
device-1,31437925484153,31438652250159,726.7660
device-1,31438127312431,31438817992683,690.6803
