device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,33735634238795,33735637091949,2.8532
device-1,33735735774966,33735738220495,2.4455
device-1,33735837844482,33735840319504,2.4750
device-1,33735939746868,33735942243478,2.4966
device-1,33736041865439,33736044097114,2.2317
device-1,33736142924067,33736145491117,2.5671
device-1,33736243970432,33736246359913,2.3895
device-1,33736346010252,33736348431557,2.4213
device-1,33736447933516,33736450432457,2.4989
device-1,33736549983370,33736552511906,2.5285
device-1,33736651986804,33736654538448,2.5516
device-1,33736753838289,33736756463963,2.6257
device-1,33736855328001,33736857918844,2.5908
device-1,33736956878491,33736959398964,2.5205
device-1,33737057648053,33737060346923,2.6989
device-1,33737158581878,33737159291730,0.7099
device-1,33737258980714,33737260015153,1.0344
device-1,33737359734728,33737361020155,1.2854
device-1,33737460474305,33737461406472,0.9322
device-1,33737561456894,33737564089433,2.6325
device-1,33737662283844,33737664770198,2.4864
device-1,33737763262262,33737765767834,2.5056
device-1,33737864209187,33737866787102,2.5779
device-1,33737965172411,33737967850743,2.6783
device-1,33738066134429,33738068696950,2.5625
device-1,33738166816730,33738169605641,2.7889
device-1,33738267804908,33738270386648,2.5817
device-1,33738368651518,33738371188885,2.5374
device-1,33738469507484,33738471216570,1.7091
device-1,33738570395447,33738573001033,2.6056
device-1,33738671349610,33738673902883,2.5533
device-1,33738771959235,33738774581326,2.6221
device-1,33738873010256,33738875596534,2.5863
device-1,33738973811086,33738976330051,2.5190
device-1,33739074491034,33739077076309,2.5853
device-1,33739175212814,33739176055980,0.8432
device-1,33739275829662,33739278312412,2.4827
device-1,33739376750772,33739379240946,2.4902
device-1,33739477505055,33739480051306,2.5463
device-1,33739578473816,33739581053573,2.5798
device-1,33739679260115,33739681945081,2.6850
device-1,33739779981291,33739782667957,2.6867
device-1,33739880883865,33739883470777,2.5869
device-1,33739981540505,33739983985840,2.4453
device-1,33740082388250,33740085011681,2.6234
device-1,33740183088213,33740185808998,2.7208
device-1,33740283770367,33740286304150,2.5338
device-1,33740384621814,33740387129182,2.5074
device-1,33740485264646,33740487923297,2.6587
device-1,33740585930091,33740588509199,2.5791
device-1,33740686516691,33740689039365,2.5227
device-1,33740787107693,33740789646239,2.5385
device-1,33740887597372,33740890380489,2.7831
device-1,33740988091244,33740990784319,2.6931
device-1,33741088590407,33741090316578,1.7262
device-1,33741189110833,33741191755193,2.6444
device-1,33741289562479,33741292149540,2.5871
device-1,33741390079011,33741392561456,2.4824
device-1,33741490702955,33741491721662,1.0187
device-1,33741590895820,33741593390841,2.4950
device-1,33741691529283,33741694307631,2.7783
device-1,33741792107486,33741794664813,2.5573
device-1,33741892634194,33741895259650,2.6255
device-1,33741993166978,33741995827694,2.6607
device-1,33742093858032,33742096423726,2.5657
device-1,33742194401473,33742197062388,2.6609
device-1,33742294949995,33742297543378,2.5934
device-1,33742395384171,33742397986319,2.6021
device-1,33742495904404,33742498603767,2.6994
device-1,33742596553725,33742598896605,2.3429
device-1,33742697244076,33742699970687,2.7266
device-1,33742797702114,33742800136207,2.4341
device-1,33742898300941,33742900916987,2.6160
device-1,33742998893007,33743001427025,2.5340
device-1,33743099492629,33743101982701,2.4901
device-1,33743199980097,33743202602507,2.6224
device-1,33743300701121,33743303277595,2.5765
device-1,33743401318044,33743404229093,2.9110
device-1,33743501909016,33743503192730,1.2837
device-1,33743602377891,33743605060654,2.6828
device-1,33743702986600,33743705806873,2.8203
device-1,33743803579891,33743806258500,2.6786
device-1,33743904175465,33743906716878,2.5414
device-1,33744004764388,33744007326549,2.5622
device-1,33744105300696,33744107930164,2.6295
device-1,33744205892398,33744208512337,2.6199
device-1,33744306382643,33744307445469,1.0628
device-1,33744406755744,33744409231636,2.4759
device-1,33744507230402,33744509813411,2.5830
device-1,33744607776737,33744608900021,1.1233
device-1,33744708211057,33744710963262,2.7522
device-1,33744808747285,33744811370608,2.6233
device-1,33744909328124,33744911874814,2.5467
device-1,33745009903313,33745012693687,2.7904
device-1,33745110396514,33745113072976,2.6765
device-1,33745210909542,33745212191413,1.2819
device-1,33745311305884,33745312235215,0.9293
device-1,33745411605664,33745412648113,1.0424
device-1,33745512051278,33745514616209,2.5649
device-1,33745612657398,33745615340602,2.6832
device-1,33745713207646,33745715705857,2.4982
device-1,33745813809336,33745816455980,2.6466
device-1,33745914430236,33745915339450,0.9092
device-1,33746014856360,33746017418539,2.5622
device-1,33746115449831,33746118264218,2.8144
device-1,33746216078455,33746217199278,1.1208
device-1,33746316511016,33746319271931,2.7609
device-1,33746417155681,33746419479218,2.3235
device-1,33746517752222,33746520131904,2.3797
device-1,33746618345099,33746620751913,2.4068
device-1,33746718924667,33746721484870,2.5602
device-1,33746819511708,33746821983775,2.4721
device-1,33746920092715,33746922847392,2.7547
device-1,33747020678668,33747023141239,2.4626
device-1,33747121190036,33747123762901,2.5729
device-1,33747221832274,33747224556879,2.7246
device-1,33747322422183,33747325040847,2.6187
device-1,33747423018523,33747425842541,2.8240
device-1,33747523604179,33747526192573,2.5884
device-1,33747624195869,33747626803948,2.6081
device-1,33747724771675,33747727136631,2.3650
device-1,33747825423016,33747828114400,2.6914
device-1,33747926022867,33747926865079,0.8422
device-1,33748026415771,33748029102215,2.6864
device-1,33748127006530,33748129531785,2.5253
device-1,33748227546491,33748230450653,2.9042
device-1,33748328159980,33748330816380,2.6564
device-1,33748428748367,33748431235870,2.4875
device-1,33748529336853,33748531900255,2.5634
device-1,33748629784410,33748632540329,2.7559
device-1,33748730542361,33748733111516,2.5692
device-1,33748831136106,33748833806776,2.6707
device-1,33748931756119,33748934125406,2.3693
device-1,33749032302563,33749034807729,2.5052
device-1,33749132839528,33749135377182,2.5377
device-1,33749233392095,33749235386135,1.9940
device-1,33749333915827,33749336533370,2.6175
