device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,54806170663719,54806341541298,170.8776
device-1,54806271122173,54806440474952,169.3528
device-1,54806371384605,54806525623446,154.2388
device-1,54806471680182,54806612630950,140.9508
device-1,54806571898256,54806742194162,170.2959
device-1,54806672281566,54806833959694,161.6781
device-1,54806772525703,54806956278165,183.7525
device-1,54806872858853,54807024850279,151.9914
device-1,54806973262522,54807134930126,161.6676
device-1,54807073627145,54807243654935,170.0278
device-1,54807173914362,54807306093033,132.1787
device-1,54807274337703,54807441572601,167.2349
device-1,54807374670262,54807535859860,161.1896
device-1,54807474936136,54807633456376,158.5202
device-1,54807575157554,54807745388152,170.2306
device-1,54807675426870,54807854538347,179.1115
device-1,54807775736021,54807924227775,148.4918
device-1,54807876076645,54808029704996,153.6284
device-1,54807976367501,54808151584606,175.2171
device-1,54808076780908,54808227921268,151.1404
device-1,54808177077666,54808346993233,169.9156
device-1,54808277414749,54808442790538,165.3758
device-1,54808377737571,54808555345099,177.6075
device-1,54808478261922,54808636673775,158.4119
device-1,54808578795027,54808743514099,164.7191
device-1,54808679921607,54808828433623,148.5120
device-1,54808780864853,54808942083171,161.2183
device-1,54808881291243,54809050480654,169.1894
device-1,54808981913556,54809126454090,144.5405
device-1,54809082349191,54809245176992,162.8278
device-1,54809183441740,54809338669542,155.2278
device-1,54809284418820,54809439052360,154.6335
device-1,54809385286627,54809540962831,155.6762
device-1,54809485975429,54809632221047,146.2456
device-1,54809586454537,54809726412804,139.9583
device-1,54809687092783,54809835357534,148.2648
device-1,54809787761127,54809933011883,145.2508
device-1,54809888884658,54810072673314,183.7887
device-1,54809989789447,54810139756331,149.9669
device-1,54810090599323,54810233430051,142.8307
device-1,54810191428280,54810340903389,149.4751
device-1,54810292114229,54810445695272,153.5810
device-1,54810392909254,54810555040799,162.1315
device-1,54810493715295,54810666685575,172.9703
device-1,54810594414915,54810734119917,139.7050
device-1,54810694703312,54810863479632,168.7763
device-1,54810795085541,54810964158893,169.0734
device-1,54810895625432,54811036921427,141.2960
device-1,54810996181356,54811147850571,151.6692
device-1,54811097286396,54811279175028,181.8886
device-1,54811198032833,54811372404871,174.3720
device-1,54811298454600,54811496696641,198.2420
device-1,54811399296343,54811549619077,150.3227
device-1,54811500096089,54811681671952,181.5759
device-1,54811600923473,54811755940402,155.0169
device-1,54811701628503,54811847732981,146.1045
device-1,54811802038762,54811968464099,166.4253
device-1,54811902833689,54812090808044,187.9744
device-1,54812003724216,54812143410924,139.6867
device-1,54812104662544,54812261254926,156.5924
device-1,54812205091196,54812350227270,145.1361
device-1,54812305882877,54812475423416,169.5405
device-1,54812406370247,54812575083914,168.7137
device-1,54812507143535,54812669211248,162.0677
device-1,54812607619397,54812763504310,155.8849
device-1,54812708598445,54812893069981,184.4715
device-1,54812808972411,54812973210330,164.2379
device-1,54812909666720,54813082471666,172.8049
device-1,54813010542593,54813186170134,175.6275
device-1,54813111071665,54813243659100,132.5874
device-1,54813211693388,54813371532472,159.8391
device-1,54813312482905,54813484302959,171.8201
device-1,54813413419856,54813565871315,152.4515
device-1,54813514021127,54813675669122,161.6480
device-1,54813614865502,54813769688571,154.8231
device-1,54813715259752,54813874147808,158.8881
device-1,54813815954675,54814002637495,186.6828
device-1,54813916709379,54814094307603,177.5982
device-1,54814017155445,54814181714504,164.5591
device-1,54814117788228,54814288150042,170.3618
device-1,54814218466338,54814389711687,171.2453
device-1,54814318929611,54814486410253,167.4806
device-1,54814419194664,54814575750783,156.5561
device-1,54814519475842,54814671082948,151.6071
device-1,54814620454134,54814789407267,168.9531
device-1,54814720851235,54814893203509,172.3523
device-1,54814821741822,54815004717749,182.9759
device-1,54814922533496,54815105180924,182.6474
device-1,54815023304128,54815160782349,137.4782
device-1,54815124123922,54815288737845,164.6139
device-1,54815224856995,54815373894908,149.0379
device-1,54815325164425,54815509528188,184.3638
device-1,54815425644511,54815620808910,195.1644
device-1,54815525940045,54815696788265,170.8482
device-1,54815626160459,54815777992824,151.8324
device-1,54815726653917,54815895421023,168.7671
device-1,54815827480299,54815998933602,171.4533
device-1,54815928608337,54816086891802,158.2835
device-1,54816029108285,54816191690648,162.5824
device-1,54816130179000,54816315796682,185.6177
device-1,54816230971067,54816390921017,159.9500
device-1,54816331658911,54816520366113,188.7072
device-1,54816432745162,54816601768400,169.0232
device-1,54816533573510,54816693933960,160.3604
device-1,54816634286623,54816780215942,145.9293
device-1,54816734928648,54816893520062,158.5914
device-1,54816835709408,54817003149048,167.4396
device-1,54816936552406,54817093557961,157.0056
device-1,54817037325791,54817223635375,186.3096
device-1,54817138096030,54817291421928,153.3259
device-1,54817239192310,54817421354315,182.1620
device-1,54817340063920,54817517726644,177.6627
device-1,54817440859723,54817613471276,172.6116
device-1,54817541448457,54817703545594,162.0971
device-1,54817641843199,54817800581213,158.7380
device-1,54817742614618,54817915998108,173.3835
device-1,54817843273653,54818011134806,167.8612
device-1,54817944035731,54818095439012,151.4033
device-1,54818044622400,54818211916817,167.2944
device-1,54818145223031,54818305105039,159.8820
device-1,54818245595847,54818396153448,150.5576
device-1,54818346351730,54818499667894,153.3162
device-1,54818447169755,54818605768346,158.5986
device-1,54818547689269,54818734281238,186.5920
device-1,54818648132386,54818802876993,154.7446
device-1,54818748963094,54819151499927,402.5368
device-1,54818849552811,54819151724007,302.1712
device-1,54818950025031,54819151813579,201.7885
device-1,54819050693309,54819289906715,239.2134
device-1,54819152124871,54819320514120,168.3892
device-1,54819253247010,54819393549769,140.3028
device-1,54819354167880,54819523321004,169.1531
device-1,54819454866540,54819619697561,164.8310
device-1,54819555466089,54819694267253,138.8012
device-1,54819655885904,54819839206848,183.3209
device-1,54819756797630,54819932751296,175.9537
device-1,54819857501304,54820035526252,178.0249
device-1,54819957766455,54820122394143,164.6277
device-1,54820058587036,54820221685794,163.0988
device-1,54820159362093,54820312861532,153.4994
device-1,54820260152095,54820429676979,169.5249
device-1,54820360947505,54820520885065,159.9376
device-1,54820461149729,54820614414470,153.2647
device-1,54820561557548,54820709672204,148.1147
device-1,54820662011283,54820832547523,170.5362
device-1,54820762784374,54820943795405,181.0110
device-1,54820863596105,54821012341900,148.7458
device-1,54820964779204,54821136962657,172.1835
device-1,54821065360367,54821236397270,171.0369
device-1,54821166073185,54821328675214,162.6020
device-1,54821267120205,54821724722868,457.6027
device-1,54821367882381,54821724878535,356.9962
