device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,52108707508642,52108749296938,41.7883
device-1,52108808233028,52108849789197,41.5562
device-1,52108908589375,52108952246716,43.6573
device-1,52109009111555,52109048875728,39.7642
device-1,52109109609094,52109150644590,41.0355
device-1,52109210226608,52109254396801,44.1702
device-1,52109310793669,52109352201702,41.4080
device-1,52109411443157,52109454743116,43.3000
device-1,52109512109561,52109554113948,42.0044
device-1,52109612786916,52109655896499,43.1096
device-1,52109713386634,52109754203496,40.8169
device-1,52109813987819,52109855678336,41.6905
device-1,52109914602302,52109958210754,43.6085
device-1,52110015204954,52110056308797,41.1038
device-1,52110115603150,52110159098667,43.4955
device-1,52110216135690,52110256187208,40.0515
device-1,52110316552882,52110359928129,43.3752
device-1,52110417159730,52110458432227,41.2725
device-1,52110517794454,52110559235970,41.4415
device-1,52110618470259,52110660771537,42.3013
device-1,52110718943106,52110758332930,39.3898
device-1,52110819320293,52110859484881,40.1646
device-1,52110919756265,52110961264194,41.5079
device-1,52111020030750,52111060983991,40.9532
device-1,52111120468677,52111163289921,42.8212
device-1,52111221016154,52111263951250,42.9351
device-1,52111321572532,52111364500683,42.9282
device-1,52111422073548,52111463247256,41.1737
device-1,52111522493968,52111567007152,44.5132
device-1,52111623111868,52111665769082,42.6572
device-1,52111723671963,52111765406130,41.7342
device-1,52111824289570,52111866975442,42.6859
device-1,52111924854164,52111968305997,43.4518
device-1,52112025439493,52112067472083,42.0326
device-1,52112125925545,52112167129672,41.2041
device-1,52112226338433,52112268582100,42.2437
device-1,52112326818811,52112370011151,43.1923
device-1,52112427506451,52112471201150,43.6947
device-1,52112528132959,52112569822916,41.6900
device-1,52112628844172,52112670629495,41.7853
device-1,52112729378836,52112773328236,43.9494
device-1,52112829779204,52112874052751,44.2735
device-1,52112930523966,52112971452559,40.9286
device-1,52113031167983,52113073177391,42.0094
device-1,52113131748324,52113175078676,43.3304
device-1,52113232513822,52113274123182,41.6094
device-1,52113333080763,52113372334238,39.2535
device-1,52113433486511,52113477580183,44.0937
device-1,52113534096489,52113576472984,42.3765
device-1,52113634735224,52113676859463,42.1242
device-1,52113735197214,52113778293894,43.0967
device-1,52113835839665,52113875650371,39.8107
device-1,52113936491115,52113977922165,41.4310
device-1,52114036894027,52114079961853,43.0678
device-1,52114137490800,52114180576917,43.0861
device-1,52114238055883,52114280517376,42.4615
device-1,52114338609815,52114379990003,41.3802
device-1,52114439026714,52114482990492,43.9638
device-1,52114539636301,52114581493906,41.8576
device-1,52114640247550,52114682561837,42.3143
device-1,52114740791506,52114785006757,44.2153
device-1,52114841427795,52114882524330,41.0965
device-1,52114942004713,52114981683863,39.6791
device-1,52115042470126,52115086033073,43.5629
device-1,52115143034915,52115186472273,43.4374
device-1,52115243543756,52115284869366,41.3256
device-1,52115344128695,52115387729495,43.6008
device-1,52115444578360,52115484674187,40.0958
device-1,52115544997312,52115586973661,41.9763
device-1,52115645385943,52115686239808,40.8539
device-1,52115745992792,52115787150948,41.1582
device-1,52115846603552,52115888139163,41.5356
device-1,52115947067400,52115987203818,40.1364
device-1,52116047678454,52116093688740,46.0103
device-1,52116148057108,52116186688894,38.6318
device-1,52116248670706,52116291007587,42.3369
device-1,52116349185024,52116388702883,39.5179
device-1,52116449660120,52116492365066,42.7049
device-1,52116550302474,52116591216982,40.9145
device-1,52116650849462,52116691130934,40.2815
device-1,52116751259318,52116791319541,40.0602
device-1,52116851725611,52116891685186,39.9596
device-1,52116952163147,52116992313651,40.1505
device-1,52117052805306,52117093574857,40.7696
device-1,52117153407850,52117195223397,41.8155
device-1,52117253873752,52117293975838,40.1021
device-1,52117354306985,52117394648514,40.3415
device-1,52117454926646,52117497530748,42.6041
device-1,52117555532516,52117597893459,42.3609
device-1,52117656046248,52117700177871,44.1316
device-1,52117756513715,52117800678202,44.1645
device-1,52117857059725,52117898785774,41.7260
device-1,52117957509879,52118000497402,42.9875
device-1,52118058145973,52118099643926,41.4980
device-1,52118158781382,52118201238357,42.4570
device-1,52118259379879,52118301149901,41.7700
device-1,52118359815170,52118402237356,42.4222
device-1,52118460547689,52118504507568,43.9599
device-1,52118560995890,52118601997457,41.0016
device-1,52118661412890,52118703506843,42.0940
device-1,52118761904125,52118805158144,43.2540
device-1,52118862243566,52118904413415,42.1698
device-1,52118962717489,52119006776738,44.0592
device-1,52119063491087,52119105777520,42.2864
device-1,52119164101057,52119206150508,42.0495
device-1,52119264824970,52119307321097,42.4961
device-1,52119365454404,52119407208288,41.7539
device-1,52119466071025,52119507911955,41.8409
device-1,52119566684613,52119607582507,40.8979
