device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,24865300662997,24865303852658,3.1897
device-1,24865502012603,24865504499642,2.4870
device-1,24865703503446,24865705680298,2.1769
device-1,24865904999930,24865907894943,2.8950
device-1,24866106312496,24866108804474,2.4920
device-1,24866307690461,24866310479201,2.7887
device-1,24866509293494,24866511594716,2.3012
device-1,24866710608807,24866712887555,2.2787
device-1,24866911874393,24866914410883,2.5365
device-1,24867113222795,24867115584356,2.3616
device-1,24867314403562,24867316742994,2.3394
device-1,24867515963581,24867518190591,2.2270
device-1,24867717497915,24867720127887,2.6300
device-1,24867918813233,24867919745904,0.9327
device-1,24868119573059,24868121871032,2.2980
device-1,24868321302697,24868324256487,2.9538
device-1,24868522486298,24868524926235,2.4399
device-1,24868723921742,24868726705728,2.7840
device-1,24868925345338,24868928087565,2.7422
device-1,24869126677299,24869129176774,2.4995
device-1,24869328064899,24869330728058,2.6632
device-1,24869529318216,24869531950987,2.6328
device-1,24869730582682,24869733291326,2.7086
device-1,24869931972552,24869934711880,2.7393
device-1,24870133397503,24870136082266,2.6848
device-1,24870334733482,24870337112739,2.3793
device-1,24870536142929,24870536969214,0.8263
device-1,24870736835847,24870739649695,2.8138
device-1,24870938129718,24870940665869,2.5362
device-1,24871139607744,24871142630865,3.0231
device-1,24871340978179,24871343925994,2.9478
device-1,24871542256650,24871545022702,2.7661
device-1,24871743488793,24871745961010,2.4722
device-1,24871944953657,24871947626463,2.6728
device-1,24872146308690,24872149317314,3.0086
device-1,24872347812343,24872350243284,2.4309
device-1,24872549158840,24872552126870,2.9680
device-1,24872750325815,24872752795380,2.4696
device-1,24872951624919,24872954845483,3.2206
device-1,24873152945322,24873153784215,0.8389
device-1,24873353512379,24873356303074,2.7907
device-1,24873554805649,24873557400730,2.5951
device-1,24873756060112,24873756777756,0.7176
device-1,24873956381027,24873959432342,3.0513
device-1,24874157629232,24874160274631,2.6454
device-1,24874358787680,24874361788839,3.0012
device-1,24874560270292,24874562689266,2.4190
device-1,24874761505720,24874765425338,3.9196
device-1,24874962984788,24874963768003,0.7832
device-1,24875163654445,24875164848203,1.1938
device-1,24875364431882,24875367097729,2.6658
device-1,24875565722660,24875566473669,0.7510
device-1,24875766406664,24875769154621,2.7480
device-1,24875967661703,24875970414878,2.7532
device-1,24876169117539,24876171663763,2.5462
device-1,24876370587319,24876373183547,2.5962
device-1,24876572086038,24876574501349,2.4153
device-1,24876773386024,24876775776333,2.3903
device-1,24876974694632,24876977212490,2.5179
device-1,24877175878853,24877177213706,1.3349
device-1,24877376703281,24877379451519,2.7482
device-1,24877577945761,24877580569411,2.6237
device-1,24877779021532,24877781605128,2.5836
device-1,24877980514046,24877983108597,2.5946
device-1,24878181794264,24878184121085,2.3268
device-1,24878383061002,24878385951128,2.8901
device-1,24878584612099,24878587246204,2.6341
device-1,24878785883855,24878788792479,2.9086
device-1,24878987221695,24878989810431,2.5887
device-1,24879188798014,24879191343857,2.5458
device-1,24879390326225,24879393039804,2.7136
device-1,24879591634856,24879594503972,2.8691
device-1,24879793016582,24879795256664,2.2401
device-1,24879994344647,24879996962246,2.6176
device-1,24880195591436,24880198061491,2.4701
device-1,24880396880172,24880400064367,3.1842
device-1,24880598081545,24880599864290,1.7827
device-1,24880799135413,24880801556136,2.4207
device-1,24881001252515,24881003578213,2.3257
device-1,24881203201768,24881206247519,3.0458
device-1,24881405090871,24881407637016,2.5461
device-1,24881611382956,24881613889002,2.5060
device-1,24881812922476,24881814993589,2.0711
device-1,24882018737528,24882021404258,2.6667
device-1,24882220697068,24882223104794,2.4077
device-1,24882422748942,24882425245218,2.4963
device-1,24882628376721,24882630829600,2.4529
device-1,24882830220338,24882832751035,2.5307
device-1,24883031440653,24883032154711,0.7141
device-1,24883232552185,24883235543657,2.9915
device-1,24883434123780,24883436761530,2.6378
device-1,24883638682877,24883641781504,3.0986
device-1,24883840382859,24883843094742,2.7119
device-1,24884044416689,24884047276508,2.8598
device-1,24884246197440,24884248922596,2.7252
device-1,24884448212253,24884450773464,2.5612
device-1,24884652358555,24884654875588,2.5170
device-1,24884853698910,24884854437422,0.7385
device-1,24885055113032,24885057841268,2.7282
device-1,24885256633550,24885259293346,2.6598
device-1,24885458440348,24885461069658,2.6293
device-1,24885660624478,24885663538755,2.9143
device-1,24885862592396,24885865513752,2.9214
device-1,24886064102779,24886065071668,0.9689
device-1,24886265388195,24886268475258,3.0871
device-1,24886466766073,24886469596577,2.8305
device-1,24886669185180,24886671762746,2.5776
device-1,24886871298364,24886873996467,2.6981
device-1,24887073252686,24887076098860,2.8462
device-1,24887274637190,24887275589326,0.9521
device-1,24887475661546,24887478200140,2.5386
device-1,24887677648571,24887680826604,3.1780
device-1,24887879131307,24887881631523,2.5002
device-1,24888080223065,24888081348092,1.1250
device-1,24888281093080,24888283577486,2.4844
device-1,24888482497240,24888485599745,3.1025
device-1,24888684146158,24888686581832,2.4357
device-1,24888885573736,24888888353220,2.7795
device-1,24889086757592,24889089339290,2.5817
device-1,24889287834818,24889290287821,2.4530
device-1,24889489200785,24889491710597,2.5098
device-1,24889690254049,24889692827460,2.5734
device-1,24889891484299,24889894190684,2.7064
device-1,24890092810144,24890096655682,3.8455
device-1,24890294182424,24890294961058,0.7786
device-1,24890494921355,24890497711542,2.7902
device-1,24890696047115,24890696733185,0.6861
device-1,24890896584598,24890898039324,1.4547
device-1,24891097182011,24891097757994,0.5760
device-1,24891297683742,24891298726995,1.0433
device-1,24891498198602,24891498970822,0.7722
device-1,24891698754540,24891699939923,1.1854
device-1,24891899378515,24891900286823,0.9083
device-1,24892099914065,24892100914734,1.0007
device-1,24892300457163,24892301503316,1.0462
device-1,24892501180115,24892503895903,2.7158
device-1,24892702715837,24892705443542,2.7277
device-1,24892904150135,24892906750566,2.6004
device-1,24893105351005,24893107920392,2.5694
device-1,24893306807267,24893309790934,2.9837
device-1,24893508060704,24893510904029,2.8433
device-1,24893709295692,24893712395202,3.0995
device-1,24893910454398,24893913334166,2.8798
device-1,24894111718642,24894112584881,0.8662
device-1,24894312249595,24894313070065,0.8205
device-1,24894512783124,24894513876027,1.0929
device-1,24894713269299,24894714053510,0.7842
device-1,24894913807634,24894914951289,1.1437
device-1,24895114529222,24895117485447,2.9562
device-2,24865300995652,24865304331598,3.3359
device-2,24865502338131,24865504720059,2.3819
device-2,24865703794926,24865705825890,2.0310
device-2,24865905255681,24865907619793,2.3641
device-2,24866106603722,24866108947070,2.3433
device-2,24866308282800,24866310624170,2.3414
device-2,24866509559107,24866511878821,2.3197
device-2,24866710855872,24866713100907,2.2450
device-2,24866912258979,24866914634418,2.3754
device-2,24867113465521,24867115780552,2.3150
device-2,24867314695584,24867316970210,2.2746
device-2,24867516415642,24867518406643,1.9910
device-2,24867717817104,24867720455472,2.6384
device-2,24867918934250,24867919804486,0.8702
device-2,24868119865674,24868122023164,2.1575
device-2,24868321583958,24868324420169,2.8362
device-2,24868522763117,24868525076886,2.3138
device-2,24868724327690,24868726932396,2.6047
device-2,24868925654144,24868928343751,2.6896
device-2,24869126938268,24869129955535,3.0173
device-2,24869328327841,24869330890165,2.5623
device-2,24869529580566,24869532318809,2.7382
device-2,24869730854405,24869733456294,2.6019
device-2,24869932388029,24869934951635,2.5636
device-2,24870133704685,24870136431161,2.7265
device-2,24870335005952,24870337314404,2.3085
device-2,24870536245290,24870536911427,0.6661
device-2,24870737123208,24870739904316,2.7811
device-2,24870938401597,24870940833020,2.4314
device-2,24871139885709,24871142447625,2.5619
device-2,24871341264819,24871343714563,2.4497
device-2,24871542517070,24871545414022,2.8970
device-2,24871743750494,24871746307580,2.5571
device-2,24871945213683,24871947781217,2.5675
device-2,24872146627238,24872149805040,3.1778
device-2,24872348146558,24872350528431,2.3819
device-2,24872549419256,24872551950205,2.5309
device-2,24872750589778,24872753033331,2.4436
device-2,24872951889375,24872954670197,2.7808
device-2,24873153026877,24873153838979,0.8121
device-2,24873353790040,24873356464903,2.6749
device-2,24873555083015,24873558191064,3.1080
device-2,24873756155456,24873756836952,0.6815
device-2,24873956644898,24873959345075,2.7002
device-2,24874157888100,24874160665247,2.7771
device-2,24874359055607,24874361415257,2.3596
device-2,24874560524175,24874563090180,2.5660
device-2,24874761793874,24874765609201,3.8153
device-2,24874963083269,24874963829159,0.7459
device-2,24875163815122,24875164930117,1.1150
device-2,24875364724390,24875367469689,2.7453
device-2,24875565818850,24875566567398,0.7485
device-2,24875766697005,24875769439548,2.7425
device-2,24875967954112,24875970726683,2.7726
device-2,24876169519533,24876172094991,2.5755
device-2,24876370856923,24876374621630,3.7647
device-2,24876572352394,24876574779812,2.4274
device-2,24876773694705,24876775828502,2.1338
device-2,24876974952569,24876977396519,2.4440
device-2,24877176054911,24877177300013,1.2451
device-2,24877376978735,24877379659463,2.6807
device-2,24877578163939,24877580468244,2.3043
device-2,24877779294132,24877781787288,2.4932
device-2,24877980782071,24877983714211,2.9321
device-2,24878182079508,24878184820075,2.7406
