device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,27843770767758,27843907819585,137.0518
device-1,27843871683852,27844031194606,159.5108
device-1,27843972513931,27844148095235,175.5813
device-1,27844073610628,27844218227160,144.6165
device-1,27844174311044,27844312980932,138.6699
device-1,27844274900517,27844437241535,162.3410
device-1,27844375754184,27844533356416,157.6022
device-1,27844478702515,27844627264926,148.5624
device-1,27844579497268,27844752547256,173.0500
device-1,27844680514334,27844798170201,117.6559
device-1,27844781192366,27844934296948,153.1046
device-1,27844881891478,27845026056510,144.1650
device-1,27844982801081,27845149532472,166.7314
device-1,27845083570816,27845231139965,147.5691
device-1,27845184245007,27845330807770,146.5628
device-1,27845284785732,27845431064037,146.2783
device-1,27845385539217,27845542958524,157.4193
device-1,27845486207693,27845653950015,167.7423
device-1,27845586891924,27845747831441,160.9395
device-1,27845687573102,27845839792842,152.2197
device-1,27845788384264,27845930074984,141.6907
device-1,27845889048505,27846029215848,140.1673
device-1,27845989824021,27846150991798,161.1678
device-1,27846090658226,27846253416538,162.7583
device-1,27846191269784,27846318914158,127.6444
device-1,27846292154867,27846464474737,172.3199
device-1,27846392976763,27846563706365,170.7296
device-1,27846493729055,27846648167097,154.4380
device-1,27846594519939,27846751968100,157.4482
device-1,27846695146214,27846844047607,148.9014
device-1,27846795755261,27847235999326,440.2441
device-1,27846896940242,27847247614003,350.6738
device-1,27846997733981,27847247668544,249.9346
device-1,27847098453489,27847330529596,232.0761
device-1,27847199211392,27847391180141,191.9687
device-1,27847299901255,27847458596901,158.6956
device-1,27847400830371,27847544228727,143.3984
device-1,27847501489983,27847664359182,162.8692
device-1,27847602614483,27847766797730,164.1832
device-1,27847703633170,27847855491927,151.8588
device-1,27847804311090,27847977310565,172.9995
device-1,27847905052499,27848058577488,153.5250
device-1,27848005741935,27848182159510,176.4176
device-1,27848106470646,27848288664519,182.1939
device-1,27848207124943,27848340959943,133.8350
device-1,27848307829416,27848463980643,156.1512
device-1,27848408623385,27848531292159,122.6688
device-1,27848509329273,27848644126792,134.7975
device-1,27848609999438,27848771796141,161.7967
device-1,27848710732193,27848870557974,159.8258
device-1,27848811507857,27848975791758,164.2839
device-1,27848912396400,27849070146055,157.7497
device-1,27849013136635,27849201107979,187.9713
device-1,27849113808079,27849273978057,160.1700
device-1,27849214525081,27849362746802,148.2217
device-1,27849315167804,27849481892094,166.7243
device-1,27849415733756,27849574009805,158.2760
device-1,27849516629470,27849675234789,158.6053
device-1,27849617337915,27849781339775,164.0019
device-1,27849718044885,27849877794873,159.7500
