device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,26470748185509,26470789228243,41.0427
device-1,26470848927669,26470891394973,42.4673
device-1,26470949956121,26470990781605,40.8255
device-1,26471050793089,26471092046878,41.2538
device-1,26471153318100,26471195365753,42.0477
device-1,26471254710823,26471297762670,43.0518
device-1,26471355646636,26471395508410,39.8618
device-1,26471456454907,26471498455877,42.0010
device-1,26471557220082,26471598152483,40.9324
device-1,26471660231423,26471700042798,39.8114
device-1,26471761054197,26471801372857,40.3187
device-1,26471861856092,26471909903955,48.0479
device-1,26471962859070,26472004213693,41.3546
device-1,26472063723295,26472105186740,41.4634
device-1,26472164510481,26472204403420,39.8929
device-1,26472265446964,26472306122895,40.6759
device-1,26472366193145,26472408205321,42.0122
device-1,26472467440150,26472509373561,41.9334
device-1,26472568136310,26472609219160,41.0829
device-1,26472669177809,26472707265131,38.0873
device-1,26472769947211,26472809894923,39.9477
device-1,26472871123839,26472913088449,41.9646
device-1,26472972038291,26473009397291,37.3590
device-1,26473072901290,26473112330482,39.4292
device-1,26473174125586,26473217122530,42.9969
device-1,26473275403100,26473315562405,40.1593
device-1,26473376480312,26473416136423,39.6561
device-1,26473478027836,26473519747316,41.7195
device-1,26473579179870,26473619366966,40.1871
device-1,26473680188265,26473721851145,41.6629
device-1,26473781517227,26473823737050,42.2198
device-1,26473882716699,26473925970193,43.2535
device-1,26473983499914,26474024203642,40.7037
device-1,26474084323035,26474126573195,42.2502
device-1,26474185402486,26474225469968,40.0675
device-1,26474286519352,26474328547882,42.0285
device-1,26474387378133,26474426721327,39.3432
device-1,26474488156326,26474526997039,38.8407
device-1,26474589404866,26474632683261,43.2784
device-1,26474690279257,26474728728995,38.4497
device-1,26474791212137,26474832747512,41.5354
device-1,26474892177658,26474932997173,40.8195
device-1,26474992943180,26475036338148,43.3950
device-1,26475094092886,26475134733487,40.6406
device-1,26475194892468,26475232923181,38.0307
device-1,26475295682829,26475337481524,41.7987
device-1,26475396374453,26475438304840,41.9304
device-1,26475497356021,26475538625022,41.2690
device-1,26475598187012,26475637055775,38.8688
device-1,26475698887119,26475741379921,42.4928
device-1,26475799795873,26475839805827,40.0100
device-1,26475900623430,26475940267698,39.6443
device-1,26476001522489,26476042367330,40.8448
device-1,26476102282988,26476141069041,38.7861
device-1,26476203021068,26476242696306,39.6752
device-1,26476304174127,26476345000532,40.8264
device-1,26476404765823,26476443905468,39.1396
device-1,26476505673190,26476547838776,42.1656
device-1,26476606384571,26476648274651,41.8901
device-1,26476707283079,26476748783203,41.5001
device-1,26476808193365,26476848867472,40.6741
device-1,26476908909477,26476951917991,43.0085
device-1,26477009731081,26477049942354,40.2113
device-1,26477110845405,26477152826683,41.9813
device-1,26477213330920,26477257082569,43.7516
device-1,26477314065508,26477353507105,39.4416
device-1,26477414862909,26477456642749,41.7798
device-1,26477516765294,26477558891213,42.1259
device-1,26477619513405,26477660529221,41.0158
device-1,26477721909415,26477761964078,40.0547
device-1,26477824268086,26477864534633,40.2665
device-1,26477926906291,26477968555449,41.6492
device-1,26478028163190,26478072284185,44.1210
device-1,26478130677337,26478173850906,43.1736
device-1,26478232951028,26478275862196,42.9112
device-1,26478334026941,26478375579536,41.5526
device-1,26478434801694,26478476002184,41.2005
device-1,26478535620985,26478577067088,41.4461
device-1,26478636425464,26478675189449,38.7640
device-1,26478737256565,26478775926870,38.6703
device-1,26478838060643,26478879418770,41.3581
device-1,26478938808773,26478978851864,40.0431
device-1,26479039621559,26479080287187,40.6656
device-1,26479140375294,26479181347187,40.9719
device-1,26479241137815,26479278811154,37.6733
device-1,26479341898582,26479382231731,40.3331
device-1,26479442776293,26479485693452,42.9172
device-1,26479544874954,26479588777484,43.9025
device-1,26479647551036,26479689112027,41.5610
device-1,26479750068233,26479792998875,42.9306
device-1,26479852956229,26479893150864,40.1946
device-1,26479955556114,26479995379750,39.8236
device-1,26480058167883,26480100635650,42.4678
device-1,26480161070759,26480203464825,42.3941
device-1,26480263888711,26480308452262,44.5636
device-1,26480366787034,26480409967841,43.1808
device-1,26480470348770,26480509426599,39.0778
device-1,26480572999908,26480614070968,41.0711
device-1,26480675453297,26480714042535,38.5892
device-1,26480776658399,26480816584732,39.9263
device-1,26480877632065,26480921103614,43.4715
device-1,26480980534972,26481021365924,40.8310
device-1,26481083256279,26481127616002,44.3597
device-1,26481186075861,26481228258314,42.1825
device-1,26481288670042,26481331183226,42.5132
device-1,26481390919632,26481434022167,43.1025
device-1,26481493786335,26481535912456,42.1261
device-1,26481596140901,26481637029115,40.8882
device-1,26481698894370,26481737651547,38.7572
device-1,26481801426248,26481840867900,39.4417
device-1,26481903683003,26481945633402,41.9504
device-1,26482006772988,26482048252245,41.4793
device-1,26482108960987,26482151692976,42.7320
device-1,26482211510178,26482254799649,43.2895
device-1,26482313850538,26482357218911,43.3684
device-1,26482416129413,26482458633109,42.5037
device-1,26482518665117,26482563218187,44.5531
device-1,26482621192576,26482662958172,41.7656
device-1,26482723640750,26482766362230,42.7215
device-1,26482826469350,26482869734395,43.2650
device-1,26482929192238,26482972749185,43.5569
device-1,26483031441307,26483070886791,39.4455
device-1,26483133689183,26483177661827,43.9726
device-1,26483236101851,26483275438585,39.3367
device-1,26483338724465,26483379816574,41.0921
device-1,26483439903367,26483481557084,41.6537
device-1,26483542676206,26483585061206,42.3850
device-1,26483645446068,26483686901437,41.4554
device-1,26483746702464,26483792295382,45.5929
device-1,26483849538013,26483892930833,43.3928
device-1,26483952435081,26483995236425,42.8013
device-1,26484054916002,26484094748658,39.8327
device-1,26484157599043,26484203069419,45.4704
device-1,26484259279694,26484300881208,41.6015
device-1,26484362115359,26484404189035,42.0737
device-1,26484464926840,26484505923778,40.9969
device-1,26484567280529,26484609707040,42.4265
device-1,26484669662960,26484711089444,41.4265
device-1,26484772104957,26484814456242,42.3513
device-1,26484874495812,26484917219952,42.7241
device-1,26484977010655,26485018377871,41.3672
device-1,26485079768419,26485118988699,39.2203
device-1,26485180627717,26485225807601,45.1799
device-1,26485283111030,26485326446528,43.3355
device-1,26485385698303,26485427857843,42.1595
device-1,26485486788723,26485529702531,42.9138
device-1,26485588196374,26485629759569,41.5632
device-1,26485690249877,26485732456348,42.2065
device-1,26485792471501,26485833841326,41.3698
device-1,26485893282807,26485936514838,43.2320
device-1,26485995466807,26486037950609,42.4838
device-1,26486098134973,26486138329731,40.1948
device-1,26486200683808,26486242913078,42.2293
device-1,26486302583064,26486346243349,43.6603
device-1,26486405802713,26486445767007,39.9643
device-1,26486508363772,26486551811217,43.4474
device-1,26486610930664,26486651140916,40.2103
device-1,26486714076763,26486752654875,38.5781
device-1,26486816780276,26486859560332,42.7801
device-1,26486919121377,26486961240174,42.1188
device-1,26487022226351,26487063410153,41.1838
device-1,26487125196977,26487167637260,42.4403
device-1,26487227523395,26487272313155,44.7898
device-1,26487329984433,26487374709194,44.7248
device-1,26487432856500,26487473461278,40.6048
device-1,26487535226165,26487578337723,43.1116
device-1,26487638016737,26487680028066,42.0113
device-1,26487740660916,26487785488114,44.8272
device-1,26487843176777,26487883893968,40.7172
device-1,26487944106304,26487985792641,41.6863
device-1,26488045229344,26488088344459,43.1151
device-1,26488148118896,26488191376158,43.2573
device-1,26488249242970,26488291172599,41.9296
device-1,26488350665025,26488391572755,40.9077
device-1,26488451845524,26488494503473,42.6579
device-1,26488554352359,26488596418511,42.0662
device-1,26488657200353,26488698471553,41.2712
device-1,26488758379174,26488799423625,41.0445
device-1,26488860968238,26488903540602,42.5724
device-1,26488961575104,26489002294388,40.7193
device-1,26489062662416,26489105517598,42.8552
device-1,26489165512483,26489207580018,42.0675
device-1,26489268207145,26489308945825,40.7387
device-1,26489370631036,26489411982375,41.3513
device-1,26489473156051,26489516173113,43.0171
device-1,26489575898210,26489616667276,40.7691
device-1,26489679426368,26489720363150,40.9368
device-1,26489782191119,26489822967485,40.7764
device-1,26489885313402,26489930365459,45.0521
device-1,26489987381931,26490029674654,42.2927
device-1,26490089969495,26490134027682,44.0582
device-1,26490192668244,26490235723949,43.0557
device-1,26490295317632,26490339913548,44.5959
device-1,26490397780739,26490440339851,42.5591
device-1,26490500607308,26490543178746,42.5714
device-1,26490603281334,26490645171010,41.8897
device-1,26490705755978,26490747841387,42.0854
device-1,26490807803757,26490847536823,39.7331
device-1,26490908789551,26490953597371,44.8078
device-1,26491011863423,26491054959248,43.0958
device-1,26491114522757,26491158011328,43.4886
device-1,26491217255256,26491260621670,43.3664
device-1,26491320531804,26491359420966,38.8892
device-1,26491421367181,26491462813222,41.4460
device-1,26491524202073,26491567234163,43.0321
device-1,26491627022377,26491670545106,43.5227
device-1,26491730121709,26491773182974,43.0613
device-1,26491832465075,26491873328224,40.8631
device-1,26491935010787,26491976938794,41.9280
device-1,26492038125297,26492082288380,44.1631
device-1,26492140809094,26492182254741,41.4456
device-1,26492243713978,26492287198698,43.4847
device-1,26492346386307,26492387395160,41.0089
device-1,26492447222180,26492489363351,42.1412
device-1,26492550049486,26492592138242,42.0888
device-1,26492652627628,26492696314516,43.6869
device-1,26492754632469,26492795798169,41.1657
device-1,26492855460558,26492896359263,40.8987
device-1,26492958210622,26493001340957,43.1303
device-1,26493059395166,26493100961951,41.5668
device-1,26493162424836,26493204725317,42.3005
device-1,26493264426731,26493304702317,40.2756
device-1,26493365369502,26493407870627,42.5011
device-1,26493466753007,26493509433874,42.6809
device-1,26493569728674,26493613830431,44.1018
device-1,26493671592014,26493715503689,43.9117
device-1,26493774704580,26493817721784,43.0172
device-1,26493877474505,26493920080717,42.6062
device-1,26493978389994,26494020606784,42.2168
device-1,26494081088121,26494121890718,40.8026
device-1,26494183372239,26494225302734,41.9305
device-1,26494286322475,26494329010738,42.6883
device-1,26494389340363,26494432333722,42.9934
device-1,26494492533802,26494538262776,45.7290
device-1,26494595314175,26494636231662,40.9175
device-1,26494698245962,26494741887341,43.6414
device-1,26494801602835,26494847455639,45.8528
device-1,26494904590085,26494944949396,40.3593
device-1,26495007127820,26495049526257,42.3984
device-1,26495110073005,26495153377370,43.3044
device-1,26495212145856,26495256306181,44.1603
device-1,26495314562607,26495359162609,44.6000
device-1,26495417058670,26495460633323,43.5747
device-1,26495519837491,26495565616581,45.7791
device-1,26495621200460,26495661825717,40.6253
device-1,26495722881641,26495763288946,40.4073
device-1,26495824440106,26495865049606,40.6095
device-1,26495925220229,26495970115495,44.8953
device-1,26496028116347,26496070600648,42.4843
device-1,26496130011343,26496170962791,40.9514
device-1,26496232779507,26496277419669,44.6402
device-1,26496334594433,26496377754676,43.1602
device-1,26496437321925,26496481480202,44.1583
device-1,26496539851307,26496581928443,42.0771
device-1,26496641014300,26496683734408,42.7201
device-1,26496743460381,26496783549327,40.0889
device-1,26496844281014,26496885051923,40.7709
device-1,26496945227189,26496987600014,42.3728
device-1,26497047552258,26497087575035,40.0228
device-1,26497148145143,26497189494333,41.3492
device-1,26497248856762,26497288952133,40.0954
device-1,26497349699540,26497390955668,41.2561
device-1,26497450447713,26497490256611,39.8089
device-1,26497551370526,26497596068955,44.6984
device-1,26497652039746,26497690919035,38.8793
device-1,26497752713791,26497792902684,40.1889
device-1,26497853768814,26497895029471,41.2607
device-1,26497954612577,26497996773998,42.1614
device-1,26498055536571,26498098373517,42.8369
device-1,26498157954753,26498196662552,38.7078
device-1,26498258612725,26498297803218,39.1905
device-1,26498359587971,26498400015983,40.4280
device-1,26498460397268,26498500837780,40.4405
device-1,26498561190227,26498600926102,39.7359
device-1,26498661813498,26498701169445,39.3559
device-1,26498762450647,26498803704952,41.2543
device-1,26498863101084,26498904771635,41.6706
device-1,26498963771501,26499005527881,41.7564
device-1,26499064510522,26499105653211,41.1427
device-1,26499165258598,26499209522892,44.2643
device-1,26499266909500,26499311251836,44.3423
device-1,26499368171551,26499409649719,41.4782
device-1,26499470724662,26499514264157,43.5395
device-1,26499573688345,26499616435136,42.7468
device-1,26499676685488,26499718730015,42.0445
device-1,26499779596817,26499821252028,41.6552
device-1,26499882613544,26499924393836,41.7803
device-1,26499985154157,26500029573155,44.4190
device-1,26500087984985,26500131720417,43.7354
device-1,26500191029070,26500232809384,41.7803
device-1,26500293789616,26500334961137,41.1715
device-1,26500395705805,26500440485681,44.7799
device-1,26500497996692,26500537669292,39.6726
device-1,26500599760230,26500642486212,42.7260
device-1,26500701114481,26500742409545,41.2951
device-2,26470748292905,26470789395435,41.1025
device-2,26470849042146,26470888217746,39.1756
