device_id,send_ts_ns,recv_ts_ns,latency_ms
device-1,1779377637048116503,1779377637049097897,0.9814
device-1,1779377638049832907,1779377638050853530,1.0206
device-1,1779377639051267715,1779377639054077470,2.8098
device-1,1779377640053980550,1779377640056893182,2.9126
device-1,1779377641056152644,1779377641057181417,1.0288
device-1,1779377642059851597,1779377642062945428,3.0938
device-1,1779377643062005381,1779377643064560483,2.5551
device-1,1779377644064102223,1779377644066097004,1.9948
device-1,1779377645079018496,1779377645082099097,3.0806
device-1,1779377646081663426,1779377646083848231,2.1848
device-1,1779377647083139280,1779377647083997627,0.8583
device-1,1779377648109159063,1779377648112157245,2.9982
device-1,1779377649113814355,1779377649116781322,2.9670
device-1,1779377650124278300,1779377650125258753,0.9805
device-1,1779377651128519232,1779377651129696707,1.1775
device-1,1779377652151444121,1779377652152769098,1.3250
device-1,1779377653174782523,1779377653177749067,2.9665
device-1,1779377654182670899,1779377654183765630,1.0947
device-1,1779377653549097135,1779377653550315348,1.2182
device-1,1779377654557178915,1779377654558096644,0.9177
device-1,1779377655558904068,1779377655560141879,1.2378
device-1,1779377656574081301,1779377656577301389,3.2201
device-1,1779377657583092746,1779377657584198441,1.1057
device-1,1779377658602705454,1779377658603750645,1.0452
device-1,1779377659606678385,1779377659609750278,3.0719
device-1,1779377660625677476,1779377660628624869,2.9474
device-1,1779377661631073012,1779377661632743244,1.6702
device-1,1779377662637938975,1779377662640722558,2.7836
device-1,1779377663662543064,1779377663665466473,2.9234
device-1,1779377664672872787,1779377664675855833,2.9830
device-1,1779377665686454719,1779377665687832635,1.3779
device-1,1779377666709307285,1779377666712635234,3.3279
device-1,1779377667727122112,1779377667730150602,3.0285
device-1,1779377668735140268,1779377668736461193,1.3209
device-1,1779377669748243617,1779377669750504762,2.2611
device-1,1779377670755494438,1779377670758459196,2.9648
device-1,1779377671764413844,1779377671765545262,1.1314
device-1,1779377672783774677,1779377672786743456,2.9688
device-1,1779377673803002575,1779377673805709404,2.7068
device-1,1779377674820491648,1779377674822606837,2.1152
device-1,1779377675847655661,1779377675849135605,1.4799
device-1,1779377676849984377,1779377676851028477,1.0441
device-1,1779377677853089103,1779377677856022003,2.9329
device-1,1779377678857665261,1779377678860556670,2.8914
device-1,1779377679863568221,1779377679866618229,3.0500
device-1,1779377680870283014,1779377680871180865,0.8979
device-1,1779377681879777698,1779377681882895633,3.1179
device-1,1779377681234090822,1779377681236962339,2.8715
device-1,1779377682256009210,1779377682257205112,1.1959
device-1,1779377683271848213,1779377683274787445,2.9392
device-1,1779377684290060186,1779377684291037179,0.9770
device-1,1779377685310927201,1779377685314187759,3.2606
device-1,1779377686317022618,1779377686320016762,2.9941
device-1,1779377687322243384,1779377687325383541,3.1402
device-1,1779377688324434510,1779377688325532623,1.0981
device-1,1779377689339226690,1779377689340492320,1.2656
device-1,1779377690342642916,1779377690343643250,1.0003
device-1,1779377691344471391,1779377691345448762,0.9774
device-1,1779377692345744513,1779377692346489922,0.7454
device-1,1779377693346086296,1779377693346821546,0.7352
device-1,1779377694347637094,1779377694348488114,0.8510
device-1,1779377695349227949,1779377695350759371,1.5314
device-1,1779377696351766097,1779377696353030498,1.2644
device-1,1779377697358845698,1779377697361727988,2.8823
device-1,1779377698363095079,1779377698366267567,3.1725
device-1,1779377699370378305,1779377699372457207,2.0789
device-1,1779377700374141272,1779377700376338391,2.1971
device-1,1779377701376858491,1779377701377764432,0.9059
device-1,1779377702384860120,1779377702387863802,3.0037
device-1,1779377703386753418,1779377703388433083,1.6797
device-1,1779377704397722901,1779377704398936116,1.2132
device-1,1779377705402754139,1779377705404083120,1.3290
device-1,1779377706407170463,1779377706408274261,1.1038
device-1,1779377707412290271,1779377707413325498,1.0352
device-1,1779377708416908498,1779377708419864551,2.9561
device-1,1779377709443173375,1779377709445275046,2.1017
device-1,1779377710450528715,1779377710451821718,1.2930
device-1,1779377709802117971,1779377709803624834,1.5069
device-1,1779377710806282234,1779377710807392064,1.1098
device-1,1779377711814278464,1779377711817472190,3.1937
device-1,1779377712847496281,1779377712848670121,1.1738
device-2,1779377637048227145,1779377637049051250,0.8241
device-2,1779377638049936843,1779377638050896713,0.9599
device-2,1779377639051559306,1779377639054211887,2.6526
device-2,1779377640054293204,1779377640057009501,2.7163
device-2,1779377641056275843,1779377641057229045,0.9532
device-2,1779377642060156525,1779377642063063547,2.9070
device-2,1779377643062289881,1779377643064676379,2.3865
device-2,1779377644064314010,1779377644066024185,1.7102
device-2,1779377645079339511,1779377645082232033,2.8925
device-2,1779377646081863411,1779377646083940499,2.0771
device-2,1779377647083337360,1779377647084043020,0.7057
device-2,1779377648109474277,1779377648112277765,2.8035
device-2,1779377649114131156,1779377649116908085,2.7769
device-2,1779377650124471618,1779377650125297480,0.8259
device-2,1779377651128642503,1779377651129748978,1.1065
device-2,1779377652151599347,1779377652152826872,1.2275
device-2,1779377653175094245,1779377653177935296,2.8411
device-2,1779377654182780203,1779377654183711137,0.9309
device-2,1779377653549219560,1779377653550369841,1.1503
device-2,1779377654557301406,1779377654558143821,0.8424
device-2,1779377655559113931,1779377655560192970,1.0790
device-2,1779377656574401384,1779377656577180167,2.7788
device-2,1779377657583227718,1779377657584406506,1.1788
device-2,1779377658602809116,1779377658603704949,0.8958
device-2,1779377659606993708,1779377659609883452,2.8897
device-2,1779377660626007503,1779377660628745879,2.7384
device-2,1779377661631248815,1779377661632814432,1.5656
device-2,1779377662638244472,1779377662640839079,2.5946
device-2,1779377663662844430,1779377663665761801,2.9174
device-2,1779377664673229447,1779377664675981146,2.7517
device-2,1779377665686594333,1779377665687931042,1.3367
device-2,1779377666709870399,1779377666712759382,2.8890
